am,lf,evalue
551154,TRINITY_DN8720_c0_g1,0.0
724144,TRINITY_DN4984_c0_g2,3e-72
724115,TRINITY_DN12994_c0_g2,0.0
727538,TRINITY_DN13184_c0_g1,1e-35
727539,TRINITY_DN8947_c0_g1,0.0
412480,TRINITY_DN10116_c0_g2,0.0
727087,TRINITY_DN7464_c1_g1,5e-75
100578907,TRINITY_DN19895_c0_g1,2e-109
727079,TRINITY_DN5658_c0_g2,5e-154
727074,TRINITY_DN9916_c0_g1,1e-113
552052,TRINITY_DN10962_c0_g1,1e-172
413867,TRINITY_DN8126_c0_g1,0.0
552001,TRINITY_DN13236_c0_g1,0.0
551974,TRINITY_DN12596_c0_g1,6e-102
413868,TRINITY_DN7077_c0_g1,1e-155
409527,TRINITY_DN11666_c0_g1,0.0
412212,TRINITY_DN11815_c0_g1,0.0
724455,TRINITY_DN6328_c0_g1,0.0
412546,TRINITY_DN27734_c0_g1,0.0
409520,TRINITY_DN7437_c0_g1,0.0
724536,TRINITY_DN10420_c0_g2,7e-139
724585,TRINITY_DN12829_c1_g1,7e-43
409360,TRINITY_DN9373_c0_g1,0.0
724634,TRINITY_DN14151_c0_g1,0.0
724634,TRINITY_DN14151_c0_g1,3e-51
412829,TRINITY_DN12908_c1_g1,0.0
724721,TRINITY_DN3048_c0_g1,4e-74
412458,TRINITY_DN3048_c0_g1,4e-76
413803,TRINITY_DN25672_c0_g1,3e-77
410071,TRINITY_DN12666_c1_g2,5e-99
410070,TRINITY_DN13225_c0_g1,2e-123
725040,TRINITY_DN8682_c0_g1,8e-35
414022,TRINITY_DN12704_c1_g2,0.0
414021,TRINITY_DN33459_c0_g1,0.0
412103,TRINITY_DN13609_c0_g1,2e-50
552117,TRINITY_DN13872_c8_g1,6e-164
503505,TRINITY_DN1327_c0_g2,1e-28
726119,TRINITY_DN23117_c0_g1,0.0
409807,TRINITY_DN2719_c0_g1,4e-163
552187,TRINITY_DN8134_c0_g1,6e-55
552206,TRINITY_DN13325_c1_g1,0.0
725945,TRINITY_DN36598_c0_g1,2e-22
725920,TRINITY_DN12933_c0_g2,0.0
411372,TRINITY_DN12904_c0_g1,0.0
552294,TRINITY_DN12398_c3_g2,0.0
552316,TRINITY_DN32065_c0_g1,0.0
412287,TRINITY_DN5885_c0_g1,0.0
552038,TRINITY_DN32017_c0_g1,1e-128
725746,TRINITY_DN11434_c1_g1,6e-60
725682,TRINITY_DN14080_c1_g1,0.0
410749,TRINITY_DN14080_c1_g1,0.0
725606,TRINITY_DN14174_c1_g4,8e-159
411600,TRINITY_DN11552_c0_g1,0.0
100576291,TRINITY_DN14079_c0_g1,0.0
550785,TRINITY_DN13339_c0_g1,0.0
725455,TRINITY_DN13339_c0_g1,3e-143
725419,TRINITY_DN7583_c0_g2,4e-43
100188973,TRINITY_DN12981_c0_g1,4e-169
406080,TRINITY_DN12019_c0_g1,3e-73
725345,TRINITY_DN8753_c0_g1,2e-154
725384,TRINITY_DN27911_c0_g1,6e-108
551761,TRINITY_DN7875_c0_g1,0.0
413346,TRINITY_DN19152_c0_g1,9e-144
100576547,TRINITY_DN11245_c0_g1,0.0
411406,TRINITY_DN13380_c0_g1,1e-32
411407,TRINITY_DN9019_c0_g1,2e-159
411408,TRINITY_DN7937_c0_g1,1e-137
409053,TRINITY_DN32404_c0_g1,0.0
724833,TRINITY_DN8680_c0_g1,0.0
102655391,TRINITY_DN3767_c0_g1,0.0
409383,TRINITY_DN13775_c0_g1,3e-143
412189,TRINITY_DN13121_c1_g1,7e-116
412190,TRINITY_DN4366_c0_g2,0.0
411794,TRINITY_DN14096_c0_g2,0.0
100576321,TRINITY_DN35992_c0_g1,0.0
102655811,TRINITY_DN8680_c0_g1,2e-13
410032,TRINITY_DN14024_c0_g2,0.0
724327,TRINITY_DN14024_c0_g2,2e-93
410033,TRINITY_DN4852_c0_g1,5e-85
724280,TRINITY_DN23530_c0_g1,2e-58
724192,TRINITY_DN32498_c0_g1,1e-167
410034,TRINITY_DN9696_c2_g1,6e-20
409798,TRINITY_DN9696_c2_g1,3e-34
727596,TRINITY_DN18874_c0_g1,9e-161
409418,TRINITY_DN27322_c0_g1,0.0
409417,TRINITY_DN14288_c0_g1,0.0
412285,TRINITY_DN10231_c0_g3,0.0
551416,TRINITY_DN6743_c0_g1,1e-140
413813,TRINITY_DN24040_c0_g1,0.0
551384,TRINITY_DN11633_c0_g1,0.0
410741,TRINITY_DN9517_c0_g2,0.0
408609,TRINITY_DN4090_c0_g1,0.0
550645,TRINITY_DN23127_c0_g1,0.0
726243,TRINITY_DN14801_c0_g1,0.0
410748,TRINITY_DN6411_c0_g1,0.0
552395,TRINITY_DN6411_c0_g1,0.0
410747,TRINITY_DN11245_c0_g1,8e-144
552425,TRINITY_DN7037_c0_g1,0.0
410746,TRINITY_DN6411_c0_g1,1e-158
552457,TRINITY_DN18677_c0_g1,0.0
410745,TRINITY_DN6411_c0_g1,0.0
410742,TRINITY_DN6411_c0_g1,0.0
410744,TRINITY_DN6411_c0_g1,0.0
410743,TRINITY_DN14087_c0_g1,0.0
408611,TRINITY_DN5686_c0_g1,0.0
725775,TRINITY_DN11161_c0_g1,0.0
100577254,TRINITY_DN14190_c2_g2,1e-17
100576618,TRINITY_DN13627_c5_g1,4e-61
409752,TRINITY_DN8659_c0_g1,0.0
100577136,TRINITY_DN14411_c0_g1,3e-68
725607,TRINITY_DN12472_c1_g1,2e-21
725575,TRINITY_DN12472_c1_g1,0.0
413069,TRINITY_DN12472_c1_g1,0.0
413068,TRINITY_DN32010_c0_g1,2e-151
725456,TRINITY_DN11374_c0_g1,0.0
725420,TRINITY_DN12622_c0_g2,0.0
102654427,TRINITY_DN11058_c1_g1,0.0
725346,TRINITY_DN11058_c1_g1,0.0
725318,TRINITY_DN14225_c1_g2,2e-134
100577002,TRINITY_DN127_c0_g1,0.0
409751,TRINITY_DN127_c0_g1,2e-91
552650,TRINITY_DN1414_c0_g1,2e-138
725149,TRINITY_DN18809_c0_g1,1e-164
725149,TRINITY_DN18809_c0_g1,3e-08
100577194,TRINITY_DN11629_c3_g1,2e-157
726412,TRINITY_DN38249_c0_g1,6e-62
409749,TRINITY_DN23277_c0_g1,2e-111
413056,TRINITY_DN7865_c0_g1,2e-145
413056,TRINITY_DN7865_c0_g1,3e-109
726451,TRINITY_DN13564_c0_g1,8e-05
413055,TRINITY_DN730_c0_g2,0.0
409748,TRINITY_DN14049_c2_g1,0.0
410740,TRINITY_DN7663_c0_g1,0.0
410739,TRINITY_DN2073_c0_g1,0.0
726545,TRINITY_DN11737_c0_g1,0.0
726560,TRINITY_DN11737_c0_g1,0.0
726578,TRINITY_DN11737_c0_g1,0.0
726590,TRINITY_DN9122_c1_g1,1e-37
410736,TRINITY_DN13680_c1_g1,0.0
726646,TRINITY_DN13750_c0_g1,0.0
413425,TRINITY_DN10701_c0_g1,0.0
726676,TRINITY_DN21020_c0_g1,9e-48
100577481,TRINITY_DN11063_c0_g1,0.0
100576770,TRINITY_DN8070_c0_g1,4e-69
726729,TRINITY_DN18911_c0_g1,5e-171
408604,TRINITY_DN6940_c0_g1,0.0
726742,TRINITY_DN10180_c0_g1,8e-167
100577003,TRINITY_DN5164_c0_g2,3e-66
100577082,TRINITY_DN14141_c0_g1,4e-72
551241,TRINITY_DN27282_c0_g1,3e-113
409966,TRINITY_DN19455_c0_g1,0.0
410732,TRINITY_DN13309_c0_g1,0.0
408601,TRINITY_DN7474_c0_g1,8e-89
408602,TRINITY_DN19216_c0_g1,6e-169
410733,TRINITY_DN7037_c0_g1,0.0
408603,TRINITY_DN7037_c0_g1,0.0
410734,TRINITY_DN7037_c0_g1,0.0
102653881,TRINITY_DN7037_c0_g1,1e-76
409608,TRINITY_DN5235_c0_g2,0.0
409607,TRINITY_DN12239_c1_g1,0.0
409606,TRINITY_DN11148_c0_g1,0.0
413468,TRINITY_DN10966_c0_g1,0.0
413467,TRINITY_DN7710_c0_g2,0.0
100579020,TRINITY_DN9868_c0_g1,1e-157
409924,TRINITY_DN6222_c0_g1,0.0
413470,TRINITY_DN28325_c0_g1,9e-121
409925,TRINITY_DN10455_c0_g1,0.0
413471,TRINITY_DN13297_c2_g1,0.0
551728,TRINITY_DN10218_c0_g1,0.0
409926,TRINITY_DN7874_c0_g3,3e-58
409927,TRINITY_DN12741_c0_g1,0.0
413358,TRINITY_DN2930_c0_g2,1e-177
413357,TRINITY_DN8953_c0_g1,0.0
551581,TRINITY_DN12543_c0_g1,0.0
409078,TRINITY_DN3890_c0_g1,2e-48
726485,TRINITY_DN14001_c0_g2,1e-74
726505,TRINITY_DN14001_c0_g2,1e-153
412114,TRINITY_DN35847_c0_g1,0.0
726541,TRINITY_DN13210_c0_g2,0.0
726541,TRINITY_DN13210_c0_g2,8e-49
102654365,TRINITY_DN10579_c0_g2,3e-111
409340,TRINITY_DN9455_c0_g1,4e-179
411573,TRINITY_DN8715_c0_g3,0.0
409114,TRINITY_DN8768_c0_g1,0.0
409113,TRINITY_DN9218_c0_g1,0.0
411572,TRINITY_DN13687_c0_g1,0.0
412588,TRINITY_DN7027_c0_g2,0.0
410157,TRINITY_DN7626_c0_g1,3e-118
551546,TRINITY_DN3726_c0_g2,4e-87
727263,TRINITY_DN12922_c0_g1,8e-106
727267,TRINITY_DN8300_c0_g1,0.0
412410,TRINITY_DN8430_c0_g1,0.0
413489,TRINITY_DN8925_c0_g1,3e-154
413488,TRINITY_DN13999_c0_g3,0.0
724985,TRINITY_DN9992_c0_g1,4e-155
413486,TRINITY_DN27533_c0_g1,1e-55
409932,TRINITY_DN10264_c0_g1,0.0
100578734,TRINITY_DN9202_c0_g1,4e-24
413484,TRINITY_DN9658_c0_g1,0.0
102656684,TRINITY_DN33575_c0_g1,2e-96
552599,TRINITY_DN13494_c0_g1,2e-122
725740,TRINITY_DN13494_c0_g1,3e-59
552625,TRINITY_DN9890_c0_g1,0.0
412195,TRINITY_DN6512_c0_g1,0.0
409701,TRINITY_DN25772_c0_g1,4e-72
409042,TRINITY_DN13283_c0_g1,4e-131
412813,TRINITY_DN919_c0_g1,7e-93
725189,TRINITY_DN2221_c0_g1,1e-87
408600,TRINITY_DN2363_c0_g2,1e-166
725278,TRINITY_DN2545_c0_g2,3e-109
408598,TRINITY_DN12120_c0_g1,0.0
102656618,TRINITY_DN13809_c0_g1,1e-177
410730,TRINITY_DN13809_c0_g1,0.0
408597,TRINITY_DN37120_c0_g1,0.0
410729,TRINITY_DN10746_c0_g1,0.0
408596,TRINITY_DN10746_c0_g1,0.0
100578424,TRINITY_DN13051_c0_g1,5e-45
725576,TRINITY_DN10675_c0_g1,0.0
551385,TRINITY_DN11034_c0_g1,2e-53
725683,TRINITY_DN13181_c0_g1,1e-21
102654014,TRINITY_DN14147_c0_g3,1e-100
725747,TRINITY_DN14147_c0_g3,2e-84
725776,TRINITY_DN11723_c2_g2,2e-96
100578653,TRINITY_DN10257_c0_g1,0.0
413713,TRINITY_DN6420_c0_g1,0.0
410115,TRINITY_DN12815_c0_g1,0.0
410116,TRINITY_DN12815_c0_g1,0.0
102654555,TRINITY_DN10268_c0_g1,2e-73
102654510,TRINITY_DN13957_c0_g3,1e-50
551729,TRINITY_DN13957_c0_g3,1e-69
100578735,TRINITY_DN7704_c0_g1,5e-121
413907,TRINITY_DN16633_c0_g1,6e-42
409755,TRINITY_DN8869_c0_g1,0.0
551939,TRINITY_DN2107_c0_g1,6e-138
724193,TRINITY_DN36116_c0_g1,0.0
413080,TRINITY_DN12760_c0_g1,0.0
409756,TRINITY_DN12760_c0_g1,0.0
413081,TRINITY_DN11251_c0_g1,0.0
724329,TRINITY_DN9321_c0_g1,9e-36
409757,TRINITY_DN12883_c0_g2,0.0
551818,TRINITY_DN10747_c0_g1,3e-82
551790,TRINITY_DN8498_c0_g1,0.0
412164,TRINITY_DN8878_c0_g1,0.0
724538,TRINITY_DN12450_c0_g1,0.0
100576871,TRINITY_DN3922_c0_g2,3e-85
409564,TRINITY_DN13168_c0_g1,0.0
412674,TRINITY_DN10609_c0_g1,3e-92
724760,TRINITY_DN32434_c0_g1,6e-81
551620,TRINITY_DN11733_c0_g1,0.0
552549,TRINITY_DN9268_c0_g1,0.0
724875,TRINITY_DN12918_c0_g1,3e-152
412343,TRINITY_DN13236_c1_g3,1e-140
552502,TRINITY_DN13236_c1_g3,0.0
409102,TRINITY_DN14070_c0_g1,0.0
102656283,TRINITY_DN32957_c0_g1,7e-22
409103,TRINITY_DN14070_c0_g1,4e-155
725105,TRINITY_DN9271_c0_g2,5e-127
725150,TRINITY_DN59_c0_g2,0.0
410061,TRINITY_DN13279_c0_g1,0.0
725237,TRINITY_DN14141_c0_g1,0.0
725279,TRINITY_DN14141_c0_g1,3e-76
413759,TRINITY_DN18993_c0_g1,0.0
100579041,TRINITY_DN13175_c0_g1,4e-60
408592,TRINITY_DN9609_c0_g1,0.0
410726,TRINITY_DN9847_c0_g1,0.0
725494,TRINITY_DN16285_c0_g1,1e-10
408594,TRINITY_DN12409_c1_g2,0.0
408594,TRINITY_DN12409_c1_g2,2e-12
408594,TRINITY_DN12409_c1_g2,7e-08
410727,TRINITY_DN12018_c0_g1,1e-157
408595,TRINITY_DN3714_c0_g1,0.0
100578300,TRINITY_DN7562_c0_g1,0.0
410728,TRINITY_DN26972_c0_g1,7e-56
412201,TRINITY_DN12424_c0_g1,5e-84
552497,TRINITY_DN2666_c1_g1,0.0
726264,TRINITY_DN14109_c0_g1,3e-146
552473,TRINITY_DN14109_c0_g1,0.0
724678,TRINITY_DN35947_c0_g1,2e-82
724633,TRINITY_DN5312_c0_g1,4e-82
412721,TRINITY_DN10367_c0_g1,0.0
100578820,TRINITY_DN11373_c0_g1,2e-27
100578820,TRINITY_DN11373_c0_g1,6e-18
100578820,TRINITY_DN11373_c0_g1,2e-17
100578820,TRINITY_DN11373_c0_g1,3e-17
100578820,TRINITY_DN11373_c0_g1,3e-10
727396,TRINITY_DN9917_c0_g1,0.0
550977,TRINITY_DN12950_c0_g1,2e-98
412495,TRINITY_DN31778_c0_g1,0.0
727390,TRINITY_DN10457_c0_g1,2e-69
409079,TRINITY_DN12738_c0_g2,8e-116
412748,TRINITY_DN12294_c0_g1,0.0
412748,TRINITY_DN12294_c0_g1,2e-117
552371,TRINITY_DN13612_c0_g1,0.0
411997,TRINITY_DN13655_c5_g2,0.0
726944,TRINITY_DN12341_c0_g1,0.0
551107,TRINITY_DN27590_c0_g1,2e-135
100579052,TRINITY_DN18914_c0_g1,4e-85
412112,TRINITY_DN8850_c0_g1,0.0
100576131,TRINITY_DN27819_c0_g1,0.0
409218,TRINITY_DN6012_c0_g1,0.0
725225,TRINITY_DN23698_c0_g1,7e-34
551670,TRINITY_DN14216_c2_g3,0.0
102655714,TRINITY_DN8423_c0_g1,2e-77
551636,TRINITY_DN10152_c0_g1,4e-179
551612,TRINITY_DN12660_c0_g1,0.0
551573,TRINITY_DN12351_c0_g1,0.0
726223,TRINITY_DN13033_c0_g2,0.0
411965,TRINITY_DN10106_c1_g1,0.0
551354,TRINITY_DN11834_c0_g1,2e-87
411847,TRINITY_DN12057_c0_g2,0.0
551415,TRINITY_DN12057_c0_g1,4e-139
409546,TRINITY_DN4911_c0_g1,3e-165
412613,TRINITY_DN8940_c0_g1,0.0
552374,TRINITY_DN5066_c0_g2,4e-144
100577140,TRINITY_DN12748_c0_g1,0.0
409734,TRINITY_DN13748_c0_g2,8e-142
100577296,TRINITY_DN13748_c0_g2,3e-129
409733,TRINITY_DN11425_c0_g1,0.0
408590,TRINITY_DN8809_c0_g1,1e-179
408591,TRINITY_DN13251_c0_g1,0.0
550948,TRINITY_DN11590_c0_g1,3e-156
410724,TRINITY_DN6714_c1_g1,1e-160
410725,TRINITY_DN8063_c0_g1,0.0
726060,TRINITY_DN11366_c1_g1,2e-180
552039,TRINITY_DN13979_c1_g1,2e-143
552067,TRINITY_DN10076_c0_g1,5e-58
726014,TRINITY_DN36570_c0_g1,3e-124
552094,TRINITY_DN11309_c1_g1,0.0
725848,TRINITY_DN8276_c0_g1,1e-74
552118,TRINITY_DN11831_c0_g1,3e-133
552140,TRINITY_DN9226_c0_g3,1e-169
100578631,TRINITY_DN11944_c0_g1,0.0
413025,TRINITY_DN14213_c0_g1,0.0
413025,TRINITY_DN14213_c0_g1,2e-06
725817,TRINITY_DN9117_c0_g1,0.0
410719,TRINITY_DN9545_c0_g1,1e-119
410718,TRINITY_DN13112_c0_g1,0.0
100576809,TRINITY_DN36924_c0_g1,4e-87
409739,TRINITY_DN8832_c0_g1,3e-155
413239,TRINITY_DN6466_c0_g1,0.0
413240,TRINITY_DN12896_c0_g1,0.0
100576446,TRINITY_DN13978_c0_g1,0.0
552229,TRINITY_DN13310_c0_g1,2e-79
552229,TRINITY_DN13310_c0_g1,8e-78
