am,bt,evalue
102655618,100643566,0.0
413784,100643318,0.0
412610,100649618,0.0
412610,100649618,2e-149
724901,100642561,0.0
725638,100642800,5e-147
412016,100646421,0.0
412017,100646543,0.0
552366,100649660,3e-51
100578752,100649539,0.0
726810,100643657,0.0
727399,100649775,0.0
726015,100650086,0.0
102655185,100643897,1e-20
552041,100643897,8e-07
552041,100643897,5e-06
552041,100643897,8e-06
552041,100643897,9e-06
552041,100643897,2e-05
725982,100649964,0.0
411968,100650329,0.0
725922,100650690,2e-168
408622,100650566,0.0
410757,100650446,0.0
410758,100651044,0.0
100578847,100643865,4e-58
409780,100644765,0.0
408618,100644491,0.0
100578042,100646807,9e-24
725745,100646831,0.0
102656395,105666059,8e-105
725720,100645995,0.0
100578247,105666041,0.0
412511,100649297,0.0
552676,100649415,0.0
725574,100650334,0.0
725532,100651814,0.0
102655724,105666271,0.0
413950,100648561,0.0
725418,100650287,3e-98
552648,100649385,0.0
725317,100650531,0.0
552628,100650775,1e-92
414037,100650651,0.0
552602,100650890,5e-139
414038,100649555,2e-131
413437,100649360,1e-159
724578,100645330,3e-159
409584,100645757,0.0
552083,100645008,0.0
551909,100644525,0.0
551892,100644764,0.0
551842,100644406,0.0
100577369,100643973,0.0
409290,100643733,9e-97
726685,100643122,0.0
412107,100643001,0.0
551531,100642762,0.0
413244,100643245,0.0
102654398,100643613,1e-94
102656551,100643488,9e-75
100577342,100643488,6e-71
724902,100642887,0.0
414017,100642456,0.0
411799,100646347,0.0
551388,100646229,0.0
724795,100646112,0.0
102654159,100645838,3e-43
724720,100645721,2e-131
551321,100645128,5e-172
724535,100643368,0.0
102653920,105666024,0.0
412319,100650000,0.0
102653893,100651372,0.0
408621,100642287,6e-137
408620,100647660,0.0
102653658,100648753,1e-96
408619,100646836,0.0
724233,100647664,5e-94
100576626,100644491,3e-33
408613,100648923,0.0
410751,100644707,0.0
410752,100651114,4e-118
408614,100649556,1e-139
410753,100649431,1e-169
551202,100649194,0.0
408615,100649074,0.0
412528,100649314,0.0
552743,100648897,5e-90
551383,100645984,1e-163
410754,100646103,1e-176
100578324,100647841,4e-148
408616,100646289,0.0
550903,100646407,0.0
412282,100651934,4e-06
725816,105665652,0.0
550789,100646654,0.0
551411,100646776,1e-89
551443,100647961,0.0
727479,100647094,0.0
551819,100647374,0.0
102656812,100647495,1e-137
412141,100647725,0.0
725841,100645868,0.0
552240,100645993,0.0
412397,100650749,0.0
726088,100650625,0.0
552636,100650183,6e-169
726449,100650062,4e-111
409468,100650487,4e-22
410043,100649606,0.0
413735,100649719,6e-138
726221,100649832,6e-59
726298,100645034,0.0
102655057,105666832,4e-43
724410,100646827,0.0
100576835,105665859,2e-103
724328,100643805,0.0
409957,100643693,0.0
724234,100643573,0.0
551154,100643448,0.0
724144,100643325,1e-74
724115,100643199,0.0
727538,100643079,0.0
727539,100642961,0.0
727087,100642569,6e-95
100578907,100642452,0.0
727079,100642329,0.0
727074,100642206,1e-126
552052,100652234,0.0
413867,100651996,0.0
552001,100652117,0.0
551974,100651879,6e-105
413868,100644925,1e-06
409527,100647930,7e-19
412212,100651200,0.0
724455,100650961,0.0
412546,100642492,3e-95
409520,100651079,0.0
724536,100650600,0.0
724585,100650483,4e-124
409360,100650281,0.0
724634,100649926,0.0
412829,100650037,0.0
724721,100644832,6e-95
412458,100644832,3e-101
413803,100649807,0.0
100577039,105665856,9e-111
410071,100649627,1e-33
410070,100649499,0.0
725040,100649018,9e-69
414022,100647097,0.0
414021,100648320,0.0
412103,100650845,0.0
552117,100651759,3e-171
503505,100642807,3e-90
726119,100648205,0.0
726119,100648205,2e-35
100579018,100650154,3e-49
409807,100649361,0.0
100577585,100645509,6e-91
552187,100646887,0.0
552206,100647830,0.0
725945,100648959,0.0
725920,100649042,0.0
411372,100650384,0.0
552294,100651706,0.0
552316,100643870,0.0
412287,100642713,0.0
552038,100645735,9e-159
725746,100647007,1e-67
725682,100646524,0.0
410749,100646397,0.0
725606,100646207,0.0
411600,100646085,0.0
100576291,100643994,0.0
550785,100646763,0.0
725455,100644112,0.0
725419,100647206,2e-166
100188973,100647324,0.0
406080,100644233,0.0
725345,105666825,0.0
725384,100631089,0.0
551761,100647950,0.0
413346,100648079,0.0
411405,105666831,2e-142
100576547,100648192,0.0
411406,100648306,0.0
411407,100648495,0.0
411408,100648730,1e-135
409053,100648614,0.0
551556,100643057,1e-04
724833,100647268,3e-62
102655391,100648102,4e-32
409383,100647268,2e-22
412189,100649096,2e-136
102655540,105666110,2e-51
412190,100648984,0.0
411794,100648868,0.0
100576321,100648755,0.0
413693,100643412,0.0
102655811,100648563,6e-53
410032,100648102,0.0
724327,100648329,1e-120
410033,100648445,4e-63
724280,100647980,1e-68
724192,100647661,0.0
410034,100647778,6e-73
102656262,105666109,2e-150
409798,100647778,1e-10
727596,100647425,0.0
409418,100645451,0.0
409417,100645201,0.0
412285,100645993,0.0
551416,100647348,0.0
413813,100645207,0.0
551384,100645090,0.0
410741,100644569,0.0
408609,100644302,0.0
550645,100644069,1e-117
550645,100644069,2e-98
726243,100643053,0.0
410748,100643493,0.0
552395,100643493,0.0
410747,100643171,0.0
552425,100643737,0.0
410746,100643617,0.0
552457,105666204,0.0
410745,105666207,0.0
410742,100643853,0.0
410744,100643853,0.0
410743,100651467,3e-167
408611,100647037,0.0
725775,100646835,0.0
100577254,100646827,0.0
100576618,100650786,2e-38
409752,100649150,0.0
100577136,105666476,0.0
725607,100651896,7e-29
725575,100651896,0.0
413069,100651223,0.0
413068,100652016,0.0
725456,100648691,0.0
725420,100648572,0.0
102654427,100650618,0.0
725346,100647552,0.0
725318,100643300,4e-168
102654160,105666505,0.0
100577002,100650220,0.0
409751,100645347,4e-162
102653718,105666504,1e-53
552650,100650013,4e-143
725149,100645100,0.0
725149,100645100,4e-175
100577194,100650212,0.0
100576961,100650333,1e-43
726412,100650569,0.0
409749,100650693,2e-107
413056,100647780,0.0
413056,100647780,8e-116
726451,100644901,6e-112
413055,100642613,0.0
409748,100643584,0.0
410740,100651576,0.0
410739,100642498,0.0
102654566,105666237,8e-73
726545,100642377,0.0
726560,100642377,0.0
726578,100642377,0.0
726590,100642257,1e-158
410736,100646807,6e-134
726646,100651693,0.0
413425,100646352,6e-103
726676,100651931,1e-89
100577481,100651844,0.0
100576770,105666233,2e-151
726729,100644452,0.0
408604,100645919,0.0
726742,100642927,0.0
100577003,100644019,7e-81
102653957,105665929,2e-121
100577082,100644257,0.0
100577113,100649378,1e-57
551241,100644134,7e-149
409966,100649500,0.0
551318,100644442,5e-30
410732,100644761,0.0
408601,105666409,5e-09
408602,100649623,0.0
410733,100643737,0.0
408603,100643737,0.0
410734,100643737,0.0
102653881,100643737,9e-90
102656489,105665931,1e-115
102655249,105666210,0.0
102655214,105666210,0.0
102655157,105666211,5e-90
102655493,105666212,2e-120
409608,100647228,0.0
409607,100649388,0.0
409606,100648908,0.0
413468,100649101,0.0
413467,100649510,0.0
100579020,100649633,0.0
409924,100649741,0.0
413470,100649851,7e-136
409925,100649968,0.0
413471,100647333,0.0
551728,100650090,0.0
409926,100650866,2e-82
409927,100650748,0.0
413358,100650885,0.0
413357,100651203,0.0
551581,100648022,0.0
409078,100647810,4e-156
726485,100647696,0.0
726505,100647601,1e-82
412114,100643936,3e-21
726541,100646538,0.0
726541,100646538,3e-64
102654365,100647099,2e-124
727186,100647219,2e-52
409340,100646741,0.0
411573,100646416,0.0
409114,100645715,0.0
409113,100646298,0.0
411572,100646109,0.0
412588,100645834,0.0
410157,100649843,8e-86
551546,100645375,1e-117
725383,100645491,2e-47
727263,100645247,0.0
727267,100645005,0.0
412410,100644888,0.0
413489,100651072,0.0
413488,100650719,0.0
724985,100651193,0.0
413486,100651437,4e-84
409932,100650955,0.0
100578734,100651556,1e-55
413484,100650841,0.0
102656684,100650841,0.0
552599,100651792,8e-126
725740,100652032,6e-158
552625,100649729,3e-11
412195,100651913,0.0
409701,100648567,0.0
409042,100645456,0.0
102654114,105666206,3e-55
412813,100647470,0.0
725189,100645196,0.0
408600,100645081,0.0
725278,100645196,1e-168
408598,100645325,0.0
102656618,105665894,0.0
410730,100645446,0.0
408597,100645560,0.0
410729,100645676,0.0
408596,100645909,0.0
100578424,100646143,0.0
725576,100646022,0.0
551385,100646344,2e-93
725683,100646467,0.0
102654014,100646586,5e-133
725776,100647619,0.0
551557,100647500,1e-62
100578653,100647146,0.0
413713,100647026,0.0
410115,100647262,0.0
410116,100646906,0.0
102654555,100647380,3e-149
102654510,100647732,5e-132
551729,100647732,5e-166
100578735,100647849,0.0
413907,100647731,0.0
409755,105665872,0.0
551939,100648092,4e-169
724193,100647970,0.0
413080,100648395,0.0
409756,100648278,0.0
413081,100648093,0.0
724329,100648512,2e-68
409757,100650872,4e-07
551818,100648977,7e-94
551790,100649091,0.0
412164,100649331,0.0
724538,100649451,0.0
409564,100647900,0.0
412674,100643511,1e-116
724760,100648476,1e-168
551620,100648362,0.0
552549,100648597,0.0
724875,100649061,1e-168
412343,100649535,3e-158
409102,100647850,5e-70
102656283,100647850,4e-150
409103,100649295,0.0
725150,100647971,0.0
410061,100648942,0.0
725237,100649413,0.0
725279,105665918,1e-133
413759,100646658,0.0
100579041,100643634,7e-91
408592,100649211,0.0
410726,100647848,0.0
725494,100643240,0.0
408594,100650560,0.0
408594,100650560,1e-22
408594,100650560,1e-20
410727,100648915,7e-19
725649,100645677,0.0
408595,100651921,0.0
100578300,100645796,0.0
410728,100647421,0.0
412201,100644001,5e-08
552497,100646505,0.0
726264,100646380,0.0
552473,100646258,0.0
724678,100646144,4e-84
724633,100645198,2e-85
412721,100646023,0.0
100578820,100649092,3e-96
100578820,100649092,4e-16
100578820,100649092,7e-11
100578820,100649092,5e-10
102654495,100649092,3e-67
727396,100645795,0.0
550977,100645561,0.0
412495,100645373,0.0
727390,100645245,3e-116
409079,100645123,1e-140
412748,100644848,0.0
412748,100644848,3e-134
552371,100644723,0.0
411997,100644523,0.0
726944,100644506,7e-148
551107,100644293,2e-138
100579052,100643933,0.0
412112,100648863,0.0
100576131,100643806,0.0
409218,100643483,0.0
725225,100643609,6e-79
102655714,100648634,0.0
551636,100643362,0.0
725882,100648321,3e-58
551612,100643118,0.0
551573,100642997,0.0
726223,100647560,0.0
411965,100647681,5e-124
551354,100642880,1e-105
411847,100648601,6e-24
411847,100648601,9e-20
411847,100648601,4e-14
411847,100648601,8e-11
551415,100642636,4e-167
409546,100642330,0.0
412613,100642207,0.0
552374,100652118,0.0
100577140,100651802,0.0
409734,100651681,0.0
100577296,100652235,3e-177
409733,100651444,0.0
408590,100651326,0.0
408591,100651080,0.0
550948,100651201,1e-143
410724,100650810,0.0
410725,100649576,0.0
726060,100650116,0.0
552039,100649996,2e-171
552067,100650241,7e-95
726014,100649881,0.0
552094,100649770,0.0
725848,100650362,7e-84
552118,100646742,2e-159
552140,100649626,3e-170
100578631,100648364,0.0
413025,100642607,0.0
725817,100644850,0.0
410719,100650645,5e-153
410718,100646014,2e-63
409739,100642285,0.0
413239,100642403,0.0
413240,100642519,0.0
100576730,100642638,8e-58
100577918,100651040,2e-173
102656732,100642963,4e-87
102656669,105665939,1e-33
102656640,105665971,2e-164
100576473,100643081,2e-19
102656491,100651284,1e-60
100576446,100643327,0.0
552229,100651405,0.0
552229,100651405,2e-152
725190,100643530,0.0
410723,100643767,0.0
552166,100647264,6e-162
409259,100644020,0.0
409258,100644561,0.0
552095,100645812,5e-08
409717,100644135,0.0
100577765,100644805,2e-57
552040,100644208,0.0
100577730,105665899,1e-76
102655469,105665897,2e-113
102655422,105665898,0.0
413000,100643972,0.0
724625,100644091,3e-44
409718,100643848,0.0
724680,100643694,2e-82
724635,100643449,0.0
100578708,100643326,3e-174
724495,100643200,0.0
102654202,100643200,7e-08
409096,100649693,0.0
409109,100642844,0.0
724330,100642962,0.0
414004,100642726,0.0
724235,100649578,3e-168
551730,100642518,0.0
726972,100642402,0.0
552440,100642283,5e-146
100576106,100651997,1e-123
724719,105665884,2e-70
409571,100651640,0.0
100577499,100651880,0.0
551705,100651760,0.0
409401,100651248,0.0
551679,100650926,7e-150
413677,100650685,0.0
413678,100650561,0.0
410035,100650440,0.0
409481,100649927,5e-134
100577425,100649452,2e-157
411526,100649692,0.0
409093,100649808,0.0
409646,100649257,0.0
412224,100649136,0.0
412224,100649136,2e-33
551406,100649577,2e-172
409100,100648710,6e-119
411555,100648596,0.0
409859,100648475,0.0
726779,100648361,6e-29
726743,100648249,0.0
409860,100647774,0.0
726722,100649332,0.0
100577197,100647899,2e-26
726694,100647656,0.0
409351,100647536,0.0
726667,100647420,0.0
100578479,100647297,3e-155
100578966,100647064,0.0
412636,100646740,0.0
551785,100647184,6e-150
551976,100642553,3e-54
551976,100642553,7e-16
725885,100650325,0.0
100578389,100646525,1e-68
102654405,105665627,1e-70
100578347,100646525,1e-58
724117,100651486,2e-149
102654781,100651369,1e-44
724618,100645818,0.0
724796,100645933,0.0
724761,100645359,8e-161
408589,100645477,2e-141
410717,100645231,0.0
552036,100644872,0.0
724681,100645111,6e-86
726220,100644992,1e-112
552065,100644747,0.0
552091,100644508,0.0
100578721,100644629,0.0
100578782,100644237,1e-20
726320,100644115,0.0
726320,100644115,6e-39
409579,100643999,0.0
726368,100643874,0.0
726368,100643874,1e-67
726368,100643874,5e-14
726405,100643434,0.0
102656429,105665846,8e-101
724184,100643679,3e-74
551643,100643557,0.0
551676,100643187,7e-178
551703,100643311,0.0
724411,100642949,0.0
100578952,100643068,0.0
412191,100642832,0.0
411850,100642716,0.0
409238,100642595,0.0
724636,100642478,6e-128
412436,100642747,0.0
102654175,105666217,3e-84
411910,100648197,0.0
100576414,100648083,0.0
409138,100647956,0.0
726702,100645855,1e-110
410706,100652305,0.0
100577239,100642275,0.0
102654970,100642677,6e-172
100577273,100642796,0.0
550899,100642393,0.0
725495,100642916,0.0
408585,100643030,3e-111
408586,100643231,3e-179
408586,100643231,2e-75
408587,100643518,0.0
100577019,100650755,2e-82
725450,100646092,3e-84
725414,105665767,1e-95
725238,100645512,3e-108
725344,100645616,2e-85
725308,100645738,5e-84
725272,105665767,1e-95
725230,105665959,3e-67
409689,100645155,0.0
412948,100644951,0.0
406110,100644834,0.0
412949,100646400,0.0
409690,100644590,0.0
551843,100644472,0.0
412626,100644292,1e-43
410022,100644159,0.0
413675,100644047,0.0
410021,100643838,0.0
102656542,100643838,4e-59
102656542,100643838,1e-09
413674,100643719,2e-157
100576435,100643599,0.0
413672,105666614,0.0
724762,105666622,1e-111
413670,100643394,0.0
410710,100643148,0.0
724587,100643271,0.0
102655896,105666565,8e-77
724539,100646280,4e-155
724456,100649911,0.0
724412,100648154,0.0
724373,100648043,0.0
100577942,100647922,0.0
724281,100647800,0.0
724236,100649610,2e-133
551205,100644473,0.0
551156,100644591,0.0
551109,100648332,0.0
551671,100644000,2e-78
726542,105665767,1e-95
102655073,105665959,3e-67
726487,100645616,3e-66
100578881,105665767,3e-05
406132,105665959,3e-67
726468,100646092,2e-83
726447,100645198,9e-85
100577833,100643639,2e-65
551699,100643395,0.0
726369,100645311,8e-27
102654765,100643515,9e-36
409261,100643107,0.0
411982,100642596,0.0
494523,100642912,3e-111
412197,100652068,6e-119
412117,100651592,0.0
551978,100651945,6e-150
409282,100651475,0.0
552032,100651272,0.0
100576231,100651149,0.0
410009,100651028,0.0
413649,100650913,1e-139
413650,100650712,0.0
725946,100650470,0.0
100577593,100650589,0.0
409193,100650267,0.0
725819,100650141,0.0
552221,100649794,0.0
552243,100649318,0.0
102655679,100646568,5e-91
100578901,100649680,1e-38
552264,100649560,0.0
411705,100649435,0.0
411704,100649199,0.0
409909,100649012,0.0
409910,100649013,2e-140
409911,100648662,0.0
413228,100648776,0.0
409832,100648890,5e-129
725028,100648541,2e-161
100578370,100648422,0.0
552186,100648309,0.0
411996,100647953,0.0
411995,100648080,0.0
726113,100648194,0.0
726172,100647488,0.0
413374,100647366,0.0
726218,100647249,0.0
412081,100647131,0.0
725068,100642909,0.0
725068,100642909,7e-94
411472,100646574,0.0
725421,100646891,0.0
409074,100646695,1e-131
411473,100647521,5e-73
409075,100646250,0.0
411474,100646133,0.0
725280,100645818,1e-119
413558,100651432,0.0
102653680,105666143,0.0
724374,105666147,3e-77
409970,100651551,0.0
413560,100651670,0.0
724237,100651981,0.0
413562,100651866,0.0
551206,100652103,9e-92
409706,100651188,2e-91
551529,100651312,6e-138
551558,100644874,0.0
102654380,100650993,3e-24
551621,100644748,0.0
724763,100644510,0.0
409704,100643840,0.0
724835,100649283,5e-06
724835,100649283,1e-05
724903,100645234,0.0
100577522,100648546,4e-168
102654204,100643232,3e-50
102653723,100643232,1e-51
725457,100643232,2e-63
102653765,105665625,4e-51
725386,100643353,0.0
100577415,100648893,0.0
725320,100649015,0.0
725281,100649367,0.0
410702,100649247,0.0
551157,100649127,5e-148
100576909,100649613,6e-37
725151,100649797,0.0
100577365,100649914,0.0
725078,100643964,0.0
410705,100650233,0.0
724991,100650026,0.0
408583,100650354,2e-172
725458,100644916,0.0
725348,100647842,7e-47
100578186,100645362,0.0
550723,100651946,3e-163
724496,100651711,0.0
724540,100651593,0.0
414039,100652185,4e-84
550996,100652069,1e-154
413099,100651476,0.0
551069,100651358,0.0
551111,100651116,0.0
413018,100651273,0.0
724904,100651394,7e-71
551280,100651029,0.0
102655530,100651029,2e-10
551319,105665841,0.0
551319,105665841,5e-32
551356,100648310,0.0
408579,100643720,0.0
408578,100643839,0.0
408577,100643962,0.0
551680,100644201,0.0
408576,100644319,0.0
408576,100644319,2e-13
551731,100644547,0.0
551762,100644670,0.0
100576169,100644873,0.0
410083,100644993,0.0
410687,100645112,0.0
413245,100645360,2e-151
724332,100645232,0.0
551911,105665938,0.0
724413,105665935,7e-92
724497,100648965,0.0
100578913,100645551,0.0
410690,100645667,0.0
408580,100645902,0.0
410689,100649079,0.0
552096,100649200,0.0
410688,100644543,4e-07
552141,100646215,0.0
552167,100646331,0.0
552167,100646331,2e-48
412601,100644192,1e-43
412601,100644192,1e-25
102656224,105665953,6e-27
724950,100646455,0.0
552251,100646892,4e-174
409027,100649436,0.0
411351,100647010,0.0
413895,100647132,0.0
552332,100647250,0.0
409792,100647489,0.0
727333,100650033,3e-117
100576797,100650274,0.0
413502,100650550,0.0
413501,100647833,0.0
413500,100647715,0.0
409937,100647528,0.0
409936,100651778,5e-40
100578060,100650428,9e-19
413499,100647089,0.0
411721,100650310,0.0
725609,100647209,4e-54
411722,100646972,0.0
411723,100646768,0.0
410686,100646648,0.0
410685,100646528,0.0
551357,100646281,3e-34
410684,100646281,0.0
410683,100646167,0.0
551451,100646051,0.0
551494,100650066,0.0
551494,100650066,8e-22
725980,100645934,3e-39
411700,100645819,0.0
102655034,105665806,2e-135
551622,100645400,0.0
726034,105665794,0.0
726061,100645617,4e-59
410681,100649952,0.0
726148,100649835,0.0
408573,100645278,9e-176
551791,100645039,2e-158
412777,100644792,0.0
412778,100649561,9e-14
412778,100649561,7e-10
726349,100647405,0.0
413574,100649793,0.0
413575,100647601,0.0
413576,100647285,0.0
100578467,100647171,0.0
413577,100646573,0.0
412407,100646815,0.0
552128,100646694,0.0
552153,100646937,3e-140
726562,100649679,0.0
726591,100649559,0.0
414042,100649434,0.0
414042,100649434,7e-46
100576242,100646091,0.0
551725,100645666,0.0
409225,100645787,1e-107
409226,100644857,1e-15
551637,100649317,0.0
725976,100643673,5e-29
412412,100645110,0.0
102654353,100642198,1e-42
102656402,105665845,0.0
409062,100652149,0.0
413118,100652028,0.0
412240,100651909,6e-156
550724,100651787,0.0
551585,100651933,3e-119
551559,100650833,7e-124
100577501,100652053,0.0
409312,100650024,0.0
409313,100650266,0.0
412015,100651186,4e-98
551419,100650630,0.0
102656446,100651430,2e-70
551386,100650140,0.0
100577533,100650512,1e-97
100578551,100651668,9e-35
408568,100644430,0.0
724282,100646892,1e-29
724239,100645702,0.0
724196,100645584,0.0
724146,100645040,0.0
100577648,100651549,3e-45
551837,100649912,0.0
725981,105665635,1e-146
725947,105667166,4e-54
411927,100649721,0.0
100577689,100649485,0.0
408569,100649609,0.0
552142,100649283,0.0
725748,100649162,8e-158
408570,100648618,0.0
725684,100648964,7e-126
552014,100648848,1e-148
412734,100648697,6e-14
410669,100648501,0.0
100576258,100648386,2e-39
551912,100648155,1e-52
725459,100648269,3e-131
551893,100647952,1e-136
102653874,105665844,4e-73
410671,100647832,0.0
102653709,100643510,2e-163
410672,100650052,1e-13
725239,100648663,0.0
410673,100644097,1e-15
410674,100647365,0.0
100576454,100648542,0.0
410675,100647130,0.0
410676,100647008,4e-80
100577992,100646890,3e-144
551584,100646767,3e-81
408572,100642913,6e-135
413968,100647948,1e-59
413968,100647948,1e-23
413968,100647948,1e-20
413968,100647948,6e-18
413968,100647948,3e-17
413968,100647948,1e-16
413968,100647948,1e-14
413968,100647948,2e-12
413968,100647948,4e-10
413968,100647948,1e-08
413968,100647948,2e-08
413968,100647948,6e-07
413968,100647948,1e-06
413968,100647948,2e-06
724638,100642793,2e-39
551418,100642552,2e-149
412406,100642191,0.0
551358,100652219,2e-143
412262,100651744,0.0
100576938,100651864,2e-166
551207,105666482,3e-05
551158,100652102,3e-86
724195,100651512,0.0
724145,100643267,6e-128
410678,100643390,3e-99
100578205,100643600,0.0
727229,100643473,0.0
412361,100643230,2e-169
412362,100648849,0.0
412449,100644001,4e-112
551606,100643876,0.0
551633,100643753,0.0
725572,105665906,2e-52
551665,100643640,0.0
725106,100642358,0.0
725853,100649682,4e-80
101664702,100652269,0.0
410788,100649795,0.0
408645,100642436,0.0
102653800,105666090,0.0
725651,100642554,0.0
408646,100644389,0.0
102653669,100644389,1e-78
100576447,100644281,1e-153
100576447,100644281,3e-42
725415,100647127,1e-167
551894,100647245,0.0
551868,100650873,0.0
550901,100643963,0.0
100577043,100647954,1e-51
100576662,100649722,1e-22
551792,100648195,0.0
725273,100650672,0.0
410791,100650798,0.0
552168,100652269,0.0
101664701,105666086,0.0
724197,100649682,1e-80
724283,100649487,0.0
410785,100649366,0.0
724415,100649014,0.0
724415,100649014,2e-07
410784,100649246,0.0
408643,100648892,0.0
410782,100648778,0.0
409126,100648544,4e-161
409127,100648270,0.0
413378,100648665,5e-98
413377,100644870,3e-36
724639,100648156,1e-35
409887,100648044,0.0
409886,100647327,0.0
552426,100647801,2e-145
551960,100647565,3e-160
406071,100647210,0.0
100577450,100647686,5e-160
410080,100647449,0.0
551906,100647090,0.0
725284,100647512,0.0
551889,100646973,0.0
412088,100651788,0.0
725154,100646730,1e-144
100576132,100646612,0.0
725044,100651669,0.0
409097,100646094,4e-152
411548,100645975,0.0
100579021,100646282,5e-44
409251,105665612,0.0
100578883,100645740,0.0
724798,100645308,0.0
411882,100645432,0.0
727452,100649121,3e-26
725460,100645068,0.0
408642,100650994,0.0
551071,100644320,0.0
408641,100650874,2e-112
725724,100644202,0.0
551208,100650674,6e-121
725777,100650472,0.0
551320,100650023,0.0
100578506,100650139,0.0
408635,100650265,0.0
551420,100650388,0.0
409392,100650511,0.0
100578360,100650629,0.0
412288,100650754,0.0
726178,100650872,0.0
409189,100651113,0.0
411753,100644275,9e-56
100577142,100651235,3e-57
100577142,100651235,2e-08
100577108,100651235,2e-81
410780,100648500,1e-109
102655961,100648500,2e-67
410779,100651474,0.0
726350,100651591,0.0
408634,100651709,0.0
408633,100651827,3e-54
102653614,100648076,1e-152
409288,100652027,0.0
726431,100642190,0.0
102656779,100648617,0.0
409505,100642911,2e-95
100576990,100642433,0.0
100576990,100642433,8e-50
552660,100642313,0.0
726056,100643028,1e-107
552654,100642673,0.0
552644,100642551,0.0
413422,100652148,0.0
727436,100648733,8e-82
552372,100642791,4e-140
100576918,100648847,4e-87
552315,100642312,0.0
412712,100642432,0.0
552274,100642550,0.0
550992,100642672,3e-126
412451,100645981,3e-64
412384,100642910,0.0
409462,100643147,0.0
725103,100643514,1e-71
751767,100651396,8e-13
552185,100643027,0.0
409229,100643270,0.0
725736,100643393,6e-86
725712,100644354,6e-64
411836,100643837,1e-79
727199,100644236,2e-23
102655636,100644628,8e-37
408607,100643273,0.0
100576425,105665993,0.0
551530,100644952,0.0
724240,100652029,0.0
725725,100642915,8e-33
410755,100642236,0.0
410756,100650471,0.0
725496,100649126,0.0
409311,100649901,5e-05
551242,100646852,0.0
725388,100645618,0.0
100578968,100644474,7e-07
100578968,100644474,1e-05
100578968,100644474,4e-05
413255,100651246,0.0
100576708,100650034,0.0
412354,100649986,0.0
412353,100648000,2e-154
412353,100648000,2e-153
412353,100648000,3e-146
552090,100650992,0.0
552090,100650992,5e-07
100578606,100647834,2e-124
102655243,100646769,0.0
724993,100652150,5e-140
552230,100646769,0.0
410775,100649561,0.0
100578543,100650067,6e-25
408631,100649681,0.0
408631,100649681,4e-124
102654381,105665969,9e-28
410776,100650311,0.0
408632,100650429,2e-162
410777,100645525,2e-121
410777,100645525,1e-70
410777,100645525,5e-25
410777,100645525,5e-09
552068,100650551,0.0
552197,100650799,0.0
412220,100651114,0.0
