am,ln,evalue
552395,RF55_8871,0.0
410747,RF55_7111,0.0
552425,RF55_17177,0.0
410746,RF55_9543,2e-158
552457,RF55_6234,0.0
410745,RF55_13343,0.0
410742,RF55_9528,0.0
410744,RF55_8871,0.0
410743,RF55_12822,0.0
408611,RF55_9174,0.0
100577254,RF55_1684,0.0
100576618,RF55_5561,3e-40
409752,RF55_5560,0.0
100577136,RF55_15052,2e-64
725607,RF55_4890,1e-21
725575,RF55_4890,0.0
413069,RF55_13037,0.0
413069,RF55_13037,4e-126
413068,RF55_11404,5e-146
725456,RF55_12583,0.0
725420,RF55_8567,0.0
102654427,RF55_12583,0.0
725346,RF55_12583,2e-165
102654160,RF55_588,5e-42
100577002,RF55_5873,8e-141
409751,RF55_5873,2e-63
102653718,RF55_6068,2e-17
552650,RF55_5216,5e-113
725149,RF55_5215,2e-116
100577194,RF55_3658,4e-41
726412,RF55_3304,2e-28
726412,RF55_3304,2e-10
413056,RF55_8230,1e-142
413056,RF55_8230,1e-106
726451,RF55_8231,2e-86
413055,RF55_9311,0.0
409748,RF55_1248,0.0
410740,RF55_14750,7e-121
410739,RF55_6208,0.0
102654566,RF55_3438,8e-75
726545,RF55_4617,0.0
726560,RF55_4617,0.0
726578,RF55_4617,0.0
726590,RF55_641,2e-64
410736,RF55_9092,0.0
726646,RF55_3336,0.0
413425,RF55_3336,0.0
726676,RF55_4905,3e-20
100577481,RF55_3966,0.0
100576770,RF55_3769,9e-21
100576770,RF55_3769,7e-20
726729,RF55_285,0.0
408604,RF55_8937,0.0
726742,RF55_5855,0.0
100577082,RF55_380,7e-114
551241,RF55_6421,4e-20
551241,RF55_6421,2e-08
551241,RF55_6421,7e-05
409966,RF55_5308,9e-99
410732,RF55_22,0.0
408601,RF55_23,3e-31
408602,RF55_24,0.0
410733,RF55_17177,0.0
408603,RF55_17177,0.0
410734,RF55_17177,0.0
102653881,RF55_17177,6e-74
102656489,RF55_1324,2e-19
102655249,RF55_3280,1e-86
102655214,RF55_3280,1e-103
102655157,RF55_3280,6e-32
102655493,RF55_3281,5e-37
409608,RF55_1592,5e-43
409607,RF55_10079,0.0
409606,RF55_9274,0.0
413468,RF55_7834,0.0
413467,RF55_7835,2e-74
413467,RF55_7835,4e-45
100579020,RF55_7255,7e-77
409924,RF55_8935,0.0
413470,RF55_8936,9e-119
409925,RF55_4854,1e-133
413471,RF55_4853,0.0
551728,RF55_3233,3e-15
409926,RF55_8203,1e-07
409927,RF55_8274,0.0
413358,RF55_5507,0.0
413357,RF55_5505,0.0
551581,RF55_4145,0.0
726485,RF55_11663,7e-53
726505,RF55_3175,3e-85
412114,RF55_7262,0.0
726541,RF55_7261,0.0
102654365,RF55_13665,9e-120
409340,RF55_7305,2e-164
411573,RF55_7296,0.0
409114,RF55_15079,0.0
409113,RF55_13972,0.0
411572,RF55_12281,0.0
412588,RF55_1894,0.0
410157,RF55_1895,1e-94
551546,RF55_1896,3e-87
725383,RF55_1897,1e-46
727263,RF55_1898,1e-101
727267,RF55_1899,0.0
412410,RF55_7288,0.0
413489,RF55_810,2e-138
413488,RF55_4662,0.0
724985,RF55_15704,1e-05
413486,RF55_13061,2e-36
409932,RF55_4269,0.0
100578734,RF55_4270,6e-27
413484,RF55_4271,4e-142
102656684,RF55_4271,0.0
552599,RF55_7730,7e-102
725740,RF55_7731,3e-60
552625,RF55_4980,0.0
412195,RF55_4980,3e-134
409701,RF55_4676,2e-25
409042,RF55_8310,2e-65
102654114,RF55_592,5e-15
412813,RF55_1592,5e-33
725189,RF55_3991,0.0
408600,RF55_5567,4e-169
725278,RF55_7740,2e-153
408598,RF55_2341,0.0
102656618,RF55_10996,1e-165
410730,RF55_10997,3e-174
408597,RF55_12679,1e-150
410729,RF55_12680,9e-157
408596,RF55_8040,0.0
100578424,RF55_16700,1e-20
725576,RF55_8260,0.0
551385,RF55_197,5e-69
725683,RF55_199,0.0
102654014,RF55_200,6e-98
725776,RF55_1900,4e-146
413713,RF55_7879,3e-109
410115,RF55_1217,0.0
410116,RF55_1218,0.0
102654555,RF55_1219,2e-68
102654510,RF55_1838,3e-20
551729,RF55_1838,1e-61
100578735,RF55_1838,8e-130
413907,RF55_1838,5e-166
413907,RF55_1838,4e-23
409755,RF55_1840,0.0
551939,RF55_12339,4e-52
724193,RF55_9364,0.0
413080,RF55_9366,0.0
409756,RF55_9365,0.0
413081,RF55_9569,0.0
724329,RF55_16040,2e-35
409757,RF55_13277,0.0
551818,RF55_6202,6e-36
551790,RF55_10146,5e-25
412164,RF55_157,0.0
724538,RF55_158,0.0
100576871,RF55_1761,2e-48
409564,RF55_15874,2e-69
409564,RF55_15874,1e-57
412674,RF55_10442,2e-46
724760,RF55_8715,3e-53
551620,RF55_6962,0.0
552549,RF55_2087,0.0
724875,RF55_16903,3e-129
412343,RF55_6819,2e-141
552502,RF55_6818,0.0
552502,RF55_6818,2e-131
409102,RF55_8682,4e-24
102656283,RF55_11661,7e-88
409103,RF55_6961,9e-118
725150,RF55_5017,4e-92
410061,RF55_381,0.0
725237,RF55_381,0.0
725279,RF55_380,9e-75
413759,RF55_6758,2e-164
413759,RF55_6758,3e-40
100579041,RF55_13318,1e-52
410726,RF55_4771,3e-123
410726,RF55_4771,2e-14
725494,RF55_6106,2e-10
725494,RF55_6106,6e-06
408594,RF55_639,0.0
408594,RF55_639,1e-34
408594,RF55_639,4e-25
408594,RF55_639,2e-19
410727,RF55_383,2e-157
725649,RF55_384,4e-97
408595,RF55_384,0.0
408595,RF55_384,2e-20
410728,RF55_5052,0.0
412201,RF55_6421,5e-54
552497,RF55_8642,0.0
726264,RF55_2789,1e-116
552473,RF55_2788,0.0
552473,RF55_2788,4e-102
724678,RF55_12314,2e-83
724633,RF55_10152,2e-83
412721,RF55_308,0.0
100578820,RF55_5196,5e-10
100578820,RF55_5196,8e-07
100578820,RF55_5196,1e-06
100578820,RF55_5196,2e-05
727396,RF55_309,0.0
727396,RF55_309,2e-72
550977,RF55_12036,1e-33
412495,RF55_12637,0.0
727390,RF55_22430,3e-16
409079,RF55_5966,8e-117
412748,RF55_4310,0.0
412748,RF55_4310,8e-89
552371,RF55_4310,6e-138
411997,RF55_8092,1e-94
726944,RF55_8092,7e-125
551107,RF55_9284,2e-136
100579052,RF55_1312,3e-85
412112,RF55_12500,0.0
100576131,RF55_12122,0.0
409218,RF55_17012,3e-101
725225,RF55_8661,4e-34
102655714,RF55_2828,3e-45
551636,RF55_10724,1e-68
551612,RF55_3057,0.0
551573,RF55_3058,0.0
726223,RF55_9572,3e-14
726223,RF55_9572,1e-06
411965,RF55_1771,0.0
551354,RF55_1845,2e-73
411847,RF55_4275,0.0
411847,RF55_4275,1e-07
551415,RF55_4276,6e-39
409546,RF55_1592,2e-88
412613,RF55_1070,7e-156
552374,RF55_1071,1e-80
100577140,RF55_1072,1e-166
409734,RF55_1073,1e-136
100577296,RF55_1074,7e-116
409733,RF55_14794,5e-13
409733,RF55_14794,5e-07
408590,RF55_2147,3e-154
408591,RF55_7283,0.0
550948,RF55_10911,5e-24
410724,RF55_2606,0.0
410725,RF55_1745,0.0
726060,RF55_1744,3e-179
552039,RF55_13434,2e-140
552067,RF55_13433,1e-53
726014,RF55_11160,0.0
552094,RF55_9900,0.0
552118,RF55_5899,1e-50
552140,RF55_717,1e-117
100578631,RF55_716,0.0
413025,RF55_714,0.0
413025,RF55_714,1e-19
413025,RF55_714,5e-08
410719,RF55_12437,3e-104
410718,RF55_9151,0.0
100576809,RF55_2146,3e-110
409739,RF55_4066,0.0
413239,RF55_908,0.0
413240,RF55_8129,4e-43
100577918,RF55_909,8e-17
102656732,RF55_909,2e-22
102656669,RF55_910,2e-16
102656640,RF55_911,2e-58
726920,RF55_8745,1e-07
102656491,RF55_8746,1e-58
100576446,RF55_7797,0.0
552229,RF55_98,1e-76
552229,RF55_98,4e-76
725190,RF55_12881,8e-101
410723,RF55_12881,0.0
552166,RF55_4783,0.0
409259,RF55_3833,0.0
409258,RF55_13179,0.0
552095,RF55_1417,0.0
409717,RF55_11089,0.0
100577765,RF55_11026,1e-58
552040,RF55_1554,0.0
102655422,RF55_1556,2e-113
413000,RF55_1557,0.0
409718,RF55_1558,0.0
551031,RF55_1559,1e-98
724680,RF55_1560,2e-61
724635,RF55_8075,0.0
100578708,RF55_12858,6e-63
724495,RF55_12181,3e-130
102654202,RF55_12182,1e-15
409109,RF55_16611,2e-124
414004,RF55_5161,0.0
724235,RF55_5162,6e-19
551730,RF55_21270,1e-103
726972,RF55_3763,0.0
552440,RF55_1743,2e-133
724719,RF55_6471,2e-45
409571,RF55_6472,3e-114
409571,RF55_6472,2e-11
551705,RF55_1219,0.0
409401,RF55_2586,9e-07
551679,RF55_3253,1e-124
413677,RF55_3039,0.0
413677,RF55_3039,4e-18
409481,RF55_2218,7e-110
411526,RF55_8323,0.0
409093,RF55_5679,0.0
409646,RF55_13378,3e-167
412224,RF55_11617,0.0
412224,RF55_11617,4e-139
412224,RF55_11617,3e-12
412224,RF55_11617,5e-12
412224,RF55_11617,1e-10
412224,RF55_11617,2e-05
551406,RF55_5818,3e-82
409100,RF55_8072,7e-95
411555,RF55_6737,0.0
411555,RF55_6737,5e-37
411555,RF55_6737,2e-34
409859,RF55_6739,0.0
726743,RF55_3395,0.0
100577311,RF55_2749,4e-38
409860,RF55_2907,0.0
726722,RF55_2908,9e-104
726694,RF55_2909,0.0
726694,RF55_2909,1e-09
409351,RF55_781,0.0
726667,RF55_780,5e-130
726667,RF55_780,2e-44
726667,RF55_780,2e-09
100578479,RF55_1954,8e-81
100578966,RF55_2843,6e-19
100578966,RF55_2843,1e-08
412636,RF55_1953,0.0
551785,RF55_6422,4e-95
551976,RF55_6421,0.0
725885,RF55_34,9e-134
100578389,RF55_8655,4e-32
102654405,RF55_8655,3e-34
100578347,RF55_8655,1e-27
724117,RF55_8655,4e-10
102654781,RF55_8655,7e-19
724618,RF55_3466,5e-173
724796,RF55_203,0.0
724761,RF55_204,8e-151
408589,RF55_205,1e-137
410717,RF55_2015,0.0
552036,RF55_8895,0.0
724681,RF55_8896,5e-62
726220,RF55_4186,5e-82
552065,RF55_4185,0.0
552091,RF55_11578,1e-99
100578721,RF55_11579,0.0
726320,RF55_9538,5e-172
726320,RF55_9538,6e-21
409579,RF55_14246,1e-165
726368,RF55_8586,0.0
726368,RF55_8586,9e-45
726405,RF55_2694,0.0
102656429,RF55_11883,2e-43
724184,RF55_6454,1e-27
551643,RF55_5902,7e-133
551676,RF55_240,8e-108
551703,RF55_241,3e-166
724411,RF55_242,0.0
100578952,RF55_243,9e-160
412191,RF55_245,0.0
411850,RF55_5900,0.0
409238,RF55_7242,1e-84
724636,RF55_5827,8e-76
412436,RF55_10576,1e-112
412436,RF55_10576,5e-12
102654175,RF55_10785,2e-36
411910,RF55_7477,4e-102
100576414,RF55_17614,2e-159
409138,RF55_14011,2e-87
409138,RF55_14011,5e-14
726702,RF55_5678,8e-77
410706,RF55_1247,0.0
100577239,RF55_1245,0.0
102654970,RF55_1244,3e-145
100577273,RF55_1243,0.0
550899,RF55_8371,3e-45
725495,RF55_3005,3e-140
408585,RF55_7966,1e-93
408586,RF55_7141,4e-146
408587,RF55_8065,0.0
100577019,RF55_1448,1e-35
725450,RF55_6560,4e-84
725414,RF55_14350,1e-95
725238,RF55_11261,4e-55
725344,RF55_10152,2e-84
725308,RF55_12314,6e-84
725272,RF55_14350,1e-95
725230,RF55_17924,4e-67
409689,RF55_2132,0.0
412948,RF55_2133,0.0
406110,RF55_6925,0.0
412949,RF55_4612,2e-159
409690,RF55_4610,0.0
551843,RF55_10086,0.0
412626,RF55_5026,5e-107
410022,RF55_1312,0.0
413675,RF55_3566,0.0
410021,RF55_5946,0.0
410021,RF55_5946,1e-11
102656542,RF55_1671,8e-19
102656542,RF55_1671,7e-08
413674,RF55_5707,2e-150
100576435,RF55_5708,0.0
413672,RF55_6448,0.0
724762,RF55_6447,3e-118
413670,RF55_6447,0.0
410710,RF55_7123,2e-96
724587,RF55_7122,0.0
102655896,RF55_7121,1e-70
724456,RF55_1509,0.0
724412,RF55_4467,5e-57
724373,RF55_4768,2e-152
100577942,RF55_4767,0.0
724281,RF55_33,2e-116
724236,RF55_6539,2e-77
551205,RF55_4264,0.0
551109,RF55_12559,4e-88
551671,RF55_14344,9e-30
726542,RF55_14350,1e-95
102655073,RF55_17924,4e-67
726487,RF55_10152,2e-66
100578881,RF55_14350,4e-05
406132,RF55_17924,4e-67
726468,RF55_14352,2e-83
726447,RF55_10152,2e-83
100577833,RF55_11261,8e-40
551699,RF55_3465,0.0
726369,RF55_3464,2e-48
409261,RF55_7488,0.0
411982,RF55_8461,3e-168
494523,RF55_8460,1e-75
412196,RF55_1645,0.0
412197,RF55_1644,4e-97
412117,RF55_1642,5e-152
409282,RF55_4157,0.0
552032,RF55_4156,1e-58
100576231,RF55_4155,1e-26
410009,RF55_5593,0.0
410009,RF55_5593,2e-176
410009,RF55_5593,7e-159
410009,RF55_5593,2e-87
410009,RF55_5593,9e-12
413649,RF55_2474,1e-127
413650,RF55_15762,4e-135
725946,RF55_1998,2e-81
100577593,RF55_1998,2e-47
409193,RF55_10297,0.0
725819,RF55_12285,2e-138
552221,RF55_11004,0.0
552243,RF55_7101,2e-81
102655679,RF55_19843,3e-63
100578901,RF55_19842,8e-32
552264,RF55_2946,0.0
411705,RF55_3957,0.0
411704,RF55_3956,0.0
102655482,RF55_18323,3e-56
100577521,RF55_5256,0.0
100577521,RF55_5256,3e-29
409909,RF55_5257,8e-176
409910,RF55_5258,1e-138
409911,RF55_3432,0.0
413228,RF55_6418,0.0
725028,RF55_7219,4e-126
100578370,RF55_7218,0.0
552186,RF55_7217,0.0
411996,RF55_9021,0.0
411996,RF55_9021,2e-176
411996,RF55_9021,3e-19
411995,RF55_7946,4e-178
726172,RF55_1691,4e-139
413374,RF55_3266,2e-141
726218,RF55_3265,3e-160
412081,RF55_10683,1e-158
725068,RF55_1690,0.0
411472,RF55_1115,0.0
725421,RF55_1116,0.0
409074,RF55_1117,1e-118
411473,RF55_1118,0.0
409075,RF55_7260,0.0
411474,RF55_7273,0.0
413558,RF55_2646,2e-176
102653680,RF55_2647,0.0
724374,RF55_4955,6e-36
409970,RF55_4527,1e-72
413560,RF55_4235,0.0
724237,RF55_8383,2e-67
413562,RF55_6628,0.0
409706,RF55_1194,2e-88
551558,RF55_8796,0.0
551621,RF55_1892,4e-56
551621,RF55_1892,3e-21
724763,RF55_4212,5e-16
409704,RF55_1893,0.0
724835,RF55_2523,2e-114
724903,RF55_8621,6e-161
100577522,RF55_4676,3e-94
102653723,RF55_6359,2e-09
725457,RF55_8262,2e-08
725386,RF55_10820,5e-125
100577415,RF55_10820,7e-61
725320,RF55_9411,0.0
725281,RF55_999,0.0
410702,RF55_3960,5e-149
551157,RF55_3961,1e-137
725151,RF55_876,1e-67
100577365,RF55_85,2e-128
725078,RF55_84,1e-179
410705,RF55_17824,2e-124
724991,RF55_6365,9e-83
724991,RF55_6365,9e-48
408583,RF55_4554,6e-89
725458,RF55_2258,1e-177
725348,RF55_599,0.0
725387,RF55_598,4e-67
100578186,RF55_600,0.0
550723,RF55_601,5e-161
724496,RF55_1656,4e-126
724540,RF55_1655,2e-95
414039,RF55_4206,4e-09
550996,RF55_1407,8e-18
413099,RF55_1406,0.0
551069,RF55_19294,2e-158
551111,RF55_12697,1e-82
413018,RF55_11117,0.0
551280,RF55_3016,6e-104
551280,RF55_3016,1e-28
102655530,RF55_3016,4e-10
551319,RF55_9349,0.0
551356,RF55_2958,0.0
551356,RF55_2958,6e-05
408579,RF55_3467,0.0
408579,RF55_3467,2e-60
408579,RF55_3467,2e-10
408579,RF55_3467,5e-08
408578,RF55_8068,0.0
408577,RF55_7525,0.0
551647,RF55_3827,2e-144
551680,RF55_1536,0.0
408576,RF55_4940,0.0
551731,RF55_3433,0.0
551762,RF55_3434,0.0
100576169,RF55_1273,0.0
410083,RF55_1272,0.0
410687,RF55_7539,0.0
413245,RF55_7539,1e-102
724332,RF55_7538,0.0
551911,RF55_7537,0.0
724413,RF55_7536,3e-64
724497,RF55_3795,0.0
100578913,RF55_3796,5e-147
410690,RF55_3797,0.0
408580,RF55_11235,0.0
410689,RF55_6270,1e-64
410689,RF55_6270,8e-06
552096,RF55_6882,0.0
410688,RF55_6420,0.0
552141,RF55_6419,0.0
552167,RF55_12360,1e-168
412601,RF55_11805,4e-174
724950,RF55_2651,0.0
552251,RF55_2456,2e-144
409027,RF55_626,0.0
411351,RF55_2091,0.0
413895,RF55_2091,0.0
413895,RF55_2091,7e-22
552332,RF55_2090,0.0
102655663,RF55_16437,3e-47
409792,RF55_1157,0.0
727333,RF55_8430,2e-46
100576797,RF55_6242,3e-165
413502,RF55_36,2e-115
413501,RF55_35,6e-95
413500,RF55_3318,5e-169
409937,RF55_3317,0.0
409936,RF55_20160,5e-83
413499,RF55_12558,0.0
411721,RF55_10521,4e-152
411722,RF55_10153,0.0
411723,RF55_7716,0.0
411723,RF55_7716,3e-05
410686,RF55_3278,0.0
410685,RF55_2119,1e-48
410685,RF55_2119,4e-05
551357,RF55_8024,1e-24
410684,RF55_9519,6e-62
410683,RF55_9206,0.0
551451,RF55_2360,0.0
551494,RF55_2359,1e-101
411700,RF55_4246,0.0
102655034,RF55_1964,6e-44
551622,RF55_13769,0.0
726034,RF55_8345,7e-62
726034,RF55_8345,3e-58
410681,RF55_8346,0.0
726148,RF55_7184,4e-62
408573,RF55_4182,5e-69
408574,RF55_4183,0.0
408574,RF55_4183,6e-105
551791,RF55_4184,9e-144
408575,RF55_10153,0.0
412777,RF55_1765,4e-143
412778,RF55_4265,0.0
726349,RF55_2357,0.0
413574,RF55_2356,0.0
413575,RF55_3175,0.0
