gene,age,caste,Dataset S5: A list of honey bee OGS3.2 genes highlighting taxonomic status and caste expression status.,,,,,
GB40299,NA,NDEG,,,,,,
GB40300,NA,NA,,,,,,
GB40301,Insecta,NDEG,,,,,,
GB40302,Insecta,Q,,,,,,
GB40303,Insecta,NA,,,,,,
GB40304,Insecta,NA,,,,,,
GB40305,Insecta,NDEG,,,,,,
GB40306,Apis,NA,,,,,,
GB40307,Insecta,NA,,,,,,
GB40308,Insecta,NDEG,,,,,,
GB40309,Insecta,NA,,,,,,
GB40310,Insecta,NA,,,,,,
GB40312,Insecta,NA,,,,,,
GB40313,NA,NA,,,,,,
GB40314,Hymenoptera,NA,,,,,,
GB40316,Insecta,NA,,,,,,
GB40319,Insecta,NA,,,,,,
GB40320,Insecta,NDEG,,,,,,
GB40321,Apis,NA,,,,,,
GB40330,Insecta,NA,,,,,,
GB40334,NA,NA,,,,,,
GB40335,Insecta,NA,,,,,,
GB40336,Insecta,NDEG,,,,,,
GB40337,Insecta,NA,,,,,,
GB40338,Insecta,NA,,,,,,
GB40339,Insecta,NDEG,,,,,,
GB40340,Hymenoptera,NA,,,,,,
GB40341,Insecta,NA,,,,,,
GB40342,Insecta,NA,,,,,,
GB40343,Insecta,NA,,,,,,
GB40345,NA,NA,,,,,,
GB40346,Hymenoptera,NA,,,,,,
GB40347,Hymenoptera,NA,,,,,,
GB40348,Insecta,NA,,,,,,
GB40349,Insecta,NA,,,,,,
GB40350,Insecta,NA,,,,,,
GB40351,NA,NA,,,,,,
GB40352,NA,NA,,,,,,
GB40353,NA,NA,,,,,,
GB40354,Apis,NA,,,,,,
GB40355,Insecta,NA,,,,,,
GB40356,Insecta,NA,,,,,,
GB40357,Insecta,NA,,,,,,
GB40358,Insecta,NA,,,,,,
GB40359,Insecta,NA,,,,,,
GB40360,Insecta,NA,,,,,,
GB40361,Insecta,NA,,,,,,
GB40362,Insecta,NA,,,,,,
GB40363,Insecta,NA,,,,,,
GB40364,Insecta,NA,,,,,,
GB40365,Insecta,NA,,,,,,
GB40366,NA,NA,,,,,,
GB40369,NA,NA,,,,,,
GB40370,NA,NA,,,,,,
GB40375,NA,NA,,,,,,
GB40377,Hymenoptera,NDEG,,,,,,
GB40378,NA,NA,,,,,,
GB40381,Insecta,NA,,,,,,
GB40382,Insecta,NA,,,,,,
GB40385,Insecta,NA,,,,,,
GB40386,Insecta,NA,,,,,,
GB40387,Insecta,NA,,,,,,
GB40388,Insecta,NA,,,,,,
GB40390,Insecta,NA,,,,,,
GB40391,Insecta,NA,,,,,,
GB40392,Insecta,NA,,,,,,
GB40393,Hymenoptera,NA,,,,,,
GB40394,NA,NA,,,,,,
GB40395,Insecta,NDEG,,,,,,
GB40396,Hymenoptera,NA,,,,,,
GB40397,Insecta,NA,,,,,,
GB40398,Insecta,NA,,,,,,
GB40399,Insecta,NDEG,,,,,,
GB40400,Insecta,NA,,,,,,
GB40401,Insecta,NA,,,,,,
GB40403,NA,NA,,,,,,
GB40405,Insecta,NA,,,,,,
GB40406,NA,NA,,,,,,
GB40407,Insecta,NA,,,,,,
GB40408,Hymenoptera,NA,,,,,,
GB40409,Insecta,NA,,,,,,
GB40410,Insecta,NA,,,,,,
GB40411,Insecta,NA,,,,,,
GB40412,Insecta,NA,,,,,,
GB40413,NA,NA,,,,,,
GB40414,Insecta,NA,,,,,,
GB40415,Insecta,NA,,,,,,
GB40416,Insecta,NA,,,,,,
GB40417,Insecta,NA,,,,,,
GB40418,NA,NA,,,,,,
GB40420,Insecta,NA,,,,,,
GB40421,NA,NA,,,,,,
GB40422,Insecta,NA,,,,,,
GB40423,Insecta,NA,,,,,,
GB40424,Insecta,NA,,,,,,
GB40425,Hymenoptera,NA,,,,,,
GB40426,Insecta,NA,,,,,,
GB40427,Insecta,NA,,,,,,
GB40428,Insecta,NA,,,,,,
GB40429,Insecta,NDEG,,,,,,
GB40430,NA,NA,,,,,,
GB40431,Insecta,NDEG,,,,,,
GB40432,NA,NA,,,,,,
GB40436,Insecta,NA,,,,,,
GB40437,Hymenoptera,NA,,,,,,
GB40438,Insecta,NA,,,,,,
GB40439,Insecta,NA,,,,,,
GB40440,Insecta,NA,,,,,,
GB40441,Insecta,NA,,,,,,
GB40442,Insecta,NA,,,,,,
GB40444,Insecta,NA,,,,,,
GB40445,Insecta,NDEG,,,,,,
GB40446,Insecta,NA,,,,,,
GB40447,Insecta,NA,,,,,,
GB40448,Insecta,NA,,,,,,
GB40449,NA,NA,,,,,,
GB40451,Insecta,NDEG,,,,,,
GB40452,Insecta,NA,,,,,,
GB40453,Insecta,NA,,,,,,
GB40454,Insecta,NA,,,,,,
GB40456,Insecta,NA,,,,,,
GB40457,Insecta,NA,,,,,,
GB40459,Insecta,NA,,,,,,
GB40460,Insecta,NDEG,,,,,,
GB40461,Insecta,NDEG,,,,,,
GB40462,Insecta,NA,,,,,,
GB40463,Insecta,NA,,,,,,
GB40464,NA,NA,,,,,,
GB40466,Insecta,NDEG,,,,,,
GB40467,Insecta,NA,,,,,,
GB40469,NA,NA,,,,,,
GB40471,NA,NA,,,,,,
GB40473,Insecta,NA,,,,,,
GB40475,NA,NA,,,,,,
GB40478,Insecta,NA,,,,,,
GB40479,Insecta,NA,,,,,,
GB40480,Insecta,W,,,,,,
GB40481,Insecta,NA,,,,,,
GB40483,Insecta,NA,,,,,,
GB40489,Insecta,NDEG,,,,,,
GB40490,Insecta,NA,,,,,,
GB40491,Insecta,NA,,,,,,
GB40492,Insecta,NA,,,,,,
GB40493,Insecta,NA,,,,,,
GB40495,Insecta,NA,,,,,,
GB40496,Insecta,NA,,,,,,
GB40498,Insecta,NDEG,,,,,,
GB40500,Insecta,NA,,,,,,
GB40501,Hymenoptera,NA,,,,,,
GB40502,NA,NA,,,,,,
GB40503,Insecta,NDEG,,,,,,
GB40504,Insecta,NA,,,,,,
GB40507,Insecta,NA,,,,,,
GB40508,Insecta,NA,,,,,,
GB40509,Insecta,NA,,,,,,
GB40510,Insecta,NA,,,,,,
GB40511,Hymenoptera,NA,,,,,,
GB40513,Insecta,NA,,,,,,
GB40514,Insecta,NA,,,,,,
GB40515,Insecta,NA,,,,,,
GB40516,Insecta,NA,,,,,,
GB40517,Insecta,NA,,,,,,
GB40519,Insecta,NA,,,,,,
GB40521,Insecta,NA,,,,,,
GB40522,Insecta,NA,,,,,,
GB40523,Hymenoptera,NA,,,,,,
GB40525,Apis,NA,,,,,,
GB40526,NA,NA,,,,,,
GB40527,NA,NA,,,,,,
GB40529,NA,NA,,,,,,
GB40530,NA,NA,,,,,,
GB40531,Insecta,NA,,,,,,
GB40533,Hymenoptera,NA,,,,,,
GB40534,Insecta,NA,,,,,,
GB40536,Hymenoptera,NA,,,,,,
GB40537,Insecta,NDEG,,,,,,
GB40538,Insecta,NA,,,,,,
GB40539,Insecta,NA,,,,,,
GB40540,Insecta,NA,,,,,,
GB40541,Insecta,NA,,,,,,
GB40542,Insecta,NA,,,,,,
GB40543,Insecta,NA,,,,,,
GB40545,Insecta,NA,,,,,,
GB40546,Apoidea,NA,,,,,,
GB40547,NA,NA,,,,,,
GB40548,Insecta,NDEG,,,,,,
GB40549,NA,NA,,,,,,
GB40552,NA,NA,,,,,,
GB40554,Insecta,NA,,,,,,
GB40555,Insecta,NA,,,,,,
GB40556,Insecta,NA,,,,,,
GB40558,Insecta,NDEG,,,,,,
GB40559,Insecta,NA,,,,,,
GB40560,Insecta,NA,,,,,,
GB40561,Insecta,NA,,,,,,
GB40562,Hymenoptera,NA,,,,,,
GB40563,Insecta,NDEG,,,,,,
GB40564,Insecta,NA,,,,,,
GB40565,Insecta,NA,,,,,,
GB40566,Insecta,NA,,,,,,
GB40567,Insecta,NA,,,,,,
GB40572,Apis,NA,,,,,,
GB40573,Hymenoptera,NA,,,,,,
GB40574,Insecta,NA,,,,,,
GB40576,Insecta,NDEG,,,,,,
GB40577,Insecta,NDEG,,,,,,
GB40578,Insecta,NA,,,,,,
GB40580,Insecta,NA,,,,,,
GB40581,Hymenoptera,NA,,,,,,
GB40582,NA,NA,,,,,,
GB40583,Hymenoptera,NA,,,,,,
GB40584,NA,NA,,,,,,
GB40586,NA,NA,,,,,,
GB40589,Insecta,NDEG,,,,,,
GB40590,Insecta,NA,,,,,,
GB40592,Insecta,NDEG,,,,,,
GB40593,Hymenoptera,NA,,,,,,
GB40594,Insecta,NA,,,,,,
GB40595,Insecta,NA,,,,,,
GB40596,Insecta,NA,,,,,,
GB40598,Insecta,NA,,,,,,
GB40599,Insecta,NA,,,,,,
GB40600,Hymenoptera,NA,,,,,,
GB40602,NA,NA,,,,,,
GB40603,Insecta,NA,,,,,,
GB40604,Insecta,NA,,,,,,
GB40605,Apoidea,NA,,,,,,
GB40606,Hymenoptera,NA,,,,,,
GB40607,Apoidea,NA,,,,,,
GB40608,NA,NA,,,,,,
GB40609,Apoidea,NA,,,,,,
GB40610,Insecta,NA,,,,,,
GB40611,Insecta,NA,,,,,,
GB40614,Insecta,NA,,,,,,
GB40615,Insecta,NA,,,,,,
GB40616,Hymenoptera,NA,,,,,,
GB40617,Insecta,NA,,,,,,
GB40618,Insecta,NA,,,,,,
GB40619,Insecta,NA,,,,,,
GB40620,NA,NA,,,,,,
GB40621,NA,NA,,,,,,
GB40622,NA,NA,,,,,,
GB40624,Insecta,NA,,,,,,
GB40625,Insecta,NA,,,,,,
GB40626,Insecta,NDEG,,,,,,
GB40627,Insecta,NA,,,,,,
GB40629,Insecta,NA,,,,,,
GB40632,NA,NA,,,,,,
GB40633,NA,NA,,,,,,
GB40634,Insecta,NA,,,,,,
GB40635,Insecta,NDEG,,,,,,
GB40636,NA,NA,,,,,,
GB40637,Insecta,NA,,,,,,
GB40639,Hymenoptera,NA,,,,,,
GB40640,Insecta,NA,,,,,,
GB40641,Hymenoptera,NA,,,,,,
GB40642,Insecta,NA,,,,,,
GB40644,Insecta,NA,,,,,,
GB40645,NA,NA,,,,,,
GB40647,Hymenoptera,NA,,,,,,
GB40648,Insecta,NA,,,,,,
GB40650,NA,NA,,,,,,
GB40652,Insecta,NA,,,,,,
GB40653,Insecta,NA,,,,,,
GB40654,Insecta,NA,,,,,,
GB40655,Insecta,NA,,,,,,
GB40656,Insecta,NA,,,,,,
GB40657,Insecta,NA,,,,,,
GB40658,Hymenoptera,NA,,,,,,
GB40659,Hymenoptera,NA,,,,,,
GB40660,NA,NA,,,,,,
GB40661,NA,NA,,,,,,
GB40662,Hymenoptera,NA,,,,,,
GB40663,Insecta,NA,,,,,,
GB40664,NA,NA,,,,,,
GB40665,Hymenoptera,NA,,,,,,
GB40666,Hymenoptera,NA,,,,,,
GB40667,Hymenoptera,NA,,,,,,
GB40668,Hymenoptera,NA,,,,,,
GB40669,Hymenoptera,NA,,,,,,
GB40670,Insecta,NA,,,,,,
GB40671,Insecta,NA,,,,,,
GB40672,Insecta,NA,,,,,,
GB40673,Insecta,Q,,,,,,
GB40674,Insecta,NA,,,,,,
GB40676,Insecta,NA,,,,,,
GB40678,Insecta,NA,,,,,,
GB40679,NA,NA,,,,,,
GB40681,Insecta,NA,,,,,,
GB40682,Apoidea,NA,,,,,,
GB40683,Hymenoptera,NA,,,,,,
GB40684,Hymenoptera,NA,,,,,,
GB40685,NA,NA,,,,,,
GB40686,Insecta,NDEG,,,,,,
GB40687,NA,NA,,,,,,
GB40689,Insecta,NA,,,,,,
GB40690,Insecta,NA,,,,,,
GB40691,Insecta,NA,,,,,,
GB40692,NA,NA,,,,,,
GB40693,Insecta,NA,,,,,,
GB40694,Insecta,NA,,,,,,
GB40695,Apoidea,NA,,,,,,
GB40696,Apoidea,NA,,,,,,
GB40697,NA,NA,,,,,,
GB40699,Hymenoptera,NA,,,,,,
GB40700,Insecta,NA,,,,,,
GB40701,Insecta,NA,,,,,,
GB40702,NA,NA,,,,,,
GB40703,Insecta,NA,,,,,,
GB40704,Insecta,NA,,,,,,
GB40705,Insecta,NDEG,,,,,,
GB40706,Insecta,NA,,,,,,
GB40707,Insecta,NA,,,,,,
GB40708,Insecta,NDEG,,,,,,
GB40711,Insecta,NA,,,,,,
GB40712,Insecta,W,,,,,,
GB40713,Hymenoptera,NA,,,,,,
GB40715,Insecta,NA,,,,,,
GB40716,Insecta,NA,,,,,,
GB40717,Insecta,NA,,,,,,
GB40718,Insecta,NDEG,,,,,,
GB40720,Insecta,NA,,,,,,
GB40722,Insecta,NA,,,,,,
GB40723,Insecta,NDEG,,,,,,
GB40724,NA,NA,,,,,,
GB40726,Insecta,NA,,,,,,
GB40727,Insecta,NA,,,,,,
GB40728,Insecta,NA,,,,,,
GB40730,Insecta,NA,,,,,,
GB40731,Insecta,NA,,,,,,
GB40732,Hymenoptera,NA,,,,,,
GB40733,Insecta,NA,,,,,,
GB40734,Hymenoptera,NDEG,,,,,,
GB40735,Insecta,NDEG,,,,,,
GB40737,NA,NA,,,,,,
GB40740,Insecta,NA,,,,,,
GB40741,Insecta,NA,,,,,,
GB40743,NA,NA,,,,,,
GB40744,Insecta,NA,,,,,,
GB40745,Insecta,NA,,,,,,
GB40746,Insecta,NDEG,,,,,,
GB40747,Insecta,NDEG,,,,,,
GB40748,Insecta,NDEG,,,,,,
GB40749,Insecta,NA,,,,,,
GB40750,Insecta,Q,,,,,,
GB40751,Insecta,NA,,,,,,
GB40752,NA,NA,,,,,,
GB40754,Apoidea,NA,,,,,,
GB40755,NA,NA,,,,,,
GB40756,NA,NA,,,,,,
GB40757,NA,NA,,,,,,
GB40758,NA,NA,,,,,,
GB40759,Insecta,NA,,,,,,
GB40760,Insecta,NA,,,,,,
GB40763,Hymenoptera,NA,,,,,,
GB40764,Insecta,NA,,,,,,
GB40765,Insecta,NA,,,,,,
GB40766,Insecta,NA,,,,,,
GB40767,Insecta,NDEG,,,,,,
GB40768,Hymenoptera,NA,,,,,,
GB40769,Insecta,Q,,,,,,
GB40770,Insecta,NDEG,,,,,,
GB40771,Insecta,NA,,,,,,
GB40773,Insecta,NA,,,,,,
GB40774,Insecta,NDEG,,,,,,
GB40775,Insecta,NDEG,,,,,,
GB40776,NA,NA,,,,,,
GB40777,Insecta,NA,,,,,,
GB40778,Insecta,NA,,,,,,
GB40779,Insecta,Q,,,,,,
GB40780,Insecta,NA,,,,,,
GB40781,Insecta,NA,,,,,,
GB40782,Insecta,NA,,,,,,
GB40783,Insecta,NDEG,,,,,,
GB40784,Insecta,NA,,,,,,
GB40785,Insecta,NDEG,,,,,,
GB40787,NA,NA,,,,,,
GB40788,Insecta,NA,,,,,,
GB40789,Hymenoptera,NA,,,,,,
GB40791,NA,NA,,,,,,
GB40792,NA,NA,,,,,,
GB40793,NA,NA,,,,,,
GB40794,Insecta,NA,,,,,,
GB40796,Insecta,NA,,,,,,
GB40797,Insecta,NA,,,,,,
GB40798,Insecta,NA,,,,,,
GB40799,Insecta,NA,,,,,,
GB40800,Insecta,NDEG,,,,,,
GB40801,Insecta,NA,,,,,,
GB40802,Insecta,NA,,,,,,
GB40803,Hymenoptera,NA,,,,,,
GB40804,Insecta,NDEG,,,,,,
GB40805,Insecta,NDEG,,,,,,
GB40806,Insecta,NDEG,,,,,,
GB40807,Insecta,NA,,,,,,
GB40808,Insecta,NDEG,,,,,,
GB40809,Insecta,NA,,,,,,
GB40810,Insecta,NA,,,,,,
GB40812,NA,NA,,,,,,
GB40814,NA,NA,,,,,,
GB40815,NA,NA,,,,,,
GB40816,Insecta,NDEG,,,,,,
GB40817,NA,NA,,,,,,
GB40818,Insecta,NA,,,,,,
GB40819,Hymenoptera,NA,,,,,,
GB40821,Hymenoptera,NA,,,,,,
GB40822,NA,NA,,,,,,
GB40823,Insecta,NA,,,,,,
GB40824,Insecta,NDEG,,,,,,
GB40827,NA,NA,,,,,,
GB40828,Insecta,NA,,,,,,
GB40829,NA,NA,,,,,,
GB40830,Insecta,NA,,,,,,
GB40831,Insecta,NA,,,,,,
GB40833,Insecta,NA,,,,,,
GB40834,NA,NA,,,,,,
GB40836,Hymenoptera,NA,,,,,,
GB40837,Insecta,NDEG,,,,,,
GB40838,Insecta,NA,,,,,,
GB40839,Hymenoptera,NA,,,,,,
GB40841,NA,NA,,,,,,
GB40842,Insecta,W,,,,,,
GB40843,Insecta,NA,,,,,,
GB40845,Insecta,NA,,,,,,
GB40848,Apoidea,NA,,,,,,
GB40849,NA,NA,,,,,,
GB40850,NA,NA,,,,,,
GB40853,Hymenoptera,NA,,,,,,
GB40854,NA,NA,,,,,,
GB40855,NA,NA,,,,,,
GB40856,Insecta,NA,,,,,,
GB40857,Insecta,NA,,,,,,
GB40858,Insecta,NA,,,,,,
GB40859,Insecta,NA,,,,,,
GB40860,Hymenoptera,NA,,,,,,
GB40861,Insecta,NDEG,,,,,,
GB40862,Insecta,NA,,,,,,
GB40864,Insecta,NA,,,,,,
GB40865,Apoidea,NDEG,,,,,,
GB40866,Insecta,NDEG,,,,,,
GB40867,Insecta,NA,,,,,,
GB40868,Insecta,NDEG,,,,,,
GB40869,NA,NA,,,,,,
GB40870,Insecta,NA,,,,,,
GB40871,Insecta,NA,,,,,,
GB40872,Insecta,NA,,,,,,
GB40873,Insecta,NA,,,,,,
GB40874,Insecta,NA,,,,,,
GB40875,Insecta,NDEG,,,,,,
GB40876,Insecta,NA,,,,,,
GB40877,Insecta,NA,,,,,,
GB40878,Insecta,NA,,,,,,
GB40879,Insecta,NA,,,,,,
GB40880,Insecta,NA,,,,,,
GB40881,Insecta,NA,,,,,,
GB40882,Insecta,NA,,,,,,
GB40883,Insecta,NA,,,,,,
GB40884,Insecta,NA,,,,,,
GB40885,Insecta,NA,,,,,,
GB40886,Insecta,NA,,,,,,
GB40887,Insecta,NDEG,,,,,,
GB40888,Insecta,NDEG,,,,,,
GB40890,Insecta,NA,,,,,,
GB40891,Insecta,NA,,,,,,
GB40893,Insecta,NA,,,,,,
GB40894,Insecta,NA,,,,,,
GB40895,Insecta,NA,,,,,,
GB40896,Hymenoptera,NA,,,,,,
GB40901,Insecta,NA,,,,,,
GB40903,Insecta,NA,,,,,,
GB40904,Insecta,NA,,,,,,
GB40905,Insecta,NA,,,,,,
GB40906,Insecta,NA,,,,,,
GB40907,Insecta,NDEG,,,,,,
GB40908,Insecta,NA,,,,,,
GB40909,Insecta,NA,,,,,,
GB40911,Insecta,NA,,,,,,
GB40914,NA,NA,,,,,,
GB40915,NA,NA,,,,,,
GB40916,Insecta,NA,,,,,,
GB40917,NA,NA,,,,,,
GB40918,NA,NA,,,,,,
GB40919,NA,NA,,,,,,
GB40920,NA,NA,,,,,,
GB40921,NA,NA,,,,,,
GB40922,NA,NA,,,,,,
GB40923,Insecta,NA,,,,,,
GB40926,Insecta,NA,,,,,,
GB40928,Insecta,NA,,,,,,
GB40929,Insecta,NA,,,,,,
GB40930,NA,NA,,,,,,
GB40931,Insecta,NA,,,,,,
GB40932,Hymenoptera,NA,,,,,,
GB40933,Hymenoptera,NA,,,,,,
