am,ln,evalue
XP_003392945.1,KMQ90552.1,2e-103
XP_003392947.1,KMQ92839.1,3e-165
XP_003392950.1,KMQ94152.1,0.0
XP_003392951.1,KMQ94151.1,8e-126
XP_003392952.1,KMQ93922.1,0.0
XP_003392952.1,KMQ93922.1,9e-12
XP_003392953.1,KMQ93922.1,0.0
XP_003392953.1,KMQ93922.1,1e-11
XP_003392954.1,KMQ96166.1,0.0
XP_003392955.1,KMQ98323.1,0.0
XP_003392957.1,KMQ90179.1,0.0
XP_003392959.1,KMQ89856.1,0.0
XP_003392959.1,KMQ89856.1,1e-10
XP_003392960.1,KMQ93013.1,0.0
XP_003392961.1,KMQ97532.1,0.0
XP_003392963.1,KMQ97531.1,0.0
XP_003392964.1,KMQ97529.1,4e-67
XP_003392965.1,KMQ97528.1,1e-95
XP_003392968.1,KMQ90122.1,6e-84
XP_003392969.1,KMQ97528.1,1e-95
XP_003392970.1,KMQ97529.1,4e-67
XP_003392971.1,KMQ93338.1,4e-84
XP_003392978.1,KMR04647.1,6e-85
XP_003392979.1,KMR04648.1,2e-91
XP_003392980.1,KMR04828.1,9e-104
XP_003392981.1,KMQ96588.1,1e-09
XP_003392983.2,KMQ92692.1,4e-111
XP_003392984.1,KMQ91368.1,0.0
XP_003392984.1,KMQ91368.1,6e-33
XP_003392985.1,KMQ95142.1,1e-118
XP_003392987.1,KMQ95141.1,4e-28
XP_003392990.1,KMQ91332.1,0.0
XP_003392991.1,KMR02778.1,0.0
XP_003392991.1,KMR02778.1,1e-104
XP_003392991.1,KMR02778.1,3e-55
XP_003392991.1,KMR02778.1,1e-36
XP_003392991.1,KMR02778.1,2e-29
XP_003392992.1,KMR02775.1,0.0
XP_003392993.1,KMR02776.1,2e-133
XP_003392995.1,KMQ96421.1,4e-21
XP_003392995.1,KMQ96421.1,4e-17
XP_003392995.1,KMQ96421.1,2e-16
XP_003392995.1,KMQ96421.1,3e-11
XP_003392995.1,KMQ96421.1,5e-09
XP_003392995.1,KMQ96421.1,7e-06
XP_003392999.1,KMQ91552.1,3e-20
XP_003393000.1,KMQ92951.1,0.0
XP_003393002.1,KMQ85684.1,0.0
XP_003393003.1,KMQ85055.1,2e-125
XP_003393005.1,KMQ85554.1,0.0
XP_003393006.1,KMQ97959.1,1e-82
XP_003393009.1,KMQ97060.1,3e-105
XP_003393010.1,KMQ97061.1,1e-90
XP_003393014.1,KMQ96165.1,1e-29
XP_003393016.1,KMQ94559.1,0.0
XP_003393017.1,KMQ94560.1,4e-109
XP_003393020.1,KMQ94806.1,3e-173
XP_003393022.1,KMQ92732.1,9e-84
XP_003393025.1,KMR05078.1,0.0
XP_003393026.1,KMR05079.1,1e-156
XP_003393028.1,KMR05077.1,2e-164
XP_003393030.1,KMQ93967.1,2e-146
XP_003393031.1,KMQ93445.1,9e-28
XP_003393032.1,KMQ91535.1,0.0
XP_003393033.1,KMQ90677.1,5e-177
XP_003393033.1,KMQ90677.1,3e-57
XP_003393033.1,KMQ90677.1,3e-33
XP_003393033.1,KMQ90677.1,4e-21
XP_003393035.1,KMQ88862.1,9e-127
XP_003393036.1,KMQ88863.1,0.0
XP_003393038.1,KMQ91264.1,0.0
XP_003393040.1,KMQ91265.1,2e-57
XP_003393041.1,KMQ97646.1,0.0
XP_003393042.1,KMR05130.1,6e-143
XP_003393044.1,KMR05131.1,5e-142
XP_003393045.1,KMR05131.1,7e-142
XP_003393047.1,KMR05129.1,0.0
XP_003393048.1,KMQ92702.1,0.0
XP_003393051.2,KMQ98991.1,0.0
XP_003393053.1,KMQ98990.1,3e-115
XP_003393055.1,KMQ98989.1,0.0
XP_003393058.1,KMQ96444.1,0.0
XP_003393059.1,KMQ96445.1,8e-154
XP_003393060.1,KMQ97962.1,1e-139
XP_003393061.1,KMQ97962.1,1e-139
XP_003393062.1,KMQ91145.1,0.0
XP_003393062.1,KMQ91145.1,1e-17
XP_003393065.1,KMQ92753.1,0.0
XP_003393066.2,KMQ92754.1,0.0
XP_003393067.2,KMQ92755.1,3e-120
XP_003393068.1,KMQ96290.1,0.0
XP_003393069.1,KMQ93478.1,0.0
XP_003393071.1,KMQ94582.1,1e-178
XP_003393073.1,KMQ95801.1,0.0
XP_003393075.1,KMQ95802.1,0.0
XP_003393076.1,KMQ96746.1,0.0
XP_003393077.1,KMQ83503.1,6e-32
XP_003393078.1,KMQ89376.1,0.0
XP_003393080.1,KMQ89376.1,0.0
XP_003393082.1,KMQ88258.1,2e-144
XP_003393083.1,KMQ90002.1,0.0
XP_003393084.1,KMQ90002.1,0.0
XP_003393086.1,KMQ97654.1,7e-53
XP_003393087.1,KMQ85591.1,2e-128
XP_003393089.1,KMQ97201.1,3e-126
XP_003393090.1,KMQ94265.1,0.0
XP_003393090.1,KMQ94265.1,1e-175
XP_003393090.1,KMQ94265.1,9e-171
XP_003393090.1,KMQ94265.1,3e-156
XP_003393090.1,KMQ94265.1,5e-86
XP_003393090.1,KMQ94265.1,7e-13
XP_003393092.1,KMQ95620.1,3e-59
XP_003393093.1,KMQ95620.1,3e-59
XP_003393098.1,KMQ98009.1,5e-93
XP_003393104.1,KMQ91645.1,2e-168
XP_003393106.1,KMR04602.1,4e-160
XP_003393106.1,KMR04602.1,5e-05
XP_003393110.1,KMQ92510.1,0.0
XP_003393111.1,KMQ92510.1,0.0
XP_003393113.2,KMQ96269.1,8e-51
XP_003393114.1,KMQ97527.1,1e-48
XP_003393115.1,KMQ97529.1,4e-67
XP_003393116.1,KMQ86623.1,4e-28
XP_003393119.1,KMQ95513.1,0.0
XP_003393121.1,KMQ97891.1,9e-150
XP_003393123.1,KMQ95590.1,1e-137
XP_003393124.1,KMQ95588.1,2e-68
XP_003393129.2,KMQ95531.1,0.0
XP_003393134.1,KMQ97218.1,3e-23
XP_003393136.1,KMQ96434.1,0.0
XP_003393138.1,KMQ92315.1,0.0
XP_003393138.1,KMQ92315.1,3e-05
XP_003393140.1,KMQ88026.1,0.0
XP_003393142.1,KMQ96395.1,0.0
XP_003393145.1,KMR05355.1,6e-94
XP_003393146.1,KMQ93119.1,1e-13
XP_003393147.1,KMQ94507.1,1e-124
XP_003393150.1,KMQ98270.1,6e-76
XP_003393150.1,KMQ98270.1,4e-12
XP_003393151.1,KMQ92691.1,9e-96
XP_003393158.1,KMQ93118.1,4e-31
XP_003393159.2,KMQ92783.1,2e-62
XP_003393164.1,KMR05356.1,6e-116
XP_003393165.1,KMQ94508.1,4e-135
XP_003393166.1,KMQ94506.1,8e-108
XP_003393166.1,KMQ94506.1,4e-10
XP_003393168.1,KMQ96684.1,7e-104
XP_003393168.1,KMQ96684.1,2e-26
XP_003393170.1,KMQ89268.1,0.0
XP_003393172.1,KMQ93716.1,2e-90
XP_003393173.1,KMQ93472.1,0.0
XP_003393174.1,KMR04646.1,0.0
XP_003393175.1,KMQ86789.1,6e-61
XP_003393176.2,KMQ86790.1,4e-100
XP_003393177.1,KMQ93471.1,4e-66
XP_003393179.1,KMR04644.1,0.0
XP_003393180.1,KMQ97292.1,0.0
XP_003393181.1,KMQ97294.1,2e-115
XP_003393184.1,KMQ97539.1,2e-84
XP_003393185.1,KMQ97539.1,2e-84
XP_003393186.1,KMQ89264.1,2e-54
XP_003393189.1,KMQ96438.1,0.0
XP_003393190.1,KMQ96261.1,0.0
XP_003393190.1,KMQ96261.1,5e-61
XP_003393190.1,KMQ96261.1,2e-09
XP_003393190.1,KMQ96261.1,7e-06
XP_003393191.1,KMQ92003.1,0.0
XP_003393193.1,KMQ98109.1,0.0
XP_003393194.1,KMQ94879.1,0.0
XP_003393195.1,KMQ89264.1,2e-57
XP_003393196.1,KMQ96291.1,0.0
XP_003393197.1,KMQ96292.1,0.0
XP_003393198.1,KMQ96292.1,0.0
XP_003393199.1,KMQ98366.1,0.0
XP_003393200.1,KMQ98365.1,0.0
XP_003393201.1,KMQ92464.1,0.0
XP_003393203.1,KMQ92464.1,4e-93
XP_003393204.1,KMQ92464.1,2e-93
XP_003393206.1,KMQ95955.1,0.0
XP_003393207.1,KMQ89264.1,2e-76
XP_003393208.1,KMQ89162.1,0.0
XP_003393210.1,KMQ93479.1,0.0
XP_003393213.1,KMQ88665.1,7e-174
XP_003393215.1,KMQ97218.1,1e-148
XP_003393216.1,KMQ97569.1,0.0
XP_003393217.1,KMQ97568.1,0.0
XP_003393227.2,KMQ85749.1,9e-115
XP_003393230.2,KMQ97422.1,0.0
XP_003393236.1,KMQ97151.1,0.0
XP_003393236.1,KMQ97151.1,1e-54
XP_003393236.1,KMQ97151.1,2e-19
XP_003393236.1,KMQ97151.1,1e-17
XP_003393236.1,KMQ97151.1,2e-17
XP_003393236.1,KMQ97151.1,4e-17
XP_003393236.1,KMQ97151.1,3e-16
XP_003393236.1,KMQ97151.1,8e-13
XP_003393242.1,KMQ90230.1,6e-05
XP_003393243.1,KMQ92586.1,5e-153
XP_003393245.1,KMQ91119.1,9e-83
XP_003393246.1,KMQ87067.1,4e-54
XP_003393247.1,KMQ89751.1,2e-52
XP_003393248.1,KMQ96847.1,2e-106
XP_003393249.1,KMQ94572.1,4e-113
XP_003393250.1,KMQ90322.1,0.0
XP_003393251.1,KMQ93869.1,0.0
XP_003393252.1,KMQ93300.1,5e-64
XP_003393256.1,KMQ89264.1,6e-109
XP_003393259.1,KMQ97108.1,0.0
XP_003393260.1,KMQ96796.1,0.0
XP_003393261.1,KMQ96797.1,0.0
XP_003393264.1,KMQ90617.1,1e-06
XP_003393266.1,KMQ89264.1,2e-48
XP_003393267.1,KMQ85812.1,2e-18
XP_003393271.1,KMQ91508.1,6e-106
XP_003393272.1,KMQ96274.1,1e-87
XP_003393273.1,KMQ96275.1,2e-92
XP_003393274.1,KMQ91392.1,0.0
XP_003393276.1,KMQ91432.1,1e-18
XP_003393279.1,KMQ95450.1,8e-14
XP_003393281.1,KMQ93648.1,0.0
XP_003393282.1,KMQ98056.1,2e-56
XP_003393283.1,KMR05083.1,0.0
XP_003393284.1,KMQ95422.1,0.0
XP_003393287.1,KMQ95420.1,0.0
XP_003393289.1,KMQ85088.1,0.0
XP_003393290.1,KMQ91121.1,1e-135
XP_003393293.1,KMQ89967.1,3e-06
XP_003393295.1,KMQ92780.1,2e-80
XP_003393296.1,KMQ96575.1,1e-170
XP_003393296.1,KMQ96575.1,2e-50
XP_003393297.1,KMQ93096.1,0.0
XP_003393298.1,KMQ97868.1,0.0
XP_003393299.1,KMQ98429.1,0.0
XP_003393301.1,KMQ92355.1,7e-153
XP_003393302.1,KMQ84024.1,8e-42
XP_003393303.1,KMQ91943.1,1e-130
XP_003393305.1,KMQ91774.1,0.0
XP_003393307.1,KMQ97331.1,0.0
XP_003393308.1,KMQ97331.1,0.0
XP_003393310.1,KMR05082.1,4e-132
XP_003393312.1,KMQ97423.1,0.0
XP_003393312.1,KMQ97423.1,4e-81
XP_003393313.1,KMQ96658.1,0.0
XP_003393315.1,KMQ95940.1,5e-179
XP_003393316.1,KMQ92316.1,0.0
XP_003393317.1,KMQ95279.1,0.0
XP_003393318.1,KMQ95953.1,1e-113
XP_003393320.1,KMR04997.1,0.0
XP_003393320.1,KMR04997.1,1e-128
XP_003393329.1,KMR01560.1,1e-09
XP_003393332.1,KMQ94972.1,4e-140
XP_003393333.2,KMR04523.1,0.0
XP_003393334.1,KMR04999.1,2e-121
XP_003393336.1,KMQ93013.1,4e-65
XP_003393337.1,KMQ93013.1,4e-65
XP_003393338.1,KMQ95811.1,0.0
XP_003393340.1,KMR01560.1,5e-14
XP_003393341.1,KMR01560.1,7e-13
XP_003393343.1,KMR01560.1,2e-12
XP_003393344.1,KMQ96701.1,0.0
XP_003393344.1,KMQ96701.1,5e-08
XP_003393346.1,KMQ94377.1,3e-99
XP_003393346.1,KMQ94377.1,6e-99
XP_003393346.1,KMQ94377.1,5e-46
XP_003393349.1,KMQ94354.1,0.0
XP_003393351.1,KMQ95561.1,1e-07
XP_003393352.1,KMR05332.1,6e-69
XP_003393353.1,KMQ93553.1,2e-48
XP_003393354.1,KMQ97603.1,5e-149
XP_003393355.1,KMQ97603.1,1e-148
XP_003393357.1,KMQ94847.1,1e-73
XP_003393359.1,KMR04558.1,0.0
XP_003393360.1,KMR04559.1,0.0
XP_003393361.1,KMR04559.1,0.0
XP_003393362.1,KMQ89102.1,6e-96
XP_003393363.1,KMQ96908.1,0.0
XP_003393369.1,KMQ92511.1,1e-113
XP_003393369.1,KMQ92511.1,2e-63
XP_003393369.1,KMQ92511.1,4e-17
XP_003393369.1,KMQ92511.1,3e-12
XP_003393369.1,KMQ92511.1,7e-10
XP_003393370.1,KMQ92510.1,0.0
XP_003393371.1,KMQ90438.1,0.0
XP_003393372.1,KMQ90437.1,4e-110
XP_003393373.1,KMR05067.1,0.0
XP_003393374.1,KMR05067.1,0.0
XP_003393375.1,KMR05067.1,0.0
XP_003393376.1,KMQ93459.1,0.0
XP_003393377.1,KMQ93459.1,0.0
XP_003393379.1,KMQ89601.1,0.0
XP_003393381.1,KMQ93606.1,0.0
XP_003393381.1,KMQ93606.1,7e-45
XP_003393382.1,KMQ85457.1,2e-07
XP_003393383.1,KMR05065.1,8e-88
XP_003393384.1,KMR05065.1,7e-88
XP_003393385.1,KMQ91478.1,2e-117
XP_003393388.2,KMQ88919.1,0.0
XP_003393389.1,KMQ88919.1,0.0
XP_003393391.1,KMQ95381.1,0.0
XP_003393392.1,KMQ95382.1,0.0
XP_003393393.1,KMQ95383.1,4e-120
XP_003393394.1,KMQ98445.1,0.0
XP_003393395.1,KMQ98446.1,1e-143
XP_003393396.1,KMQ92509.1,8e-167
XP_003393397.1,KMQ86969.1,3e-66
XP_003393397.1,KMQ86969.1,3e-12
XP_003393398.2,KMR05303.1,0.0
XP_003393401.2,KMQ94941.1,3e-20
XP_003393401.2,KMQ94941.1,9e-12
XP_003393403.1,KMQ98195.1,2e-32
XP_003393406.1,KMQ98442.1,3e-89
XP_003393408.1,KMQ97042.1,3e-176
XP_003393409.1,KMQ95268.1,1e-73
XP_003393410.1,KMQ95542.1,0.0
XP_003393415.1,KMQ98393.1,0.0
XP_003393417.1,KMQ91721.1,9e-43
XP_003393419.1,KMQ98390.1,4e-147
XP_003393420.1,KMQ98389.1,0.0
XP_003393421.1,KMQ96695.1,1e-146
XP_003393423.1,KMQ92097.1,8e-77
XP_003393425.1,KMQ92004.1,3e-179
XP_003393427.1,KMQ97766.1,0.0
XP_003393428.1,KMQ89531.1,3e-168
XP_003393433.1,KMQ95565.1,7e-14
XP_003393436.1,KMQ91354.1,0.0
XP_003393440.1,KMQ96154.1,2e-51
XP_003393443.1,KMQ93956.1,0.0
XP_003393444.1,KMQ93955.1,1e-150
XP_003393446.1,KMQ93567.1,2e-141
XP_003393447.1,KMR04879.1,4e-135
XP_003393448.1,KMQ93567.1,0.0
XP_003393450.1,KMQ95051.1,9e-07
XP_003393451.2,KMQ94608.1,5e-180
XP_003393452.1,KMQ92879.1,1e-20
XP_003393457.1,KMQ98414.1,4e-150
XP_003393457.1,KMQ98414.1,3e-09
XP_003393458.2,KMQ94136.1,9e-139
XP_003393461.1,KMQ91727.1,3e-63
XP_003393462.1,KMQ85951.1,4e-126
XP_003393467.1,KMQ90903.1,7e-08
XP_003393467.1,KMQ90903.1,2e-06
XP_003393469.1,KMQ93534.1,5e-41
XP_003393470.1,KMQ89541.1,8e-60
XP_003393471.1,KMQ90795.1,0.0
XP_003393472.1,KMQ95806.1,1e-132
XP_003393474.2,KMR01216.1,5e-163
XP_003393477.1,KMR02291.1,4e-68
XP_003393481.1,KMQ84395.1,2e-123
XP_003393482.1,KMQ92925.1,1e-97
XP_003393484.1,KMQ93646.1,3e-18
XP_003393486.1,KMQ94587.1,1e-111
XP_003393486.1,KMQ94587.1,8e-24
XP_003393487.1,KMQ87896.1,7e-78
XP_003393489.1,KMQ83708.1,1e-158
XP_003393491.1,KMQ96765.1,1e-123
XP_003393493.1,KMQ86570.1,1e-176
XP_003393495.1,KMQ98238.1,1e-15
XP_003393496.1,KMQ95573.1,4e-09
XP_003393498.2,KMQ96154.1,2e-51
XP_003393499.2,KMQ89219.1,4e-98
XP_003393499.2,KMQ89219.1,2e-43
XP_003393502.1,KMQ89760.1,7e-121
XP_003393502.1,KMQ89760.1,4e-13
XP_003393503.1,KMQ89541.1,2e-147
XP_003393505.1,KMQ95360.1,4e-09
XP_003393507.1,KMQ96680.1,1e-103
XP_003393508.1,KMR04605.1,0.0
XP_003393509.2,KMR04604.1,4e-22
XP_003393509.2,KMR04604.1,1e-05
XP_003393511.1,KMQ87407.1,5e-88
XP_003393512.2,KMQ91500.1,8e-160
XP_003393513.1,KMR04606.1,0.0
XP_003393515.1,KMQ99042.1,2e-50
XP_003393516.1,KMQ99043.1,0.0
XP_003393517.1,KMQ96376.1,5e-54
XP_003393518.1,KMR04628.1,4e-69
XP_003393519.1,KMQ95457.1,2e-137
XP_003393523.1,KMQ91945.1,0.0
XP_003393524.1,KMQ87201.1,0.0
XP_003393526.1,KMR01498.1,0.0
XP_003393528.1,KMQ97205.1,1e-151
XP_003393529.1,KMR04624.1,0.0
XP_003393531.1,KMQ95051.1,6e-18
XP_003393532.1,KMQ90801.1,5e-72
XP_003393534.1,KMQ94895.1,3e-91
XP_003393535.1,KMQ85419.1,7e-87
XP_003393536.1,KMQ92263.1,1e-53
XP_003393537.1,KMQ97931.1,1e-46
XP_003393538.1,KMQ91026.1,6e-39
XP_003393538.1,KMQ91026.1,1e-38
XP_003393538.1,KMQ91026.1,3e-38
XP_003393538.1,KMQ91026.1,8e-36
XP_003393539.1,KMQ83250.1,2e-61
XP_003393540.1,KMQ83956.1,0.0
XP_003393541.1,KMQ94867.1,2e-72
XP_003393545.1,KMQ91489.1,4e-102
XP_003393550.1,KMR04625.1,7e-95
XP_003393551.1,KMQ84010.1,2e-66
XP_003393556.1,KMQ85946.1,0.0
XP_003393557.1,KMQ92210.1,0.0
XP_003393558.1,KMQ95657.1,7e-145
XP_003393559.1,KMQ96375.1,4e-63
XP_003393559.1,KMQ96375.1,8e-06
XP_003393562.1,KMQ92822.1,0.0
XP_003393569.1,KMR01499.1,0.0
XP_003393570.1,KMQ91140.1,5e-107
XP_003393571.1,KMQ92037.1,0.0
XP_003393574.1,KMQ83643.1,2e-22
XP_003393575.1,KMQ96061.1,0.0
XP_003393576.1,KMQ88662.1,0.0
XP_003393578.2,KMQ91000.1,0.0
XP_003393581.1,KMQ90212.1,7e-14
XP_003393582.1,KMR04629.1,3e-75
XP_003393584.1,KMQ86697.1,0.0
XP_003393586.1,KMQ83861.1,0.0
XP_003393587.1,KMQ91664.1,0.0
XP_003393588.1,KMQ96250.1,0.0
XP_003393589.1,KMQ95458.1,0.0
XP_003393590.1,KMQ95426.1,9e-180
XP_003393590.1,KMQ95426.1,3e-72
XP_003393593.2,KMQ95624.1,0.0
XP_003393594.1,KMQ95623.1,0.0
XP_003393595.1,KMQ97095.1,0.0
XP_003393599.1,KMQ97418.1,0.0
XP_003393600.1,KMQ91292.1,0.0
XP_003393601.1,KMQ90646.1,0.0
XP_003393605.1,KMQ95281.1,0.0
XP_003393607.1,KMQ95855.1,0.0
XP_003393608.1,KMQ95856.1,2e-110
XP_003393609.1,KMQ92819.1,0.0
XP_003393610.1,KMQ91237.1,0.0
XP_003393612.1,KMQ93273.1,2e-06
XP_003393614.1,KMQ95710.1,2e-24
XP_003393615.1,KMQ91380.1,9e-160
XP_003393616.1,KMQ91380.1,1e-156
XP_003393617.1,KMQ93351.1,6e-104
XP_003393618.1,KMR04458.1,0.0
XP_003393619.1,KMQ85061.1,7e-162
XP_003393623.1,KMQ94146.1,2e-92
XP_003393625.1,KMQ97625.1,0.0
XP_003393626.1,KMQ97625.1,0.0
XP_003393627.1,KMQ95353.1,0.0
XP_003393628.1,KMQ97624.1,0.0
XP_003393629.1,KMQ93856.1,3e-118
XP_003393630.1,KMQ91093.1,8e-163
XP_003393630.1,KMQ91093.1,8e-13
XP_003393631.1,KMQ96160.1,2e-66
XP_003393632.1,KMQ86707.1,0.0
XP_003393633.1,KMQ86224.1,1e-122
XP_003393636.1,KMQ87401.1,3e-60
XP_003393637.1,KMQ95958.1,7e-132
XP_003393638.1,KMQ97499.1,0.0
XP_003393639.1,KMQ97500.1,6e-127
XP_003393640.1,KMQ93557.1,2e-170
XP_003393641.1,KMQ93556.1,0.0
XP_003393642.1,KMQ94622.1,1e-80
XP_003393642.1,KMQ94622.1,8e-06
XP_003393643.1,KMQ94623.1,4e-64
XP_003393645.1,KMQ94312.1,0.0
XP_003393647.1,KMQ88650.1,3e-24
XP_003393648.1,KMQ88397.1,4e-118
XP_003393648.1,KMQ88397.1,5e-36
XP_003393650.1,KMQ91041.1,0.0
XP_003393651.1,KMQ93823.1,0.0
XP_003393651.1,KMQ93823.1,2e-53
XP_003393653.1,KMQ95518.1,5e-175
XP_003393654.1,KMQ95645.1,0.0
XP_003393654.1,KMQ95645.1,4e-44
XP_003393655.1,KMQ91599.1,5e-61
XP_003393656.1,KMR04588.1,3e-45
XP_003393657.1,KMR04589.1,2e-42
XP_003393658.1,KMR04586.1,7e-57
XP_003393659.1,KMR04584.1,3e-98
XP_003393662.1,KMQ93257.1,5e-43
XP_003393664.1,KMQ92205.1,0.0
XP_003393665.1,KMQ97899.1,0.0
XP_003393668.1,KMQ89528.1,6e-165
XP_003393669.1,KMQ95151.1,3e-89
XP_003393670.1,KMQ92523.1,6e-100
XP_003393671.1,KMQ91110.1,0.0
XP_003393673.1,KMQ87662.1,0.0
XP_003393674.1,KMQ81912.1,5e-90
XP_003393676.1,KMQ89455.1,0.0
XP_003393677.1,KMQ92351.1,0.0
XP_003393680.1,KMQ88811.1,4e-111
XP_003393680.1,KMQ88811.1,1e-07
XP_003393684.1,KMQ96030.1,0.0
XP_003393685.1,KMQ96031.1,0.0
XP_003393685.1,KMQ96031.1,9e-21
XP_003393686.1,KMQ89762.1,4e-87
XP_003393687.1,KMQ97237.1,0.0
XP_003393691.1,KMQ87479.1,0.0
XP_003393692.1,KMQ87479.1,0.0
XP_003393693.2,KMQ97334.1,2e-84
XP_003393693.2,KMQ97334.1,3e-70
XP_003393693.2,KMQ97334.1,9e-50
XP_003393695.1,KMQ93853.1,0.0
XP_003393699.1,KMQ93851.1,2e-29
XP_003393700.1,KMQ95595.1,0.0
XP_003393701.1,KMQ95594.1,0.0
XP_003393702.1,KMQ95596.1,8e-82
XP_003393703.1,KMQ91293.1,0.0
XP_003393703.1,KMQ91293.1,3e-29
XP_003393703.1,KMQ91293.1,4e-19
XP_003393703.1,KMQ91293.1,1e-14
XP_003393704.1,KMQ88638.1,2e-152
XP_003393705.1,KMQ96038.1,0.0
XP_003393706.1,KMQ96038.1,0.0
XP_003393709.1,KMQ94757.1,0.0
XP_003393711.1,KMQ94759.1,1e-109
XP_003393712.1,KMQ92438.1,0.0
XP_003393714.1,KMQ97503.1,0.0
XP_003393715.1,KMQ85814.1,0.0
XP_003393717.1,KMQ94425.1,0.0
XP_003393718.1,KMQ88712.1,4e-11
XP_003393719.1,KMQ91327.1,0.0
XP_003393721.2,KMQ97243.1,6e-98
XP_003393722.1,KMQ97241.1,9e-44
XP_003393727.1,KMQ91433.1,1e-121
XP_003393728.1,KMQ95957.1,0.0
XP_003393730.1,KMR03298.1,4e-124
XP_003393730.1,KMR03298.1,3e-77
XP_003393731.1,KMQ96552.1,0.0
XP_003393735.1,KMQ93651.1,2e-115
XP_003393740.1,KMR04726.1,0.0
XP_003393744.1,KMQ95641.1,4e-159
XP_003393745.1,KMQ97501.1,0.0
XP_003393748.1,KMQ97196.1,0.0
XP_003393749.1,KMQ97357.1,3e-46
XP_003393750.1,KMQ97358.1,0.0
XP_003393751.1,KMQ96962.1,0.0
XP_003393752.1,KMQ97359.1,0.0
XP_003393753.1,KMQ97358.1,3e-155
XP_003393756.1,KMQ97502.1,9e-77
XP_003393757.1,KMQ97502.1,9e-77
XP_003393759.1,KMQ97360.1,0.0
XP_003393760.1,KMQ97361.1,0.0
XP_003393761.1,KMQ95546.1,1e-136
XP_003393762.1,KMQ91153.1,0.0
XP_003393766.1,KMQ93336.1,6e-27
XP_003393766.1,KMQ93336.1,3e-15
XP_003393767.1,KMQ96212.1,5e-31
XP_003393769.1,KMQ97565.1,0.0
XP_003393770.1,KMQ97566.1,0.0
XP_003393770.1,KMQ97566.1,4e-08
XP_003393771.1,KMQ97567.1,0.0
XP_003393772.1,KMQ89084.1,0.0
XP_003393773.1,KMQ97100.1,0.0
XP_003393775.1,KMQ97112.1,2e-56
