bt,am,evalue
XP_003392981.1,XP_003392981.1,0.0
XP_003392983.2,XP_003392983.2,2e-141
XP_003392984.1,XP_003392984.1,0.0
XP_003392985.1,XP_003392985.1,5e-140
XP_003392987.1,XP_003392987.1,1e-60
XP_003392988.1,XP_003392988.1,8e-152
XP_003392989.1,XP_003392989.1,9e-72
XP_003392990.1,XP_012176123.1,0.0
XP_003392991.1,XP_003392991.1,0.0
XP_003392992.1,XP_003392992.1,0.0
XP_003392993.1,XP_003392993.1,6e-177
XP_003392994.1,XP_003392994.1,4e-142
XP_003392995.1,XP_003392995.1,0.0
XP_003392998.1,XP_003392998.1,0.0
XP_003392999.1,XP_003392999.1,0.0
XP_003393000.1,XP_012176284.1,0.0
XP_003393002.1,XP_012176333.1,0.0
XP_003393003.1,XP_003393003.1,0.0
XP_003393005.1,XP_003393005.1,0.0
XP_003393006.1,XP_003393006.1,0.0
XP_003393007.1,XP_012176442.1,0.0
XP_003393008.2,XP_003393008.2,0.0
XP_003393009.1,XP_003393009.1,1e-146
XP_003393010.1,XP_003393010.1,6e-126
XP_003393011.1,XP_003393011.1,2e-76
XP_003393014.1,XP_003393014.1,1e-106
XP_003393015.1,XP_003393015.1,6e-53
XP_003393016.1,XP_012176522.1,0.0
XP_003393017.1,XP_003393017.1,0.0
XP_003393019.1,XP_012176548.1,2e-71
XP_003393020.1,XP_012176581.1,0.0
XP_003393022.1,XP_003393022.1,0.0
XP_003393025.1,XP_003393025.1,0.0
XP_003393026.1,XP_003393026.1,0.0
XP_003393028.1,XP_003393028.1,0.0
XP_003393030.1,XP_003393030.1,0.0
XP_003393031.1,XP_003393031.1,5e-77
XP_003393032.1,XP_003393032.1,0.0
XP_003393033.1,XP_003393033.1,0.0
XP_003393034.1,XP_003393034.1,4e-35
XP_003393035.1,XP_003393035.1,0.0
XP_003393036.1,XP_003393036.1,0.0
XP_003393038.1,XP_012163125.1,0.0
XP_003393040.1,XP_003393040.1,7e-104
XP_003393041.1,XP_003393041.1,0.0
XP_003393042.1,XP_003393042.1,0.0
XP_003393044.1,XP_003393045.1,1e-170
XP_003393045.1,XP_003393045.1,0.0
XP_003393047.1,XP_003393047.1,0.0
XP_003393048.1,XP_003393048.1,0.0
XP_003393051.2,XP_003393051.2,0.0
XP_003393053.1,XP_003393053.1,2e-143
XP_003393055.1,XP_003393055.1,0.0
XP_003393058.1,XP_003393058.1,0.0
XP_003393059.1,XP_003393059.1,0.0
XP_003393060.1,XP_003393061.1,0.0
XP_003393061.1,XP_003393061.1,0.0
XP_003393062.1,XP_003393062.1,0.0
XP_003393064.1,XP_003393064.1,0.0
XP_003393065.1,XP_003393065.1,0.0
XP_003393066.2,XP_003393066.2,0.0
XP_003393067.2,XP_003393067.2,0.0
XP_003393068.1,XP_012163643.1,0.0
XP_003393069.1,XP_003393069.1,0.0
XP_003393070.1,XP_003393070.1,1e-130
XP_003393071.1,XP_012163729.1,0.0
XP_003393073.1,XP_003393073.1,0.0
XP_003393075.1,XP_003393075.1,0.0
XP_003393076.1,XP_003393076.1,0.0
XP_003393077.1,XP_003393077.1,8e-54
XP_003393078.1,XP_003393078.1,0.0
XP_003393080.1,XP_003393080.1,0.0
XP_003393082.1,XP_003393082.1,0.0
XP_003393083.1,XP_003393083.1,0.0
XP_003393084.1,XP_012163950.1,0.0
XP_003393086.1,XP_003393086.1,0.0
XP_003393087.1,XP_003393087.1,0.0
XP_003393089.1,XP_003393089.1,2e-151
XP_003393090.1,XP_003393090.1,0.0
XP_003393092.1,XP_012164013.1,0.0
XP_003393093.1,XP_012164013.1,0.0
XP_003393097.1,XP_003393097.1,1e-179
XP_003393098.1,XP_003393098.1,1e-127
XP_003393104.1,XP_003393104.1,0.0
XP_003393106.1,XP_003393106.1,0.0
XP_003393110.1,XP_012164179.1,0.0
XP_003393111.1,XP_012164179.1,0.0
XP_003393113.2,XP_003393113.2,1e-99
XP_003393114.1,XP_003393114.1,5e-149
XP_003393115.1,XP_012166136.1,8e-67
XP_003393116.1,XP_012164306.1,2e-135
XP_003393119.1,XP_003393119.1,0.0
XP_003393121.1,XP_003393121.1,0.0
XP_003393123.1,XP_012164423.1,9e-179
XP_003393124.1,XP_003393124.1,4e-180
XP_003393127.1,XP_012164458.1,7e-63
XP_003393128.1,XP_012164458.1,7e-63
XP_003393129.2,XP_003393129.2,0.0
XP_003393130.1,XP_003393130.1,7e-57
XP_003393134.1,XP_003393134.1,0.0
XP_003393136.1,XP_003393136.1,0.0
XP_003393138.1,XP_012164641.1,0.0
XP_003393140.1,XP_003393140.1,0.0
XP_003393141.1,XP_003393141.1,2e-55
XP_003393142.1,XP_003393142.1,0.0
XP_003393145.1,XP_012164748.1,0.0
XP_003393146.1,XP_003393146.1,0.0
XP_003393147.1,XP_003393147.1,0.0
XP_003393150.1,XP_012175991.1,0.0
XP_003393151.1,XP_003393151.1,0.0
XP_003393158.1,XP_003393158.1,5e-118
XP_003393159.2,XP_003393159.2,0.0
XP_003393164.1,XP_003393164.1,0.0
XP_003393165.1,XP_003393165.1,0.0
XP_003393166.1,XP_012175642.1,0.0
XP_003393167.2,XP_003393167.2,8e-80
XP_003393168.1,XP_003393168.1,0.0
XP_003393170.1,XP_012175792.1,0.0
XP_003393171.1,XP_003393171.1,5e-74
XP_003393172.1,XP_003393172.1,0.0
XP_003393173.1,XP_003393173.1,0.0
XP_003393174.1,XP_003393174.1,0.0
XP_003393175.1,XP_003393175.1,0.0
XP_003393176.2,XP_003393176.2,0.0
XP_003393177.1,XP_003393177.1,4e-132
XP_003393179.1,XP_003393179.1,0.0
XP_003393180.1,XP_003393180.1,0.0
XP_003393181.1,XP_003393181.1,7e-150
XP_003393184.1,XP_003393184.1,2e-126
XP_003393185.1,XP_003393185.1,7e-139
XP_003393186.1,XP_003393186.1,0.0
XP_003393189.1,XP_003393189.1,0.0
XP_003393190.1,XP_012165590.1,0.0
XP_003393191.1,XP_003393191.1,0.0
XP_003393193.1,XP_003393193.1,0.0
XP_003393194.1,XP_003393194.1,0.0
XP_003393195.1,XP_003393195.1,0.0
XP_003393196.1,XP_012165705.1,0.0
XP_003393197.1,XP_003393197.1,0.0
XP_003393198.1,XP_003393198.1,0.0
XP_003393199.1,XP_012165767.1,0.0
XP_003393200.1,XP_012165798.1,0.0
XP_003393201.1,XP_012165840.1,0.0
XP_003393203.1,XP_003393203.1,0.0
XP_003393204.1,XP_012165862.1,0.0
XP_003393206.1,XP_012165957.1,0.0
XP_003393207.1,XP_003393207.1,0.0
XP_003393208.1,XP_003393208.1,0.0
XP_003393210.1,XP_003393210.1,0.0
XP_003393213.1,XP_003393213.1,0.0
XP_003393215.1,XP_003393215.1,0.0
XP_003393216.1,XP_003393216.1,0.0
XP_003393217.1,XP_003393217.1,0.0
XP_003393227.2,XP_003393227.2,0.0
XP_003393230.2,XP_003393230.2,0.0
XP_003393234.1,XP_003393234.1,4e-79
XP_003393236.1,XP_003393236.1,0.0
XP_003393241.1,XP_003393241.1,3e-114
XP_003393242.1,XP_003393242.1,2e-142
XP_003393243.1,XP_003393243.1,0.0
XP_003393245.1,XP_003393245.1,0.0
XP_003393246.1,XP_003393246.1,0.0
XP_003393247.1,XP_003393247.1,0.0
XP_003393248.1,XP_012165137.1,0.0
XP_003393249.1,XP_012165158.1,5e-146
XP_003393250.1,XP_003393250.1,0.0
XP_003393251.1,XP_003393251.1,0.0
XP_003393252.1,XP_012165195.1,1e-91
XP_003393253.1,XP_012165227.1,5e-61
XP_003393254.1,XP_012165227.1,5e-61
XP_003393255.1,XP_012165227.1,5e-61
XP_003393256.1,XP_003393256.1,0.0
XP_003393259.1,XP_003393259.1,0.0
XP_003393260.1,XP_003393260.1,0.0
XP_003393261.1,XP_012165362.1,0.0
XP_003393262.1,XP_012165382.1,6e-81
XP_003393263.1,XP_003393263.1,4e-176
XP_003393264.1,XP_003393264.1,0.0
XP_003393266.1,XP_003393266.1,0.0
XP_003393267.1,XP_003393267.1,5e-73
XP_003393271.1,XP_003393271.1,0.0
XP_003393272.1,XP_003393272.1,0.0
XP_003393273.1,XP_003393273.1,1e-117
XP_003393274.1,XP_003393274.1,0.0
XP_003393276.1,XP_012166791.1,7e-163
XP_003393278.1,XP_003393278.1,1e-123
XP_003393279.1,XP_012166819.1,0.0
XP_003393281.1,XP_003393281.1,0.0
XP_003393282.1,XP_012166843.1,0.0
XP_003393283.1,XP_003393283.1,0.0
XP_003393284.1,XP_003393284.1,0.0
XP_003393287.1,XP_003393287.1,0.0
XP_003393289.1,XP_003393289.1,0.0
XP_003393290.1,XP_012166948.1,2e-163
XP_003393292.1,XP_003393292.1,6e-135
XP_003393293.1,XP_012167056.1,0.0
XP_003393295.1,XP_003393295.1,0.0
XP_003393296.1,XP_003393296.1,0.0
XP_003393297.1,XP_003393297.1,0.0
XP_003393298.1,XP_012167225.1,0.0
XP_003393299.1,XP_012167263.1,0.0
XP_003393301.1,XP_003393301.1,2e-162
XP_003393302.1,XP_012167201.1,0.0
XP_003393303.1,XP_003393303.1,0.0
XP_003393305.1,XP_003393305.1,0.0
XP_003393306.1,XP_003393306.1,4e-35
XP_003393307.1,XP_003393307.1,0.0
XP_003393308.1,XP_003393308.1,0.0
XP_003393310.1,XP_003393310.1,1e-160
XP_003393312.1,XP_012167384.1,0.0
XP_003393313.1,XP_003393313.1,0.0
XP_003393315.1,XP_012166326.1,0.0
XP_003393316.1,XP_003393316.1,0.0
XP_003393317.1,XP_012167432.1,0.0
XP_003393318.1,XP_012167447.1,0.0
XP_003393320.1,XP_012167516.1,0.0
XP_003393329.1,XP_003393329.1,2e-63
XP_003393332.1,XP_003393332.1,0.0
XP_003393333.2,XP_003393333.2,0.0
XP_003393334.1,XP_003393334.1,0.0
XP_003393336.1,XP_012166339.1,0.0
XP_003393337.1,XP_012166339.1,0.0
XP_003393338.1,XP_003393338.1,0.0
XP_003393340.1,XP_003393340.1,5e-78
XP_003393341.1,XP_003393341.1,1e-77
XP_003393343.1,XP_003393343.1,2e-82
XP_003393344.1,XP_003393344.1,0.0
XP_003393346.1,XP_003393346.1,1e-110
XP_003393349.1,XP_003393349.1,0.0
XP_003393350.1,XP_012166590.1,0.0
XP_003393351.1,XP_012166523.1,0.0
XP_003393352.1,XP_012166611.1,0.0
XP_003393353.1,XP_003393353.1,0.0
XP_003393354.1,XP_003393354.1,0.0
XP_003393355.1,XP_003393355.1,0.0
XP_003393357.1,XP_003393357.1,0.0
XP_003393359.1,XP_003393359.1,0.0
XP_003393360.1,XP_003393361.1,0.0
XP_003393361.1,XP_003393361.1,0.0
XP_003393362.1,XP_003393362.1,4e-148
XP_003393363.1,XP_003393363.1,0.0
XP_003393369.1,XP_012167672.1,0.0
XP_003393370.1,XP_003393370.1,0.0
XP_003393371.1,XP_003393371.1,0.0
XP_003393372.1,XP_003393372.1,4e-120
XP_003393373.1,XP_003393373.1,0.0
XP_003393374.1,XP_003393374.1,0.0
XP_003393375.1,XP_003393375.1,0.0
XP_003393376.1,XP_003393376.1,0.0
XP_003393377.1,XP_003393377.1,0.0
XP_003393379.1,XP_003393379.1,0.0
XP_003393381.1,XP_012167856.1,0.0
XP_003393382.1,XP_012167791.1,0.0
XP_003393383.1,XP_003393383.1,0.0
XP_003393384.1,XP_003393384.1,0.0
XP_003393385.1,XP_003393385.1,0.0
XP_003393388.2,XP_003393388.2,0.0
XP_003393389.1,XP_003393389.1,0.0
XP_003393391.1,XP_003393391.1,0.0
XP_003393392.1,XP_003393392.1,0.0
XP_003393393.1,XP_003393393.1,0.0
XP_003393394.1,XP_003393394.1,0.0
XP_003393395.1,XP_003393395.1,0.0
XP_003393396.1,XP_003393396.1,0.0
XP_003393397.1,XP_003393397.1,0.0
XP_003393398.2,XP_003393398.2,0.0
XP_003393401.2,XP_003393401.2,3e-133
XP_003393403.1,XP_012168359.1,2e-115
XP_003393406.1,XP_003393406.1,4e-97
XP_003393407.1,XP_012168056.1,8e-175
XP_003393408.1,XP_003393408.1,0.0
XP_003393409.1,XP_012168104.1,0.0
XP_003393410.1,XP_003393410.1,0.0
XP_003393414.1,XP_003393414.1,5e-136
XP_003393415.1,XP_003393415.1,0.0
XP_003393417.1,XP_003393417.1,0.0
XP_003393419.1,XP_003393419.1,0.0
XP_003393420.1,XP_003393420.1,0.0
XP_003393421.1,XP_003393421.1,0.0
XP_003393423.1,XP_003393423.1,6e-125
XP_003393425.1,XP_012168293.1,0.0
XP_003393427.1,XP_003393427.1,0.0
XP_003393428.1,XP_003393428.1,0.0
XP_003393433.1,XP_003393433.1,0.0
XP_003393436.1,XP_003393436.1,0.0
XP_003393438.1,XP_003393438.1,0.0
XP_003393440.1,XP_012168497.1,0.0
XP_003393443.1,XP_003393443.1,0.0
XP_003393444.1,XP_003393444.1,0.0
XP_003393446.1,XP_003393446.1,0.0
XP_003393447.1,XP_003393447.1,9e-141
XP_003393448.1,XP_003393448.1,0.0
XP_003393450.1,XP_003393450.1,0.0
XP_003393451.2,XP_003393451.2,0.0
XP_003393452.1,XP_003393452.1,0.0
XP_003393453.1,XP_003393453.1,0.0
XP_003393455.1,XP_003393455.1,0.0
XP_003393457.1,XP_012168694.1,0.0
XP_003393458.2,XP_003393458.2,0.0
XP_003393461.1,XP_003393461.1,1e-171
XP_003393462.1,XP_003393462.1,0.0
XP_003393467.1,XP_003393467.1,3e-86
XP_003393469.1,XP_012168944.1,0.0
XP_003393470.1,XP_003393470.1,0.0
XP_003393471.1,XP_003393471.1,0.0
XP_003393472.1,XP_003393472.1,0.0
XP_003393474.2,XP_003393474.2,0.0
XP_003393477.1,XP_003393477.1,0.0
XP_003393481.1,XP_012169053.1,0.0
XP_003393482.1,XP_003393482.1,0.0
XP_003393484.1,XP_003393484.1,0.0
XP_003393486.1,XP_003393486.1,0.0
XP_003393487.1,XP_003393487.1,0.0
XP_003393489.1,XP_003393489.1,0.0
XP_003393491.1,XP_003393491.1,0.0
XP_003393493.1,XP_003393493.1,0.0
XP_003393495.1,XP_003393495.1,0.0
XP_003393496.1,XP_003393496.1,1e-83
XP_003393498.2,XP_012168497.1,0.0
XP_003393499.2,XP_003393499.2,0.0
XP_003393502.1,XP_003393502.1,0.0
XP_003393503.1,XP_003393503.1,0.0
XP_003393505.1,XP_003393505.1,0.0
XP_003393507.1,XP_003393507.1,0.0
XP_003393508.1,XP_003393508.1,0.0
XP_003393509.2,XP_003393509.2,0.0
XP_003393511.1,XP_003393511.1,0.0
XP_003393512.2,XP_003393512.2,0.0
XP_003393513.1,XP_003393513.1,0.0
XP_003393515.1,XP_003393515.1,0.0
XP_003393516.1,XP_003393516.1,0.0
XP_003393517.1,XP_003393517.1,0.0
XP_003393518.1,XP_012169815.1,4e-159
XP_003393519.1,XP_003393519.1,0.0
XP_003393523.1,XP_003393523.1,0.0
XP_003393524.1,XP_003393524.1,0.0
XP_003393526.1,XP_003393526.1,0.0
XP_003393528.1,XP_003393528.1,0.0
XP_003393529.1,XP_003393529.1,0.0
XP_003393531.1,XP_003393531.1,0.0
XP_003393532.1,XP_003393532.1,0.0
XP_003393534.1,XP_003393534.1,0.0
XP_003393535.1,XP_003393535.1,0.0
XP_003393536.1,XP_003393536.1,0.0
XP_003393537.1,XP_003393537.1,0.0
XP_003393538.1,XP_012170640.1,0.0
XP_003393539.1,XP_003393539.1,0.0
XP_003393540.1,XP_003393540.1,0.0
XP_003393541.1,XP_012170657.1,2e-78
XP_003393542.1,XP_003393542.1,5e-126
XP_003393543.1,XP_003393542.1,3e-121
XP_003393545.1,XP_003393545.1,1e-149
XP_003393550.1,XP_003393550.1,8e-145
XP_003393551.1,XP_012170409.1,0.0
XP_003393552.1,XP_003393552.1,1e-101
XP_003393556.1,XP_012169887.1,0.0
XP_003393557.1,XP_012169921.1,0.0
XP_003393558.1,XP_003393558.1,0.0
XP_003393559.1,XP_003393559.1,0.0
XP_003393560.1,XP_003393560.1,4e-119
XP_003393562.1,XP_003393562.1,0.0
XP_003393564.1,XP_012170030.1,1e-53
XP_003393569.1,XP_003393569.1,0.0
XP_003393570.1,XP_012170166.1,0.0
XP_003393571.1,XP_003393571.1,0.0
XP_003393574.1,XP_003393574.1,5e-140
XP_003393575.1,XP_003393575.1,0.0
XP_003393576.1,XP_003393576.1,0.0
XP_003393578.2,XP_003393578.2,0.0
XP_003393581.1,XP_003393581.1,2e-133
XP_003393582.1,XP_012169797.1,3e-125
XP_003393583.1,XP_003393583.1,3e-94
XP_003393584.1,XP_003393584.1,0.0
XP_003393586.1,XP_012170359.1,0.0
XP_003393587.1,XP_003393587.1,0.0
XP_003393588.1,XP_003393588.1,0.0
XP_003393589.1,XP_003393589.1,0.0
XP_003393590.1,XP_012171055.1,0.0
XP_003393592.1,XP_012171226.1,2e-53
XP_003393593.2,XP_003393593.2,0.0
XP_003393594.1,XP_003393594.1,0.0
XP_003393595.1,XP_003393595.1,0.0
XP_003393599.1,XP_003393599.1,0.0
XP_003393600.1,XP_003393600.1,0.0
XP_003393601.1,XP_003393601.1,0.0
XP_003393605.1,XP_003393605.1,0.0
XP_003393606.1,XP_003393606.1,3e-153
XP_003393607.1,XP_012171510.1,0.0
XP_003393608.1,XP_012171519.1,5e-153
XP_003393609.1,XP_003393609.1,0.0
XP_003393610.1,XP_003393610.1,0.0
XP_003393612.1,XP_003393612.1,1e-124
XP_003393614.1,XP_003393614.1,4e-126
XP_003393615.1,XP_003393615.1,0.0
XP_003393616.1,XP_003393616.1,0.0
XP_003393617.1,XP_003393617.1,0.0
XP_003393618.1,XP_003393618.1,0.0
XP_003393619.1,XP_012171679.1,0.0
XP_003393621.1,XP_003393621.1,0.0
XP_003393623.1,XP_003393623.1,0.0
XP_003393624.1,XP_012171702.1,2e-150
XP_003393625.1,XP_003393625.1,0.0
XP_003393626.1,XP_003393625.1,0.0
XP_003393627.1,XP_003393627.1,0.0
XP_003393628.1,XP_003393628.1,0.0
XP_003393629.1,XP_012171792.1,0.0
XP_003393630.1,XP_003393630.1,0.0
XP_003393631.1,XP_012171830.1,6e-70
XP_003393632.1,XP_003393632.1,0.0
XP_003393633.1,XP_003393633.1,0.0
XP_003393634.1,XP_003393635.1,2e-165
XP_003393635.1,XP_003393635.1,2e-165
XP_003393636.1,XP_012171890.1,0.0
XP_003393637.1,XP_003393637.1,5e-139
XP_003393638.1,XP_003393638.1,0.0
XP_003393639.1,XP_012171931.1,3e-134
XP_003393640.1,XP_003393640.1,0.0
XP_003393641.1,XP_012171967.1,0.0
XP_003393642.1,XP_003393642.1,9e-180
XP_003393643.1,XP_003393643.1,0.0
XP_003393645.1,XP_003393645.1,0.0
XP_003393647.1,XP_003393647.1,0.0
XP_003393648.1,XP_003393648.1,0.0
XP_003393650.1,XP_003393650.1,0.0
XP_003393651.1,XP_003393651.1,0.0
XP_003393653.1,XP_003393653.1,0.0
XP_003393654.1,XP_003393654.1,0.0
XP_003393655.1,XP_003393655.1,4e-116
XP_003393656.1,XP_003393656.1,7e-92
XP_003393657.1,XP_003393657.1,3e-92
XP_003393658.1,XP_003393658.1,3e-94
XP_003393659.1,XP_003393659.1,6e-151
XP_003393660.1,XP_003393660.1,1e-108
XP_003393662.1,XP_003393662.1,5e-77
XP_003393664.1,XP_003393664.1,0.0
XP_003393665.1,XP_012172423.1,0.0
XP_003393668.1,XP_012172389.1,0.0
XP_003393669.1,XP_003393669.1,0.0
XP_003393670.1,XP_003393670.1,0.0
XP_003393671.1,XP_012172489.1,0.0
XP_003393673.1,XP_003393673.1,0.0
XP_003393674.1,XP_012172460.1,0.0
XP_003393676.1,XP_003393676.1,0.0
XP_003393677.1,XP_003393677.1,0.0
XP_003393679.1,XP_012172618.1,0.0
XP_003393680.1,XP_012172632.1,0.0
XP_003393684.1,XP_003393684.1,0.0
XP_003393685.1,XP_012172718.1,0.0
XP_003393686.1,XP_012172783.1,5e-119
XP_003393687.1,XP_012172853.1,0.0
XP_003393691.1,XP_003393691.1,0.0
XP_003393692.1,XP_003393692.1,0.0
XP_003393693.2,XP_003393693.2,0.0
XP_003393694.2,XP_003393694.2,0.0
XP_003393695.1,XP_003393695.1,0.0
XP_003393699.1,XP_003393699.1,4e-145
XP_003393700.1,XP_003393700.1,0.0
XP_003393701.1,XP_003393701.1,0.0
XP_003393702.1,XP_003393702.1,0.0
XP_003393703.1,XP_003393703.1,0.0
XP_003393704.1,XP_012173096.1,0.0
XP_003393705.1,XP_003393705.1,0.0
XP_003393706.1,XP_003393706.1,0.0
XP_003393709.1,XP_003393709.1,0.0
XP_003393711.1,XP_003393711.1,0.0
XP_003393712.1,XP_003393712.1,0.0
XP_003393714.1,XP_003393714.1,0.0
XP_003393715.1,XP_012173319.1,0.0
XP_003393717.1,XP_012173362.1,0.0
XP_003393718.1,XP_003393718.1,7e-82
XP_003393719.1,XP_003393719.1,0.0
XP_003393721.2,XP_003393721.2,0.0
XP_003393722.1,XP_003393722.1,0.0
XP_003393727.1,XP_003393727.1,0.0
XP_003393728.1,XP_003393728.1,0.0
XP_003393730.1,XP_012172016.1,0.0
XP_003393731.1,XP_012172086.1,0.0
XP_003393735.1,XP_003393735.1,0.0
XP_003393740.1,XP_003393740.1,0.0
XP_003393741.1,XP_012173292.1,0.0
XP_003393744.1,XP_003393744.1,0.0
XP_003393745.1,XP_003393745.1,0.0
XP_003393748.1,XP_003393748.1,0.0
XP_003393749.1,XP_003393749.1,4e-126
XP_003393750.1,XP_003393750.1,0.0
XP_003393751.1,XP_003393751.1,0.0
XP_003393752.1,XP_012170929.1,0.0
XP_003393753.1,XP_003393753.1,0.0
XP_003393756.1,XP_003393757.1,1e-110
XP_003393757.1,XP_003393757.1,1e-110
XP_003393759.1,XP_003393759.1,0.0
XP_003393760.1,XP_012170977.1,0.0
XP_003393761.1,XP_012171166.1,0.0
XP_003393762.1,XP_012171104.1,0.0
XP_003393766.1,XP_003393766.1,3e-147
XP_003393767.1,XP_003393767.1,8e-150
XP_003393769.1,XP_012174312.1,0.0
XP_003393770.1,XP_003393770.1,0.0
XP_003393771.1,XP_003393771.1,0.0
XP_003393772.1,XP_012174370.1,0.0
XP_003393773.1,XP_003393773.1,0.0
XP_003393775.1,XP_003393775.1,0.0
XP_003393776.1,XP_003393776.1,0.0
XP_003393777.1,XP_012174430.1,0.0
XP_003393778.1,XP_003393778.1,0.0
XP_003393779.1,XP_003393779.1,0.0
XP_003393781.1,XP_003393781.1,0.0
XP_003393782.1,XP_003393782.1,0.0
XP_003393783.1,XP_012174524.1,0.0
XP_003393784.1,XP_003393784.1,0.0
XP_003393787.1,XP_003393787.1,0.0
XP_003393788.1,XP_012174625.1,0.0
XP_003393789.1,XP_003393789.1,0.0
XP_003393792.1,XP_003393792.1,0.0
XP_003393793.1,XP_003393793.1,3e-178
XP_003393794.1,XP_003393794.1,0.0
XP_003393795.1,XP_003393795.1,0.0
XP_003393796.1,XP_012174728.1,3e-154
XP_003393797.1,XP_003393797.1,6e-178
XP_003393798.1,XP_012174698.1,0.0
XP_003393800.1,XP_003393800.1,0.0
XP_003393801.1,XP_003393801.1,0.0
XP_003393802.1,XP_003393802.1,0.0
XP_003393804.1,XP_003393804.1,0.0
XP_003393805.1,XP_003393805.1,0.0
XP_003393807.1,XP_003393807.1,0.0
XP_003393808.1,XP_012174877.1,0.0
XP_003393809.1,XP_012173634.1,0.0
XP_003393810.1,XP_003393810.1,8e-81
XP_003393811.1,XP_003393811.1,0.0
XP_003393812.1,XP_012174898.1,0.0
XP_003393813.1,XP_003393813.1,0.0
XP_003393814.1,XP_012174999.1,0.0
XP_003393816.1,XP_003393816.1,0.0
