am,lf,evalue
NP_001267818.1,TRINITY_DN27273_c0_g1_i1|m.6740,0.0
XP_003393090.1,TRINITY_DN15910_c0_g1_i1|m.43534,5e-140
XP_003393092.1,TRINITY_DN5664_c0_g1_i1|m.43178,8e-169
XP_003393093.1,TRINITY_DN5664_c0_g1_i1|m.43178,8e-169
XP_003393097.1,TRINITY_DN10847_c0_g2_i1|m.6481,2e-145
XP_003393098.1,TRINITY_DN13226_c0_g1_i1|m.19434,3e-94
XP_003393104.1,TRINITY_DN12581_c0_g2_i1|m.31356,4e-93
XP_003393106.1,TRINITY_DN12516_c0_g1_i1|m.31813,0.0
XP_003393110.1,TRINITY_DN12305_c0_g1_i1|m.48237,0.0
XP_003393111.1,TRINITY_DN12305_c0_g1_i1|m.48237,0.0
XP_003393113.2,TRINITY_DN337_c0_g1_i1|m.9076,1e-52
XP_003393114.1,TRINITY_DN5494_c0_g2_i1|m.49029,8e-48
XP_003393115.1,TRINITY_DN8302_c0_g1_i1|m.28087,3e-67
XP_003393116.1,TRINITY_DN24870_c0_g2_i1|m.25682,5e-81
XP_003393119.1,TRINITY_DN13884_c0_g2_i1|m.22338,0.0
XP_003393121.1,TRINITY_DN23150_c0_g1_i1|m.26100,1e-170
XP_003393123.1,TRINITY_DN9195_c0_g1_i1|m.36007,1e-137
XP_003393124.1,TRINITY_DN12382_c0_g1_i1|m.48498,2e-163
XP_003393129.2,TRINITY_DN6523_c0_g1_i1|m.1246,0.0
XP_003393134.1,TRINITY_DN17511_c0_g1_i1|m.928,2e-65
XP_003393136.1,TRINITY_DN12320_c0_g1_i1|m.48478,0.0
XP_003393138.1,TRINITY_DN13126_c0_g1_i1|m.46907,0.0
XP_003393140.1,TRINITY_DN5653_c0_g1_i1|m.43228,2e-160
XP_003393142.1,TRINITY_DN10171_c0_g1_i1|m.49341,9e-64
XP_003393145.1,TRINITY_DN11941_c0_g1_i1|m.10704,5e-94
XP_003393147.1,TRINITY_DN13438_c0_g1_i1|m.32311,0.0
XP_003393150.1,TRINITY_DN13083_c0_g2_i1|m.177,0.0
XP_003393151.1,TRINITY_DN9383_c0_g1_i1|m.39184,5e-153
XP_003393158.1,TRINITY_DN1702_c0_g1_i1|m.9678,1e-33
XP_003393159.2,TRINITY_DN4092_c0_g1_i1|m.38990,6e-163
XP_003393164.1,TRINITY_DN11941_c0_g1_i1|m.10704,7e-48
XP_003393165.1,TRINITY_DN7866_c0_g1_i1|m.4893,3e-135
XP_003393166.1,TRINITY_DN13696_c0_g1_i1|m.5645,2e-123
XP_003393166.1,TRINITY_DN13696_c0_g1_i1|m.5645,2e-09
XP_003393168.1,TRINITY_DN12047_c0_g1_i1|m.37515,3e-08
XP_003393170.1,TRINITY_DN8307_c0_g1_i1|m.28048,0.0
XP_003393171.1,TRINITY_DN8149_c0_g2_i1|m.11962,1e-63
XP_003393172.1,TRINITY_DN32450_c0_g1_i1|m.24835,2e-157
XP_003393173.1,TRINITY_DN7943_c0_g1_i1|m.40269,0.0
XP_003393174.1,TRINITY_DN9080_c0_g1_i1|m.4642,0.0
XP_003393175.1,TRINITY_DN8857_c0_g1_i1|m.26295,7e-96
XP_003393176.2,TRINITY_DN10350_c0_g2_i1|m.1930,1e-101
XP_003393177.1,TRINITY_DN3209_c0_g1_i1|m.27747,1e-66
XP_003393179.1,TRINITY_DN10575_c0_g2_i1|m.47733,0.0
XP_003393180.1,TRINITY_DN14082_c0_g1_i1|m.18000,0.0
XP_003393181.1,TRINITY_DN145_c0_g2_i1|m.49616,4e-143
XP_003393184.1,TRINITY_DN7960_c0_g1_i1|m.40200,6e-119
XP_003393185.1,TRINITY_DN7960_c0_g1_i1|m.40200,4e-131
XP_003393186.1,TRINITY_DN11905_c0_g1_i1|m.10641,2e-64
XP_003393189.1,TRINITY_DN13381_c0_g1_i1|m.33865,0.0
XP_003393190.1,TRINITY_DN8849_c0_g1_i1|m.26266,0.0
XP_003393191.1,TRINITY_DN32796_c0_g1_i1|m.6920,0.0
XP_003393193.1,TRINITY_DN14156_c11_g2_i1|m.30224,4e-74
XP_003393194.1,TRINITY_DN1938_c0_g2_i1|m.43120,2e-162
XP_003393195.1,TRINITY_DN11905_c0_g1_i1|m.10641,4e-61
XP_003393196.1,TRINITY_DN19897_c0_g1_i1|m.26386,0.0
XP_003393197.1,TRINITY_DN13950_c1_g1_i1|m.23843,0.0
XP_003393198.1,TRINITY_DN13950_c1_g1_i1|m.23843,0.0
XP_003393199.1,TRINITY_DN20390_c0_g1_i1|m.7299,2e-50
XP_003393200.1,TRINITY_DN6257_c0_g1_i1|m.12288,0.0
XP_003393201.1,TRINITY_DN12032_c0_g1_i1|m.37821,4e-121
XP_003393203.1,TRINITY_DN8945_c0_g1_i1|m.13803,2e-100
XP_003393204.1,TRINITY_DN8945_c0_g1_i1|m.13803,1e-100
XP_003393206.1,TRINITY_DN7686_c0_g1_i1|m.9251,0.0
XP_003393207.1,TRINITY_DN11905_c0_g1_i1|m.10641,5e-89
XP_003393208.1,TRINITY_DN12059_c0_g1_i1|m.37847,0.0
XP_003393210.1,TRINITY_DN19682_c0_g1_i1|m.39117,0.0
XP_003393213.1,TRINITY_DN717_c0_g1_i1|m.4520,5e-174
XP_003393215.1,TRINITY_DN9910_c0_g2_i1|m.25103,1e-147
XP_003393216.1,TRINITY_DN11789_c0_g2_i1|m.14349,0.0
XP_003393217.1,TRINITY_DN8488_c0_g1_i1|m.40355,0.0
XP_003393227.2,TRINITY_DN13247_c0_g1_i1|m.19223,0.0
XP_003393230.2,TRINITY_DN13098_c0_g1_i1|m.756,0.0
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,0.0
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,3e-15
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,8e-15
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,1e-14
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,6e-14
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,2e-13
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,1e-10
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,4e-07
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,1e-05
XP_003393236.1,TRINITY_DN36799_c0_g1_i1|m.38960,2e-05
XP_003393241.1,TRINITY_DN12950_c0_g1_i1|m.7971,9e-05
XP_003393242.1,TRINITY_DN11085_c0_g1_i1|m.10144,4e-05
XP_003393243.1,TRINITY_DN7508_c0_g1_i1|m.41109,0.0
XP_003393245.1,TRINITY_DN5457_c0_g1_i1|m.49078,0.0
XP_003393246.1,TRINITY_DN12295_c0_g3_i1|m.1566,2e-55
XP_003393247.1,TRINITY_DN10870_c0_g1_i1|m.6507,1e-51
XP_003393248.1,TRINITY_DN12480_c1_g2_i1|m.45561,3e-108
XP_003393249.1,TRINITY_DN10570_c1_g1_i1|m.47525,1e-94
XP_003393250.1,TRINITY_DN24500_c0_g1_i1|m.42612,3e-73
XP_003393251.1,TRINITY_DN11199_c0_g1_i1|m.41722,4e-156
XP_003393252.1,TRINITY_DN36496_c0_g1_i1|m.41902,6e-74
XP_003393256.1,TRINITY_DN11905_c0_g1_i1|m.10641,2e-112
XP_003393259.1,TRINITY_DN11066_c0_g1_i1|m.10294,0.0
XP_003393260.1,TRINITY_DN9380_c0_g1_i1|m.39138,0.0
XP_003393261.1,TRINITY_DN13834_c0_g1_i1|m.22501,7e-119
XP_003393261.1,TRINITY_DN13834_c0_g1_i1|m.22501,1e-25
XP_003393262.1,TRINITY_DN24178_c0_g1_i1|m.26976,5e-10
XP_003393263.1,TRINITY_DN12256_c0_g1_i1|m.1484,2e-102
XP_003393264.1,TRINITY_DN9416_c0_g1_i1|m.38055,2e-112
XP_003393266.1,TRINITY_DN11905_c0_g1_i1|m.10641,6e-61
XP_003393271.1,TRINITY_DN5231_c0_g1_i1|m.34296,9e-180
XP_003393272.1,TRINITY_DN3763_c0_g1_i1|m.39814,8e-132
XP_003393273.1,TRINITY_DN11852_c0_g1_i1|m.16550,8e-94
XP_003393274.1,TRINITY_DN1290_c0_g1_i1|m.11842,0.0
XP_003393276.1,TRINITY_DN6261_c0_g1_i1|m.12300,1e-07
XP_003393278.1,TRINITY_DN8434_c0_g1_i1|m.40344,2e-62
XP_003393279.1,TRINITY_DN834_c0_g2_i1|m.7080,1e-92
XP_003393281.1,TRINITY_DN14236_c0_g1_i1|m.20371,0.0
XP_003393282.1,TRINITY_DN36512_c0_g1_i1|m.39646,5e-139
XP_003393283.1,TRINITY_DN9237_c0_g2_i1|m.40937,0.0
XP_003393284.1,TRINITY_DN12886_c0_g1_i1|m.49767,4e-157
XP_003393287.1,TRINITY_DN23959_c0_g1_i1|m.11789,0.0
XP_003393287.1,TRINITY_DN23959_c0_g1_i1|m.11789,2e-16
XP_003393287.1,TRINITY_DN23959_c0_g1_i1|m.11789,1e-15
XP_003393287.1,TRINITY_DN23959_c0_g1_i1|m.11789,4e-14
XP_003393289.1,TRINITY_DN13210_c0_g2_i1|m.19272,3e-62
XP_003393290.1,TRINITY_DN12862_c0_g1_i1|m.50132,4e-134
XP_003393292.1,TRINITY_DN18971_c0_g1_i1|m.7209,1e-43
XP_003393293.1,TRINITY_DN2094_c0_g2_i1|m.8474,2e-23
XP_003393295.1,TRINITY_DN9288_c0_g1_i1|m.40984,5e-133
XP_003393296.1,TRINITY_DN8214_c0_g2_i1|m.7454,0.0
XP_003393297.1,TRINITY_DN3955_c0_g1_i1|m.7005,0.0
XP_003393298.1,TRINITY_DN14191_c0_g5_i1|m.30715,0.0
XP_003393299.1,TRINITY_DN13428_c3_g1_i1|m.32462,0.0
XP_003393301.1,TRINITY_DN24295_c0_g1_i1|m.45175,4e-152
XP_003393302.1,TRINITY_DN12895_c2_g1_i1|m.49842,4e-50
XP_003393303.1,TRINITY_DN7994_c0_g2_i1|m.40239,7e-162
XP_003393305.1,TRINITY_DN14454_c0_g1_i1|m.24906,0.0
XP_003393307.1,TRINITY_DN5209_c0_g2_i1|m.34301,0.0
XP_003393308.1,TRINITY_DN5209_c0_g2_i1|m.34301,0.0
XP_003393310.1,TRINITY_DN12487_c0_g2_i1|m.45928,4e-132
XP_003393312.1,TRINITY_DN13851_c0_g1_i1|m.22323,0.0
XP_003393313.1,TRINITY_DN14136_c5_g1_i1|m.30059,0.0
XP_003393315.1,TRINITY_DN6888_c0_g1_i1|m.2552,1e-179
XP_003393316.1,TRINITY_DN12509_c0_g1_i1|m.31907,3e-163
XP_003393317.1,TRINITY_DN8959_c0_g1_i1|m.13756,0.0
XP_003393318.1,TRINITY_DN13765_c0_g1_i1|m.3333,0.0
XP_003393320.1,TRINITY_DN13171_c0_g1_i1|m.46954,0.0
XP_003393329.1,TRINITY_DN8746_c0_g1_i1|m.4416,7e-06
XP_003393332.1,TRINITY_DN6990_c0_g1_i1|m.40764,5e-65
XP_003393332.1,TRINITY_DN6990_c0_g1_i1|m.40764,7e-11
XP_003393333.2,TRINITY_DN35898_c0_g1_i1|m.11776,1e-63
XP_003393334.1,TRINITY_DN1464_c0_g1_i1|m.11475,0.0
XP_003393336.1,TRINITY_DN14461_c0_g1_i1|m.24910,5e-100
XP_003393337.1,TRINITY_DN14461_c0_g1_i1|m.24910,5e-100
XP_003393338.1,TRINITY_DN13771_c0_g1_i1|m.3823,3e-42
XP_003393340.1,TRINITY_DN16519_c0_g1_i1|m.16010,4e-09
XP_003393341.1,TRINITY_DN16519_c0_g1_i1|m.16010,1e-08
XP_003393343.1,TRINITY_DN11391_c0_g2_i1|m.36417,1e-08
XP_003393344.1,TRINITY_DN13598_c0_g1_i1|m.44679,0.0
XP_003393346.1,TRINITY_DN37506_c0_g1_i1|m.39723,2e-100
XP_003393346.1,TRINITY_DN37506_c0_g1_i1|m.39723,4e-57
XP_003393346.1,TRINITY_DN37506_c0_g1_i1|m.39723,2e-05
XP_003393349.1,TRINITY_DN5440_c0_g1_i1|m.49038,0.0
XP_003393351.1,TRINITY_DN9877_c0_g1_i1|m.13064,3e-179
XP_003393352.1,TRINITY_DN28081_c0_g1_i1|m.23228,2e-142
XP_003393353.1,TRINITY_DN6120_c1_g1_i1|m.14748,2e-53
XP_003393357.1,TRINITY_DN15637_c0_g1_i1|m.46700,4e-68
XP_003393359.1,TRINITY_DN10509_c0_g1_i1|m.47578,0.0
XP_003393360.1,TRINITY_DN4091_c0_g1_i1|m.39045,0.0
XP_003393361.1,TRINITY_DN4091_c0_g1_i1|m.39045,0.0
XP_003393362.1,TRINITY_DN5464_c0_g1_i1|m.49059,2e-97
XP_003393363.1,TRINITY_DN6464_c0_g1_i1|m.27142,0.0
XP_003393369.1,TRINITY_DN12578_c0_g1_i1|m.31818,0.0
XP_003393370.1,TRINITY_DN8115_c0_g1_i1|m.11891,0.0
XP_003393371.1,TRINITY_DN9319_c0_g1_i1|m.39264,0.0
XP_003393372.1,TRINITY_DN4715_c0_g2_i1|m.43050,8e-117
XP_003393373.1,TRINITY_DN5815_c0_g1_i1|m.6858,4e-104
XP_003393374.1,TRINITY_DN5815_c0_g1_i1|m.6858,3e-103
XP_003393375.1,TRINITY_DN5815_c0_g1_i1|m.6858,2e-103
XP_003393376.1,TRINITY_DN14185_c0_g4_i1|m.30324,0.0
XP_003393377.1,TRINITY_DN14185_c0_g4_i1|m.30324,0.0
XP_003393379.1,TRINITY_DN14221_c3_g5_i1|m.20715,0.0
XP_003393381.1,TRINITY_DN9965_c1_g1_i1|m.25069,0.0
XP_003393382.1,TRINITY_DN10726_c0_g2_i1|m.46147,0.0
XP_003393383.1,TRINITY_DN10625_c0_g2_i1|m.48015,0.0
XP_003393384.1,TRINITY_DN10625_c0_g2_i1|m.48015,0.0
XP_003393385.1,TRINITY_DN15920_c0_g1_i1|m.43554,1e-118
XP_003393388.2,TRINITY_DN14185_c0_g4_i1|m.30324,2e-162
XP_003393389.1,TRINITY_DN14185_c0_g4_i1|m.30324,2e-163
