ln,am,evalue
KMQ81859.1,XP_012174411.1,1e-39
KMQ81863.1,XP_012175527.1,2e-53
KMQ81868.1,XP_003392984.1,2e-25
KMQ81873.1,XP_003400851.1,6e-68
KMQ81879.1,XP_003394668.1,2e-17
KMQ81881.1,XP_012163413.1,3e-28
KMQ81881.1,XP_012163413.1,2e-27
KMQ81881.1,XP_012163413.1,5e-27
KMQ81881.1,XP_012163413.1,3e-26
KMQ81881.1,XP_012163413.1,5e-26
KMQ81881.1,XP_012163413.1,4e-25
KMQ81881.1,XP_012163413.1,5e-25
KMQ81881.1,XP_012163413.1,2e-24
KMQ81881.1,XP_012163413.1,5e-24
KMQ81881.1,XP_012163413.1,3e-23
KMQ81881.1,XP_012163413.1,5e-23
KMQ81881.1,XP_012163413.1,1e-22
KMQ81881.1,XP_012163413.1,2e-22
KMQ81881.1,XP_012163413.1,6e-21
KMQ81881.1,XP_012163413.1,5e-20
KMQ81881.1,XP_012163413.1,3e-19
KMQ81881.1,XP_012163413.1,2e-16
KMQ81881.1,XP_012163413.1,1e-10
KMQ81882.1,XP_012174090.1,3e-28
KMQ81885.1,XP_012168611.1,1e-17
KMQ81888.1,XP_003394774.1,4e-119
KMQ81890.1,XP_012175449.1,7e-40
KMQ81897.1,XP_003393377.1,2e-33
KMQ81902.1,XP_012169820.1,3e-15
KMQ81902.1,XP_012169820.1,2e-13
KMQ81903.1,XP_012176290.1,7e-06
KMQ81912.1,XP_012172469.1,9e-92
KMQ81915.1,XP_012174411.1,1e-13
KMQ81916.1,XP_012169587.1,4e-52
KMQ81922.1,XP_012175449.1,3e-11
KMQ81926.1,XP_012168080.1,3e-20
KMQ81927.1,XP_003398796.1,2e-19
KMQ81929.1,XP_012163347.1,5e-08
KMQ81939.1,XP_003399108.2,1e-05
KMQ81943.1,XP_012164078.1,3e-08
KMQ81946.1,XP_012168312.1,2e-11
KMQ81946.1,XP_012168312.1,2e-05
KMQ81948.1,XP_012166572.1,2e-26
KMQ81953.1,XP_012171988.1,5e-18
KMQ81967.1,XP_003395377.1,2e-12
KMQ81972.1,XP_012175534.1,7e-14
KMQ81974.1,XP_012175539.1,1e-27
KMQ81981.1,XP_012173830.1,3e-22
KMQ81982.1,XP_012172860.1,6e-11
KMQ81986.1,XP_012169820.1,1e-21
KMQ81986.1,XP_012169820.1,5e-19
KMQ81988.1,XP_012176290.1,2e-13
KMQ81995.1,XP_012173997.1,8e-08
KMQ81996.1,XP_012176306.1,6e-18
KMQ81998.1,XP_012176307.1,3e-33
KMQ82005.1,XP_012175107.1,3e-53
KMQ82008.1,XP_012175274.1,1e-05
KMQ82009.1,XP_012175036.1,5e-61
KMQ82010.1,XP_003401691.1,2e-18
KMQ82015.1,XP_012166340.1,8e-11
KMQ82016.1,XP_012166582.1,9e-46
KMQ82017.1,XP_012171988.1,3e-08
KMQ82022.1,XP_003401566.2,6e-32
KMQ82023.1,XP_012172479.1,3e-14
KMQ82025.1,XP_012176235.1,3e-12
KMQ82026.1,XP_012168080.1,9e-23
KMQ82027.1,XP_012175340.1,1e-25
KMQ82033.1,XP_012164720.1,5e-18
KMQ82034.1,XP_012163334.1,2e-45
KMQ82035.1,XP_012175268.1,6e-13
KMQ82039.1,NP_001267840.1,2e-41
KMQ82041.1,XP_012174211.1,7e-07
KMQ82042.1,XP_012174000.1,2e-05
KMQ82044.1,XP_012176306.1,1e-20
KMQ82045.1,XP_012169126.1,4e-44
KMQ82047.1,XP_012174534.1,2e-16
KMQ82049.1,XP_012173833.1,6e-06
KMQ82053.1,XP_012174534.1,8e-08
KMQ82056.1,XP_012176306.1,1e-20
KMQ82059.1,XP_012176307.1,2e-47
KMQ82063.1,XP_012175533.1,7e-16
KMQ82069.1,XP_003398615.1,2e-06
KMQ82071.1,XP_012164720.1,1e-15
KMQ82074.1,XP_012176060.1,1e-19
KMQ82076.1,XP_003394857.1,4e-08
KMQ82080.1,XP_003393379.1,2e-117
KMQ82082.1,XP_012174517.1,7e-30
KMQ82085.1,XP_012166717.1,1e-27
KMQ82089.1,XP_012175596.1,9e-37
KMQ82095.1,XP_012176065.1,7e-29
KMQ82097.1,XP_012171988.1,2e-60
KMQ82098.1,XP_012164716.1,1e-06
KMQ82105.1,XP_012174699.1,9e-14
KMQ82106.1,XP_003402154.1,9e-22
KMQ82107.1,XP_012164720.1,4e-07
KMQ82108.1,XP_012166572.1,3e-23
KMQ82117.1,XP_003400119.1,4e-43
KMQ82118.1,XP_012163447.1,2e-39
KMQ82120.1,XP_012174000.1,4e-09
KMQ82121.1,XP_012176060.1,8e-31
KMQ82122.1,XP_012175474.1,3e-13
KMQ82129.1,XP_012168446.1,4e-10
KMQ82132.1,XP_012166717.1,2e-17
KMQ82149.1,XP_012173629.1,2e-05
KMQ82152.1,XP_003401566.2,7e-23
KMQ82159.1,XP_003395831.1,1e-10
KMQ82160.1,XP_012167635.1,1e-68
KMQ82163.1,XP_012164591.1,7e-32
KMQ82168.1,XP_012173997.1,4e-28
KMQ82170.1,XP_012171988.1,5e-27
KMQ82172.1,NP_001267840.1,7e-75
KMQ82174.1,XP_012173997.1,1e-47
KMQ82177.1,XP_012172861.1,2e-18
KMQ82181.1,XP_012172982.1,2e-21
KMQ82184.1,XP_012171015.1,3e-08
KMQ82193.1,XP_012169789.1,3e-57
KMQ82196.1,XP_012176307.1,1e-05
KMQ82198.1,XP_003402883.2,1e-17
KMQ82214.1,XP_012164720.1,6e-48
KMQ82217.1,XP_012171988.1,4e-19
KMQ82221.1,XP_003397788.2,1e-26
KMQ82224.1,XP_012175533.1,4e-18
KMQ82227.1,XP_012164720.1,4e-09
KMQ82229.1,XP_012170184.1,9e-35
KMQ82231.1,XP_003402205.1,1e-10
KMQ82239.1,XP_012166441.1,6e-14
KMQ82244.1,XP_012171988.1,2e-44
KMQ82246.1,XP_003397185.1,8e-29
KMQ82249.1,XP_012176307.1,4e-40
KMQ82256.1,XP_012168446.1,4e-38
KMQ82260.1,XP_012174005.1,5e-19
KMQ82263.1,XP_003401691.1,5e-49
KMQ82265.1,XP_012176083.1,7e-18
KMQ82276.1,XP_012176065.1,1e-27
KMQ82277.1,XP_012165161.1,6e-13
KMQ82277.1,XP_012165161.1,1e-08
KMQ82277.1,XP_012165161.1,7e-08
KMQ82277.1,XP_012165161.1,8e-08
KMQ82277.1,XP_012165161.1,2e-06
KMQ82278.1,XP_012172861.1,3e-20
KMQ82279.1,XP_012171989.1,1e-11
KMQ82280.1,XP_012174411.1,9e-05
KMQ82283.1,XP_012174408.1,7e-08
KMQ82287.1,XP_012174005.1,1e-08
KMQ82296.1,XP_012164909.1,1e-88
KMQ82297.1,XP_012168726.1,8e-22
KMQ82299.1,XP_012173830.1,1e-68
KMQ82300.1,XP_003392984.1,8e-39
KMQ82301.1,XP_012170677.1,1e-16
KMQ82302.1,XP_012174517.1,2e-48
KMQ82303.1,NP_001267840.1,2e-38
KMQ82311.1,XP_012175268.1,8e-11
KMQ82315.1,XP_012174539.1,2e-59
KMQ82320.1,XP_012166572.1,9e-25
KMQ82328.1,XP_012171987.1,4e-19
KMQ82329.1,XP_012173830.1,1e-70
KMQ82331.1,XP_012166717.1,2e-06
KMQ82333.1,XP_012176065.1,2e-69
KMQ82336.1,XP_012175815.1,4e-21
KMQ82337.1,XP_012174539.1,3e-46
KMQ82339.1,XP_012174697.1,5e-06
KMQ82343.1,XP_012171988.1,7e-35
KMQ82357.1,XP_012175842.1,1e-69
KMQ82360.1,XP_012166572.1,1e-59
KMQ82361.1,XP_012175268.1,6e-11
KMQ82362.1,XP_012170558.1,2e-39
KMQ82364.1,XP_012174411.1,1e-24
KMQ82366.1,XP_012174411.1,3e-11
KMQ82369.1,XP_003398798.1,1e-08
KMQ82370.1,XP_012174699.1,3e-20
KMQ82371.1,XP_012167367.1,1e-11
KMQ82371.1,XP_012167367.1,2e-06
KMQ82373.1,XP_012166572.1,1e-33
KMQ82380.1,XP_012174211.1,1e-22
KMQ82381.1,XP_012175519.1,4e-30
KMQ82383.1,XP_003400664.1,1e-112
KMQ82385.1,XP_012173997.1,5e-14
KMQ82387.1,XP_003398424.1,3e-26
KMQ82389.1,XP_003403390.2,7e-141
KMQ82395.1,XP_012175533.1,6e-19
KMQ82396.1,XP_012173830.1,5e-12
KMQ82397.1,XP_012171682.1,2e-13
KMQ82404.1,XP_012176065.1,4e-40
KMQ82408.1,XP_012169359.1,3e-66
KMQ82414.1,XP_012168080.1,2e-11
KMQ82416.1,XP_012169820.1,2e-32
KMQ82416.1,XP_012169820.1,1e-25
KMQ82419.1,XP_003393379.1,3e-117
KMQ82420.1,XP_003398424.1,7e-26
KMQ82423.1,XP_003398787.1,6e-99
KMQ82424.1,XP_003393379.1,1e-115
KMQ82429.1,XP_012174528.1,8e-13
KMQ82430.1,XP_012174539.1,3e-78
KMQ82431.1,XP_012174539.1,8e-78
KMQ82432.1,XP_012167178.1,6e-47
KMQ82435.1,XP_012173584.1,3e-16
KMQ82436.1,XP_003400106.1,5e-11
KMQ82437.1,XP_012170187.1,3e-60
KMQ82438.1,XP_003399742.1,9e-51
KMQ82439.1,XP_012168098.1,1e-06
KMQ82442.1,XP_012166962.1,8e-20
KMQ82443.1,XP_012173831.1,1e-12
KMQ82450.1,XP_012163548.1,2e-78
KMQ82450.1,XP_012163548.1,4e-12
KMQ82454.1,XP_012166572.1,4e-20
KMQ82456.1,XP_012174364.1,6e-77
KMQ82458.1,XP_012174534.1,7e-15
KMQ82459.1,XP_012166505.1,1e-28
KMQ82460.1,XP_012173829.1,1e-43
KMQ82461.1,XP_012168446.1,2e-50
KMQ82463.1,XP_012174699.1,8e-13
KMQ82464.1,XP_012174699.1,1e-22
KMQ82467.1,XP_012172861.1,8e-09
KMQ82469.1,XP_012164272.1,3e-06
KMQ82470.1,XP_012175834.1,2e-28
KMQ82471.1,XP_012174181.1,8e-06
KMQ82475.1,XP_012176522.1,1e-21
KMQ82477.1,XP_012168265.1,8e-24
KMQ82479.1,XP_003399519.1,7e-20
KMQ82480.1,NP_001267840.1,6e-124
KMQ82482.1,XP_003394673.1,3e-82
KMQ82484.1,XP_012172861.1,3e-16
KMQ82485.1,XP_012166572.1,3e-22
KMQ82486.1,XP_003395087.1,1e-27
KMQ82487.1,XP_012171986.1,7e-29
KMQ82494.1,XP_012171988.1,1e-40
KMQ82496.1,XP_003393813.1,7e-52
KMQ82501.1,XP_012173831.1,8e-44
KMQ82502.1,XP_012174211.1,1e-15
KMQ82505.1,XP_012174697.1,1e-17
KMQ82508.1,XP_003398199.1,9e-08
KMQ82509.1,XP_003401566.2,4e-33
KMQ82510.1,XP_012176065.1,6e-34
KMQ82511.1,XP_012176065.1,4e-24
KMQ82513.1,XP_012175533.1,7e-13
KMQ82516.1,XP_003402955.1,2e-07
KMQ82518.1,XP_012174699.1,3e-31
KMQ82518.1,XP_012174699.1,6e-12
KMQ82520.1,XP_012176306.1,5e-19
KMQ82526.1,XP_012175449.1,7e-10
KMQ82527.1,XP_003403161.1,5e-76
KMQ82530.1,XP_012173830.1,7e-84
KMQ82537.1,XP_012174408.1,5e-08
KMQ82540.1,XP_012176722.1,1e-50
KMQ82541.1,XP_012176722.1,8e-51
KMQ82544.1,XP_003396627.1,8e-27
KMQ82545.1,XP_012173830.1,9e-22
KMQ82547.1,XP_012176065.1,4e-26
KMQ82551.1,XP_012174517.1,5e-81
KMQ82556.1,XP_012174221.1,4e-64
KMQ82557.1,XP_012174517.1,1e-71
KMQ82560.1,XP_012174528.1,1e-23
KMQ82561.1,XP_003401566.2,6e-05
KMQ82562.1,XP_012168908.1,6e-20
KMQ82563.1,XP_012173830.1,2e-09
KMQ82564.1,XP_012173737.1,9e-06
KMQ82565.1,XP_012167041.1,6e-134
KMQ82570.1,XP_012173830.1,6e-10
KMQ82571.1,XP_003397936.1,2e-14
KMQ82578.1,XP_003401971.1,3e-18
KMQ82579.1,XP_012175268.1,5e-13
KMQ82580.1,XP_012173021.1,7e-08
KMQ82581.1,XP_003401566.2,4e-20
KMQ82583.1,XP_012173829.1,1e-52
KMQ82592.1,XP_012173830.1,5e-118
KMQ82593.1,XP_012175273.1,1e-07
KMQ82594.1,XP_003400093.1,5e-08
KMQ82596.1,XP_003397134.1,2e-36
KMQ82597.1,XP_012164960.1,1e-96
KMQ82598.1,XP_012165310.1,2e-19
KMQ82601.1,XP_012173830.1,2e-40
KMQ82603.1,XP_012171480.1,2e-15
KMQ82605.1,XP_012173829.1,6e-34
KMQ82606.1,XP_012174005.1,3e-10
KMQ82607.1,XP_012166717.1,3e-27
KMQ82610.1,XP_012171237.1,2e-08
KMQ82612.1,XP_012174527.1,3e-99
KMQ82613.1,NP_001267840.1,2e-78
KMQ82614.1,XP_012172308.1,1e-11
KMQ82615.1,XP_012171987.1,4e-14
KMQ82617.1,NP_001267840.1,2e-78
KMQ82618.1,XP_012175539.1,2e-22
KMQ82619.1,XP_012171988.1,7e-46
KMQ82622.1,XP_012164720.1,8e-66
KMQ82623.1,XP_012173831.1,4e-38
KMQ82624.1,XP_012168151.1,5e-44
KMQ82631.1,XP_012171921.1,4e-21
KMQ82632.1,XP_003397298.1,1e-40
KMQ82634.1,XP_012176307.1,4e-25
KMQ82635.1,XP_012168080.1,2e-16
KMQ82636.1,XP_003396591.1,5e-13
KMQ82637.1,NP_001267840.1,2e-25
KMQ82638.1,XP_012175474.1,4e-14
KMQ82639.1,XP_012174538.1,2e-11
KMQ82640.1,XP_003394058.1,5e-35
KMQ82642.1,XP_003396250.1,1e-05
KMQ82644.1,XP_012174211.1,6e-22
KMQ82650.1,XP_012171921.1,6e-08
KMQ82652.1,XP_012168080.1,5e-16
KMQ82654.1,XP_012170580.1,5e-06
KMQ82655.1,XP_012168312.1,2e-08
KMQ82655.1,XP_012168312.1,7e-06
KMQ82660.1,XP_012174281.1,2e-71
KMQ82661.1,XP_003402795.1,2e-43
KMQ82664.1,XP_012170677.1,3e-25
KMQ82668.1,XP_012175449.1,2e-78
KMQ82669.1,XP_012176290.1,7e-27
KMQ82670.1,XP_012176290.1,1e-20
KMQ82671.1,XP_012172861.1,9e-19
KMQ82672.1,XP_012174137.1,3e-85
KMQ82673.1,XP_003399227.1,2e-90
KMQ82673.1,XP_003399227.1,1e-32
KMQ82673.1,XP_003399227.1,7e-30
KMQ82673.1,XP_003399227.1,1e-29
KMQ82673.1,XP_003399227.1,1e-27
KMQ82673.1,XP_003399227.1,2e-27
KMQ82673.1,XP_003399227.1,2e-17
KMQ82673.1,XP_003399227.1,3e-17
KMQ82673.1,XP_003399227.1,1e-16
KMQ82673.1,XP_003399227.1,2e-16
KMQ82673.1,XP_003399227.1,6e-16
KMQ82673.1,XP_003399227.1,4e-14
KMQ82673.1,XP_003399227.1,3e-13
KMQ82673.1,XP_003399227.1,2e-12
KMQ82673.1,XP_003399227.1,5e-12
KMQ82673.1,XP_003399227.1,1e-11
KMQ82673.1,XP_003399227.1,3e-11
KMQ82673.1,XP_003399227.1,4e-11
KMQ82673.1,XP_003399227.1,1e-10
KMQ82673.1,XP_003399227.1,2e-10
KMQ82673.1,XP_003399227.1,2e-09
KMQ82673.1,XP_003399227.1,3e-09
KMQ82673.1,XP_003399227.1,8e-08
KMQ82673.1,XP_003399227.1,1e-05
KMQ82673.1,XP_003399227.1,5e-05
KMQ82674.1,XP_003402271.1,1e-09
KMQ82675.1,XP_003396865.1,1e-07
KMQ82678.1,XP_012176065.1,1e-37
KMQ82679.1,XP_003398367.1,6e-120
KMQ82683.1,XP_003403134.1,1e-31
KMQ82688.1,XP_003393389.1,2e-79
KMQ82690.1,XP_012163185.1,8e-35
KMQ82691.1,XP_012168980.1,4e-59
KMQ82692.1,XP_012168312.1,2e-10
KMQ82692.1,XP_012168312.1,3e-06
KMQ82693.1,XP_012173829.1,4e-63
KMQ82696.1,XP_012172861.1,2e-18
KMQ82697.1,XP_012166207.1,1e-31
KMQ82699.1,XP_012164669.1,4e-77
KMQ82700.1,XP_003401566.2,8e-34
KMQ82702.1,XP_003396425.2,4e-40
KMQ82703.1,XP_012168980.1,7e-41
KMQ82706.1,XP_012168080.1,1e-15
KMQ82709.1,XP_012169126.1,9e-30
KMQ82712.1,XP_012174544.1,3e-102
KMQ82714.1,XP_012175336.1,5e-09
KMQ82719.1,XP_012170512.1,3e-101
KMQ82720.1,XP_012171480.1,7e-08
KMQ82721.1,XP_012167064.1,3e-59
KMQ82722.1,XP_012166207.1,4e-35
KMQ82725.1,XP_012166717.1,2e-05
KMQ82726.1,XP_003395895.1,1e-08
KMQ82726.1,XP_003395895.1,5e-06
KMQ82727.1,XP_012173829.1,5e-24
KMQ82728.1,XP_012172861.1,5e-13
KMQ82733.1,XP_003398964.1,8e-21
KMQ82737.1,XP_003393832.2,1e-36
KMQ82740.1,XP_012167193.1,3e-35
KMQ82741.1,XP_012174539.1,2e-55
KMQ82744.1,XP_012170886.1,2e-84
KMQ82748.1,XP_012173829.1,7e-69
KMQ82752.1,XP_012173844.1,5e-06
KMQ82752.1,XP_012173844.1,3e-05
KMQ82754.1,XP_003397085.1,3e-37
KMQ82759.1,XP_003399108.2,2e-10
KMQ82760.1,XP_012174539.1,6e-72
KMQ82762.1,XP_012175337.1,9e-06
KMQ82763.1,XP_003392984.1,8e-55
KMQ82764.1,XP_003401566.2,9e-53
KMQ82766.1,XP_003403264.1,5e-30
KMQ82768.1,NP_001267840.1,6e-167
KMQ82773.1,XP_012174699.1,2e-11
KMQ82776.1,XP_003400989.1,1e-102
KMQ82779.1,XP_012164720.1,3e-44
KMQ82786.1,XP_012175539.1,6e-19
KMQ82787.1,XP_012176060.1,7e-91
KMQ82788.1,XP_012174242.1,2e-15
KMQ82791.1,XP_012176060.1,2e-40
KMQ82794.1,XP_012164714.1,2e-68
KMQ82797.1,XP_012168098.1,6e-10
KMQ82802.1,XP_012174534.1,9e-07
KMQ82803.1,XP_012174455.1,2e-31
KMQ82804.1,XP_012173829.1,5e-68
KMQ82807.1,XP_012173053.1,3e-18
KMQ82809.1,XP_012166572.1,3e-117
KMQ82810.1,XP_003397024.1,6e-08
KMQ82811.1,XP_003399751.1,5e-23
KMQ82813.1,XP_003398465.1,9e-90
KMQ82819.1,XP_012175539.1,1e-29
KMQ82820.1,XP_012175519.1,5e-09
KMQ82821.1,XP_012175533.1,1e-16
KMQ82822.1,XP_012175336.1,7e-08
KMQ82826.1,XP_003398424.1,1e-08
KMQ82827.1,XP_003398325.1,9e-20
KMQ82830.1,XP_012172982.1,2e-37
KMQ82831.1,NP_001267847.1,5e-21
KMQ82832.1,XP_012166434.1,1e-21
KMQ82834.1,XP_012174005.1,2e-07
KMQ82835.1,XP_012169297.1,3e-56
KMQ82836.1,XP_012175337.1,6e-13
KMQ82837.1,XP_012166717.1,1e-32
KMQ82838.1,XP_012176083.1,3e-18
KMQ82839.1,XP_003402031.1,2e-06
KMQ82843.1,XP_012174517.1,5e-149
KMQ82845.1,XP_003392984.1,5e-36
KMQ82851.1,XP_012170847.1,2e-114
KMQ82852.1,XP_012176730.1,5e-10
KMQ82855.1,XP_003400815.1,5e-13
KMQ82856.1,XP_003399722.1,2e-149
KMQ82859.1,XP_012166882.1,7e-26
KMQ82861.1,XP_012171480.1,4e-10
KMQ82862.1,XP_003398964.1,3e-17
KMQ82863.1,XP_012167388.1,2e-67
KMQ82866.1,XP_012175298.1,2e-07
KMQ82867.1,XP_012170292.1,4e-61
KMQ82877.1,XP_003402120.1,3e-24
KMQ82879.1,XP_003395924.1,1e-21
KMQ82880.1,XP_003394667.1,7e-120
KMQ82880.1,XP_003394667.1,6e-14
KMQ82880.1,XP_003394667.1,2e-08
