lf,am,evalue
TRINITY_DN10109_c0_g1_i1|m.49411,XP_003396468.1,0.0
TRINITY_DN1010_c0_g1_i1|m.10506,XP_012169018.1,1e-114
TRINITY_DN10110_c0_g1_i1|m.49344,XP_012173366.1,1e-131
TRINITY_DN10110_c0_g2_i1|m.49346,XP_012173366.1,0.0
TRINITY_DN10111_c0_g1_i1|m.49392,XP_012165098.1,0.0
TRINITY_DN10112_c0_g1_i1|m.49222,XP_012175392.1,0.0
TRINITY_DN10113_c0_g2_i1|m.49455,XP_012164659.1,0.0
TRINITY_DN10114_c0_g1_i1|m.49534,XP_003394918.1,1e-08
TRINITY_DN10116_c0_g1_i1|m.49475,XP_003396227.1,3e-39
TRINITY_DN10116_c0_g2_i1|m.49476,XP_003396227.1,9e-138
TRINITY_DN10117_c1_g1_i1|m.49388,XP_003397983.1,4e-165
TRINITY_DN10117_c1_g2_i1|m.49390,XP_003397983.1,4e-165
TRINITY_DN10118_c0_g1_i1|m.49433,XP_003397096.1,1e-34
TRINITY_DN10119_c0_g1_i1|m.49269,XP_003400151.1,3e-131
TRINITY_DN10121_c1_g1_i1|m.49511,XP_003395653.2,1e-148
TRINITY_DN10121_c1_g1_i1|m.49511,XP_003395653.2,2e-60
TRINITY_DN10124_c0_g1_i1|m.49246,XP_003401722.1,0.0
TRINITY_DN10125_c0_g1_i1|m.49313,XP_012163973.1,2e-68
TRINITY_DN10127_c0_g1_i1|m.49523,XP_003393589.1,0.0
TRINITY_DN10128_c0_g1_i1|m.49238,XP_003401322.1,5e-89
TRINITY_DN10128_c0_g2_i1|m.49239,XP_003401322.1,5e-89
TRINITY_DN10129_c0_g1_i1|m.49535,XP_012170128.1,3e-143
TRINITY_DN10130_c0_g1_i1|m.49284,XP_012172406.1,0.0
TRINITY_DN10131_c0_g1_i1|m.49525,XP_012165412.1,1e-48
TRINITY_DN10131_c0_g1_i1|m.49524,XP_012163109.1,9e-62
TRINITY_DN10133_c0_g1_i1|m.49262,XP_012175921.1,0.0
TRINITY_DN10134_c0_g1_i1|m.49319,XP_012167995.1,0.0
TRINITY_DN10135_c0_g1_i1|m.49409,XP_003393805.1,0.0
TRINITY_DN10135_c1_g1_i1|m.49410,XP_003393805.1,0.0
TRINITY_DN10138_c0_g1_i1|m.49265,XP_003403245.2,4e-101
TRINITY_DN1013_c0_g1_i1|m.10477,XP_012170299.1,1e-60
TRINITY_DN1013_c0_g2_i1|m.10479,XP_012170299.1,1e-60
TRINITY_DN10140_c0_g2_i1|m.49380,XP_012166216.1,0.0
TRINITY_DN10143_c0_g1_i1|m.49537,XP_003400576.1,0.0
TRINITY_DN10144_c0_g2_i1|m.49359,XP_012164008.1,0.0
TRINITY_DN10145_c1_g3_i1|m.49216,XP_012171648.1,0.0
TRINITY_DN10146_c0_g2_i1|m.49424,XP_012172813.1,0.0
TRINITY_DN10147_c0_g1_i1|m.49385,XP_012175721.1,0.0
TRINITY_DN10148_c0_g1_i1|m.49294,XP_003398359.1,0.0
TRINITY_DN10149_c0_g1_i1|m.49266,XP_003395173.1,0.0
TRINITY_DN10150_c0_g1_i1|m.49448,XP_012173177.1,0.0
TRINITY_DN10151_c0_g1_i1|m.49399,XP_003394784.1,0.0
TRINITY_DN10152_c0_g1_i1|m.49279,XP_012165291.1,2e-145
TRINITY_DN10154_c0_g2_i1|m.49305,XP_003392864.1,0.0
TRINITY_DN10154_c0_g4_i1|m.49311,XP_003392864.1,1e-77
TRINITY_DN10155_c0_g1_i1|m.49333,XP_012167896.1,5e-119
TRINITY_DN10157_c0_g1_i1|m.49255,XP_012169152.1,0.0
TRINITY_DN10158_c0_g1_i1|m.49253,XP_003394210.1,0.0
TRINITY_DN10162_c0_g1_i1|m.49404,XP_012168275.1,2e-83
TRINITY_DN10164_c0_g2_i1|m.49481,XP_012164255.1,0.0
TRINITY_DN10165_c0_g1_i1|m.49432,XP_012167892.1,0.0
TRINITY_DN10166_c0_g1_i1|m.49454,XP_012175462.1,0.0
TRINITY_DN10168_c0_g1_i1|m.49478,XP_012176540.1,1e-94
TRINITY_DN1016_c0_g1_i1|m.10496,XP_012173833.1,3e-13
TRINITY_DN10171_c0_g1_i1|m.49341,XP_012164117.1,0.0
TRINITY_DN10173_c0_g1_i1|m.49342,XP_012170117.1,3e-159
TRINITY_DN10173_c0_g2_i1|m.49343,XP_012170117.1,6e-14
TRINITY_DN10175_c0_g1_i1|m.49463,XP_012168993.1,0.0
TRINITY_DN10178_c0_g1_i1|m.49297,XP_012176653.1,0.0
TRINITY_DN10179_c0_g1_i1|m.49422,XP_003399437.1,0.0
TRINITY_DN10180_c0_g1_i1|m.49296,XP_003396471.1,6e-165
TRINITY_DN10181_c0_g1_i1|m.49438,XP_012173013.1,1e-163
TRINITY_DN10182_c0_g1_i1|m.49321,XP_012166943.1,0.0
TRINITY_DN10183_c0_g2_i1|m.49228,XP_003397588.2,3e-66
TRINITY_DN10184_c0_g2_i1|m.49513,XP_003395046.1,1e-59
TRINITY_DN10185_c0_g1_i1|m.49415,XP_012171104.1,0.0
TRINITY_DN10187_c0_g1_i1|m.49393,XP_003394496.1,3e-100
TRINITY_DN10188_c0_g1_i1|m.49533,XP_003393871.1,0.0
TRINITY_DN10190_c0_g1_i1|m.49416,XP_012164306.1,2e-46
TRINITY_DN10191_c0_g1_i1|m.49460,XP_012169901.1,3e-145
TRINITY_DN10191_c0_g2_i1|m.49462,XP_012169901.1,1e-77
TRINITY_DN10192_c0_g1_i1|m.49259,XP_012167093.1,0.0
TRINITY_DN10193_c0_g1_i1|m.49402,XP_012172694.1,0.0
TRINITY_DN10194_c0_g3_i1|m.49268,XP_012174826.1,2e-29
TRINITY_DN10197_c0_g1_i1|m.49249,XP_003401775.1,0.0
TRINITY_DN10198_c0_g1_i1|m.49517,XP_012175181.1,0.0
TRINITY_DN10199_c0_g1_i1|m.49439,XP_012175904.1,2e-13
TRINITY_DN10200_c0_g1_i1|m.43678,XP_012165725.1,0.0
TRINITY_DN10201_c0_g1_i1|m.43586,XP_012166455.1,0.0
TRINITY_DN10202_c0_g1_i1|m.43898,XP_003393003.1,0.0
TRINITY_DN10203_c0_g1_i1|m.43890,XP_003402656.1,4e-61
TRINITY_DN10203_c0_g2_i1|m.43892,XP_003402656.1,4e-57
TRINITY_DN10204_c0_g1_i1|m.43893,XP_012174252.1,8e-46
TRINITY_DN10205_c0_g1_i1|m.43827,XP_012164077.1,7e-59
TRINITY_DN10205_c0_g1_i1|m.43825,XP_003403136.1,1e-102
TRINITY_DN10206_c0_g1_i1|m.43607,XP_003400822.1,0.0
TRINITY_DN10207_c0_g1_i1|m.43598,XP_003401803.1,0.0
TRINITY_DN10208_c0_g1_i1|m.43694,XP_012164430.1,4e-101
TRINITY_DN10209_c0_g1_i1|m.43708,XP_012168341.1,3e-118
TRINITY_DN10212_c0_g1_i1|m.43867,XP_012174502.1,3e-54
TRINITY_DN10212_c0_g2_i1|m.43868,XP_012174502.1,5e-54
TRINITY_DN10212_c1_g1_i1|m.43870,XP_003393781.1,0.0
TRINITY_DN10213_c0_g1_i1|m.43876,XP_012166572.1,2e-37
TRINITY_DN10213_c0_g2_i1|m.43877,XP_012166572.1,2e-45
TRINITY_DN10215_c0_g1_i1|m.43857,XP_003392994.1,7e-101
TRINITY_DN10216_c0_g1_i1|m.43830,XP_012166855.1,4e-13
TRINITY_DN10217_c0_g1_i1|m.43661,XP_003395639.1,0.0
TRINITY_DN10218_c0_g1_i1|m.43665,XP_012168725.1,0.0
TRINITY_DN10219_c0_g1_i1|m.43560,XP_003396043.1,0.0
TRINITY_DN10222_c0_g1_i1|m.43901,XP_012164134.1,0.0
TRINITY_DN10223_c0_g1_i1|m.43888,XP_012172595.1,5e-134
TRINITY_DN10224_c0_g1_i1|m.43828,XP_003399219.1,9e-113
TRINITY_DN10225_c0_g1_i1|m.43854,XP_012173360.1,0.0
TRINITY_DN10226_c0_g1_i1|m.43612,XP_012176334.1,0.0
TRINITY_DN10226_c0_g1_i1|m.43612,XP_012176334.1,2e-08
TRINITY_DN10226_c0_g1_i1|m.43612,XP_012176334.1,4e-08
TRINITY_DN10226_c0_g1_i1|m.43612,XP_012176334.1,1e-05
TRINITY_DN10227_c0_g1_i1|m.43859,XP_012165890.1,0.0
TRINITY_DN10228_c1_g1_i1|m.43695,XP_012171817.1,0.0
TRINITY_DN10228_c1_g2_i1|m.43697,XP_012171817.1,0.0
TRINITY_DN10229_c0_g1_i1|m.43687,XP_003398224.1,1e-113
TRINITY_DN1022_c0_g1_i1|m.10474,XP_012171739.1,4e-114
TRINITY_DN1022_c0_g2_i1|m.10475,XP_012171739.1,0.0
TRINITY_DN10231_c0_g1_i1|m.43565,XP_003397466.1,0.0
TRINITY_DN10231_c0_g3_i1|m.43571,XP_003397466.1,0.0
TRINITY_DN10233_c0_g1_i1|m.43760,XP_003398176.1,4e-161
TRINITY_DN10235_c0_g1_i1|m.43813,XP_012175955.1,6e-32
TRINITY_DN10235_c0_g1_i1|m.43812,XP_012175955.1,7e-146
TRINITY_DN10236_c0_g1_i1|m.43601,XP_012169277.1,0.0
TRINITY_DN10238_c0_g1_i1|m.43819,XP_003398929.1,0.0
TRINITY_DN10239_c0_g1_i1|m.43757,XP_012165214.1,3e-84
TRINITY_DN10240_c0_g2_i1|m.43772,XP_012169679.1,3e-89
TRINITY_DN10241_c0_g1_i1|m.43872,XP_003399594.1,0.0
TRINITY_DN10242_c0_g1_i1|m.43614,XP_012170847.1,0.0
TRINITY_DN10243_c0_g1_i1|m.43796,XP_012173786.1,3e-51
TRINITY_DN10244_c0_g1_i1|m.43577,XP_003398921.1,6e-64
TRINITY_DN10246_c0_g1_i1|m.43669,XP_003398026.1,1e-94
TRINITY_DN10247_c0_g1_i1|m.43801,XP_012163925.1,4e-05
TRINITY_DN10247_c0_g3_i1|m.43802,XP_003399560.1,0.0
TRINITY_DN10249_c0_g1_i1|m.43741,XP_003399053.1,0.0
TRINITY_DN10250_c0_g1_i1|m.43605,XP_012175391.1,1e-21
TRINITY_DN10251_c0_g1_i1|m.43871,XP_012173292.1,3e-102
TRINITY_DN10252_c1_g1_i1|m.43648,XP_012167556.1,0.0
TRINITY_DN10253_c0_g2_i1|m.43833,XP_003396706.1,1e-83
TRINITY_DN10254_c0_g1_i1|m.43838,XP_003394459.1,0.0
TRINITY_DN10254_c0_g1_i1|m.43839,XP_003394459.1,2e-103
TRINITY_DN10256_c0_g1_i1|m.43675,XP_012171545.1,6e-79
TRINITY_DN10257_c0_g1_i1|m.43563,XP_012165185.1,0.0
TRINITY_DN10258_c0_g1_i1|m.43655,XP_003401079.1,0.0
TRINITY_DN10258_c0_g1_i1|m.43654,XP_003401079.1,0.0
TRINITY_DN10259_c0_g1_i1|m.43896,XP_012165334.1,0.0
TRINITY_DN10260_c0_g1_i1|m.43660,XP_012174803.1,0.0
TRINITY_DN10261_c0_g1_i1|m.43815,XP_003395792.1,0.0
TRINITY_DN10263_c0_g1_i1|m.43684,XP_003400985.1,1e-104
TRINITY_DN10264_c0_g1_i1|m.43780,XP_012176256.1,0.0
TRINITY_DN10265_c0_g1_i1|m.43822,XP_012176512.1,4e-75
TRINITY_DN10265_c0_g1_i1|m.43823,XP_012176511.1,7e-24
TRINITY_DN10265_c0_g1_i1|m.43821,XP_003396915.1,1e-09
TRINITY_DN10266_c1_g1_i1|m.43754,XP_003399424.1,5e-145
TRINITY_DN10266_c1_g3_i1|m.43756,XP_003399424.1,5e-58
TRINITY_DN10267_c0_g1_i1|m.43575,XP_003401880.1,6e-122
TRINITY_DN10268_c0_g1_i1|m.43592,XP_012165198.1,7e-76
TRINITY_DN10268_c0_g2_i1|m.43597,XP_012165197.1,2e-27
TRINITY_DN10269_c0_g1_i1|m.43704,XP_012163163.1,0.0
TRINITY_DN1026_c0_g1_i1|m.10498,XP_003396039.1,2e-119
TRINITY_DN10271_c0_g1_i1|m.43673,XP_003402880.1,0.0
TRINITY_DN10272_c0_g2_i1|m.43631,XP_003402237.1,0.0
TRINITY_DN10273_c0_g1_i1|m.43797,XP_003399077.1,2e-68
TRINITY_DN10274_c0_g1_i1|m.43878,XP_003394604.1,5e-26
TRINITY_DN10277_c0_g1_i1|m.43858,XP_003393377.1,3e-55
TRINITY_DN10278_c0_g1_i1|m.43681,XP_003396016.1,4e-71
TRINITY_DN10279_c0_g1_i1|m.43638,XP_012166966.1,0.0
TRINITY_DN1027_c0_g1_i1|m.10540,XP_012166829.1,6e-146
TRINITY_DN10280_c0_g1_i1|m.43633,XP_012169935.1,9e-39
TRINITY_DN10280_c0_g1_i1|m.43632,XP_003393558.1,3e-104
TRINITY_DN10281_c0_g1_i1|m.43685,XP_003396937.1,0.0
TRINITY_DN10282_c0_g1_i1|m.43584,XP_012170120.1,9e-165
TRINITY_DN10282_c0_g1_i1|m.43585,XP_012170120.1,6e-83
TRINITY_DN10283_c0_g1_i1|m.43742,XP_003395276.1,1e-100
TRINITY_DN10284_c0_g1_i1|m.43768,XP_003393453.1,9e-47
TRINITY_DN10284_c0_g1_i1|m.43767,XP_012168645.1,4e-94
TRINITY_DN10286_c0_g1_i1|m.43579,XP_012165685.1,0.0
TRINITY_DN10286_c0_g2_i1|m.43582,XP_012165685.1,3e-87
TRINITY_DN10289_c0_g1_i1|m.43647,XP_003400656.1,0.0
TRINITY_DN1028_c0_g1_i1|m.10538,XP_012168774.1,2e-59
TRINITY_DN10290_c0_g1_i1|m.43641,XP_003393484.1,3e-157
TRINITY_DN10292_c0_g1_i1|m.43583,XP_012175846.1,8e-101
TRINITY_DN10293_c0_g1_i1|m.43749,XP_003401728.1,2e-81
TRINITY_DN10293_c0_g1_i1|m.43748,XP_012173094.1,2e-94
TRINITY_DN10294_c0_g1_i1|m.43902,XP_003394858.1,8e-69
TRINITY_DN10295_c0_g1_i1|m.43761,XP_003393779.1,4e-76
TRINITY_DN10295_c0_g1_i1|m.43762,XP_003393779.1,2e-55
TRINITY_DN10296_c0_g1_i1|m.43576,XP_003402791.1,9e-123
TRINITY_DN10297_c0_g2_i1|m.43658,XP_012169153.1,1e-30
TRINITY_DN10298_c0_g1_i1|m.43624,XP_012168781.1,8e-95
TRINITY_DN10298_c0_g1_i1|m.43625,XP_012168781.1,3e-82
TRINITY_DN10299_c0_g1_i1|m.43562,XP_003394585.1,0.0
TRINITY_DN1029_c0_g2_i1|m.10530,XP_003397009.1,1e-87
TRINITY_DN10300_c0_g1_i1|m.1939,XP_003398317.1,0.0
TRINITY_DN10301_c0_g1_i1|m.1882,XP_003401740.1,0.0
TRINITY_DN10303_c0_g1_i1|m.2095,XP_003395981.1,0.0
TRINITY_DN10305_c1_g1_i1|m.2110,XP_003402571.2,6e-89
TRINITY_DN10307_c0_g1_i1|m.2061,XP_012175928.1,0.0
TRINITY_DN10309_c0_g1_i1|m.1966,XP_012175976.1,0.0
TRINITY_DN10309_c0_g1_i1|m.1965,XP_012175976.1,0.0
TRINITY_DN10309_c0_g2_i1|m.1974,XP_012175976.1,2e-171
TRINITY_DN1030_c0_g2_i1|m.10514,XP_003399990.1,8e-27
TRINITY_DN10310_c0_g1_i1|m.2140,XP_003395616.1,2e-45
TRINITY_DN10310_c0_g2_i1|m.2142,XP_003395616.1,2e-45
TRINITY_DN10311_c0_g1_i1|m.2030,XP_012163262.1,0.0
TRINITY_DN10312_c0_g1_i1|m.2103,XP_012171519.1,5e-112
TRINITY_DN10314_c0_g1_i1|m.1990,XP_012163238.1,0.0
TRINITY_DN10317_c0_g1_i1|m.1899,XP_012172268.1,1e-138
TRINITY_DN10319_c0_g1_i1|m.2108,XP_012170866.1,0.0
TRINITY_DN10320_c0_g1_i1|m.2167,XP_012176027.1,9e-163
TRINITY_DN10321_c0_g1_i1|m.2164,XP_012174111.1,9e-35
TRINITY_DN10322_c0_g1_i1|m.2028,XP_012175191.1,0.0
TRINITY_DN10323_c0_g1_i1|m.1867,XP_003395160.1,0.0
TRINITY_DN10323_c0_g1_i1|m.1868,XP_003395166.1,2e-71
TRINITY_DN10324_c0_g1_i1|m.1871,XP_012169978.1,8e-25
TRINITY_DN10329_c0_g1_i1|m.1994,XP_003402127.1,0.0
TRINITY_DN10329_c0_g1_i1|m.1995,XP_012173680.1,4e-112
TRINITY_DN10330_c1_g1_i1|m.1886,XP_012170163.1,0.0
TRINITY_DN10331_c0_g1_i1|m.1915,XP_012164513.1,1e-24
TRINITY_DN10333_c0_g1_i1|m.1933,XP_003400888.1,0.0
TRINITY_DN10333_c0_g2_i1|m.1937,XP_003400888.1,6e-73
TRINITY_DN10334_c0_g1_i1|m.2087,XP_012168103.1,5e-74
TRINITY_DN10335_c0_g1_i1|m.1991,XP_012170641.1,4e-114
TRINITY_DN10335_c0_g1_i1|m.1991,XP_012170641.1,2e-108
TRINITY_DN10336_c0_g1_i1|m.2055,XP_012163859.1,0.0
TRINITY_DN10336_c1_g1_i1|m.2057,XP_012169029.1,2e-154
TRINITY_DN10336_c1_g1_i1|m.2057,XP_012169029.1,3e-11
TRINITY_DN10337_c0_g1_i1|m.2001,XP_012166761.1,1e-82
TRINITY_DN10338_c0_g1_i1|m.2026,XP_003402916.2,2e-70
TRINITY_DN10339_c0_g1_i1|m.1931,XP_003402220.1,1e-132
TRINITY_DN10339_c0_g1_i1|m.1932,XP_012173669.1,1e-20
TRINITY_DN1033_c0_g1_i1|m.10537,XP_012167059.1,1e-70
TRINITY_DN10343_c0_g1_i1|m.2017,XP_003401840.1,0.0
TRINITY_DN10346_c0_g1_i1|m.1877,XP_012165532.1,0.0
TRINITY_DN10347_c0_g1_i1|m.1912,XP_012167835.1,1e-46
TRINITY_DN10349_c0_g1_i1|m.1920,XP_012171586.1,0.0
TRINITY_DN1034_c0_g1_i1|m.10544,XP_012163424.1,0.0
TRINITY_DN10350_c0_g2_i1|m.1930,XP_003393176.2,8e-100
TRINITY_DN10351_c0_g1_i1|m.1878,XP_003398065.1,0.0
TRINITY_DN10352_c0_g1_i1|m.2156,XP_003397311.1,1e-80
TRINITY_DN10353_c0_g1_i1|m.1901,XP_003397292.1,9e-133
TRINITY_DN10354_c0_g1_i1|m.2159,XP_012169778.1,0.0
TRINITY_DN10356_c0_g1_i1|m.1941,XP_003399384.1,8e-29
TRINITY_DN10358_c0_g1_i1|m.2025,XP_012175154.1,0.0
TRINITY_DN10359_c0_g1_i1|m.2176,XP_003401510.1,0.0
TRINITY_DN10360_c0_g1_i1|m.2023,XP_003396963.1,7e-60
TRINITY_DN10362_c0_g1_i1|m.2079,XP_003396698.1,3e-69
TRINITY_DN10364_c0_g1_i1|m.2075,XP_003396480.1,4e-111
TRINITY_DN10364_c0_g1_i1|m.2075,XP_003396480.1,1e-64
TRINITY_DN10365_c0_g1_i1|m.1895,XP_003394920.1,2e-142
TRINITY_DN10365_c0_g1_i1|m.1894,XP_003394912.1,0.0
TRINITY_DN10366_c0_g2_i1|m.2039,XP_003396852.1,0.0
TRINITY_DN10366_c0_g2_i1|m.2040,XP_003396852.1,5e-22
TRINITY_DN10367_c0_g1_i1|m.2107,XP_003396337.1,0.0
TRINITY_DN10368_c0_g1_i1|m.2063,XP_012166130.1,0.0
TRINITY_DN10369_c0_g1_i1|m.1908,XP_012176462.1,0.0
TRINITY_DN1036_c0_g1_i1|m.10535,XP_003401894.1,1e-06
TRINITY_DN10371_c0_g1_i1|m.2059,XP_012174243.1,8e-40
TRINITY_DN10372_c0_g1_i1|m.2136,XP_003393804.1,0.0
TRINITY_DN10372_c0_g1_i1|m.2136,XP_003393804.1,2e-13
TRINITY_DN10373_c0_g1_i1|m.2021,XP_003393529.1,0.0
TRINITY_DN10374_c0_g1_i1|m.1993,XP_003402672.1,6e-91
TRINITY_DN10375_c0_g1_i1|m.2037,XP_012175736.1,4e-162
TRINITY_DN10376_c0_g1_i1|m.2092,XP_012171268.1,0.0
TRINITY_DN10377_c0_g2_i1|m.1896,XP_012166060.1,1e-152
TRINITY_DN10378_c0_g1_i1|m.1911,XP_003394847.1,4e-113
TRINITY_DN10379_c0_g1_i1|m.1989,XP_012164421.1,0.0
TRINITY_DN1037_c0_g1_i1|m.10486,XP_003399478.1,1e-170
TRINITY_DN10380_c0_g1_i1|m.2024,XP_003398311.1,0.0
TRINITY_DN10381_c0_g1_i1|m.2083,XP_012175859.1,0.0
TRINITY_DN10381_c0_g2_i1|m.2085,XP_012175859.1,3e-60
TRINITY_DN10381_c0_g3_i1|m.2086,XP_012175859.1,5e-60
